Wavelength,Red,Green,Blue,Orange,Cyan,Violet
380,7.6e-07,7.684e-07,3.821e-07,5.752e-07,3.821e-07,9.531e-07
384,6.169e-07,3.488e-07,3.488e-07,3.488e-07,5.634e-07,6.169e-07
388,3.121e-07,3.121e-07,3.121e-07,3.121e-07,6.242e-07,3.304e-06
392,2.812e-07,2.812e-07,2.812e-07,2.812e-07,8.042e-07,1.675e-05
396,2.753e-07,2.753e-07,6.845e-07,6.845e-07,2.571e-07,7.077e-05
400,4.023e-07,4.023e-07,2.276e-07,2.276e-07,2.276e-07,0.0001942
404,2.862e-07,2.108e-07,2.108e-07,2.108e-07,3.616e-07,0.0003684
408,3.986e-07,1.993e-07,2.958e-07,2.958e-07,7.909e-07,0.0004938
412,2.661e-07,1.916e-07,2.661e-07,5.004e-07,7.238e-07,0.0004773
416,1.893e-07,1.893e-07,3.293e-07,4.28e-07,2.88e-07,0.0003657
420,1.899e-07,1.899e-07,5.446e-07,3.798e-07,1.899e-07,0.0002459
424,3.847e-07,1.926e-07,1.523e-06,1.931e-07,1.926e-07,0.0001456
428,3.945e-07,2.483e-07,7.305e-06,1.972e-07,1.972e-07,8.6e-05
432,4.062e-07,3.269e-07,3.169e-05,2.824e-07,2.031e-07,4.821e-05
436,3.097e-07,2.097e-07,0.0001063,4.194e-07,2.097e-07,2.477e-05
440,5.003e-07,5.003e-07,0.0002659,7.166e-07,2.163e-07,1.105e-05
444,6.7e-07,4.933e-07,0.0004713,3.634e-07,2.233e-07,4.507e-06
448,1.053e-06,1.05e-06,0.000574,2.426e-07,2.426e-07,2.119e-06
452,3.25e-07,4.194e-07,0.0004809,4.194e-07,5.116e-07,1.071e-06
456,5.511e-07,2.367e-07,0.0003324,2.367e-07,7.895e-07,9.484e-07
460,2.381e-07,2.381e-07,0.0002237,2.381e-07,1.404e-06,1.203e-06
464,2.38e-07,2.38e-07,0.0001478,3.84e-07,4.386e-06,9.522e-07
468,2.363e-07,2.363e-07,8.367e-05,2.947e-07,1.303e-05,4.114e-07
472,4.327e-07,2.328e-07,3.515e-05,2.328e-07,3.194e-05,8.487e-07
476,2.271e-07,3.076e-07,8.745e-06,2.271e-07,5.824e-05,7.618e-07
480,2.229e-07,5.259e-07,2.398e-06,2.229e-07,8.058e-05,9.002e-07
484,2.174e-07,2.174e-07,1.305e-06,3.184e-07,0.0001006,4.349e-07
488,3.407e-07,2.117e-07,1.012e-06,2.945e-07,0.0001193,2.945e-07
492,2.563e-07,2.058e-07,6.679e-07,2.058e-07,0.0001353,2.058e-07
496,2.091e-07,1.995e-07,2.39e-07,1.995e-07,0.0001438,8.995e-07
500,3.484e-07,1.931e-07,1.931e-07,1.931e-07,0.0001409,5.415e-07
504,3.183e-07,4.483e-07,3.183e-07,2.533e-07,0.0001281,3.116e-07
508,4.61e-07,5.557e-07,6.432e-07,3.681e-07,0.0001097,3.663e-07
512,3.62e-07,1.81e-07,7.241e-07,3.62e-07,8.929e-05,3.093e-07
516,2.155e-07,1.791e-07,4.309e-07,2.155e-07,6.858e-05,1.791e-07
520,1.777e-07,3.047e-07,3.735e-07,1.777e-07,4.72e-05,6.655e-07
524,1.779e-07,4.659e-06,5.338e-07,2.235e-07,2.888e-05,4.426e-07
528,1.793e-07,3.931e-05,5.38e-07,2.85e-07,1.48e-05,1.793e-07
532,2.846e-07,0.0001301,3.39e-07,1.816e-07,5.164e-06,1.816e-07
536,2.357e-07,0.0002138,1.846e-07,1.846e-07,1.701e-06,1.846e-07
540,6.692e-07,0.0002445,5.111e-07,1.877e-07,8.11e-07,2.021e-07
