sep=;
Export Date/Time;Sun Jan 07 2024 05:05:43 GMT+0000 (Coordinated Universal Time),User Email;varun.nealsri@gmail.com,Saved Library Name;122623
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Inks";"-";"reference ";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Dec 26 2023 23:56:05 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.99973561e+1;3.19655349e-1;-1.05450841e-1;8.99973561e+1;3.36599794e-1;3.41742836e+2;7.37222358e-1;7.62976446e-1;6.30706305e-1;227;226;227;#e3e2e3;T;0.11;0.12;0.12;0.12;7.05879569e-1;7.21925318e-1;7.45686114e-1;7.54895687e-1;7.58598506e-1;7.69433260e-1;7.71205723e-1;7.67704725e-1;7.68197715e-1;7.69857109e-1;7.69008040e-1;7.67938912e-1;7.68226027e-1;7.57229745e-1;7.58871973e-1;7.58595526e-1;7.57824779e-1;7.58887172e-1;7.60138929e-1;7.65473187e-1;7.68382967e-1;7.70613790e-1;7.70863652e-1;7.66221464e-1;7.64416635e-1;7.66445220e-1;7.63665736e-1;7.62645304e-1;7.69304276e-1;8.03705812e-1;8.34378183e-1
2;"-";"Inks";"-";"Reference wiped ";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Dec 26 2023 23:57:22 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.02680021e+1;2.66445330e-1;-1.11146725e-1;9.02680021e+1;2.88698300e-1;3.37356716e+2;7.42621249e-1;7.68835767e-1;6.35606291e-1;228;227;227;#e4e3e3;T;0.11;0.11;0.11;0.11;7.12002277e-1;7.26106048e-1;7.48956740e-1;7.58601069e-1;7.63937891e-1;7.75530159e-1;7.78015971e-1;7.74460375e-1;7.75022209e-1;7.76882648e-1;7.75371432e-1;7.74270415e-1;7.74439573e-1;7.62869716e-1;7.64642179e-1;7.64565051e-1;7.63704658e-1;7.64767528e-1;7.66318381e-1;7.71629035e-1;7.73832321e-1;7.75561392e-1;7.75906205e-1;7.71322250e-1;7.69574940e-1;7.71581411e-1;7.69088387e-1;7.68635333e-1;7.75151312e-1;8.08048129e-1;8.39210808e-1
3;"-";"Inks";"-";"Peach haze 1";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Dec 26 2023 23:58:49 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.72423369e+1;3.74458198e+1;2.51066744e+1;7.72423369e+1;4.50836391e+1;3.38410635e+1;6.54192052e-1;5.19356392e-1;2.57508329e-1;255;162;147;#ffa293;T;0.08;0.53;0.51;0.23;1.81678072e-1;2.13310793e-1;2.47014791e-1;2.70822048e-1;2.95514613e-1;3.18641961e-1;3.43782872e-1;3.60140085e-1;3.39563847e-1;3.01262617e-1;2.71901339e-1;2.33039528e-1;1.99323222e-1;1.81100368e-1;2.30574816e-1;3.67869049e-1;5.40358543e-1;6.83503449e-1;7.39858449e-1;7.81177282e-1;8.13360453e-1;8.40711117e-1;8.64335656e-1;8.79281461e-1;8.91733825e-1;9.09270704e-1;9.18727338e-1;9.25838590e-1;9.28508282e-1;9.28164363e-1;9.28081870e-1
4;"-";"Inks";"-";"Operation overlord 1";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Dec 26 2023 23:59:04 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.98591882e+1;1.49476033e+1;4.85219234e+1;7.98591882e+1;5.07721173e+1;7.28780930e+1;6.05347210e-1;5.64322378e-1;1.64162326e-1;244;187;106;#f4bb6a;T;0.10;0.32;0.67;0.22;1.11604482e-1;1.13437690e-1;1.20136626e-1;1.27176285e-1;1.42047212e-1;1.56902760e-1;1.81013361e-1;2.13862404e-1;2.64117241e-1;3.35911900e-1;4.09648031e-1;4.62342858e-1;4.83067065e-1;4.92888600e-1;4.95677054e-1;4.89503741e-1;4.84840512e-1;5.08381665e-1;5.69909334e-1;6.65956914e-1;7.56257534e-1;8.18040133e-1;8.56159866e-1;8.76964569e-1;8.92332911e-1;9.10360992e-1;9.18529987e-1;9.25577581e-1;9.29336011e-1;9.29379761e-1;9.28421438e-1
5;"-";"Inks";"-";"Opportunity 1";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Dec 26 2023 23:59:23 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.69420576e+1;4.83406300e+1;-9.20111372e+0;5.69420576e+1;4.92085054e+1;3.49223280e+2;3.68191875e-1;2.48633740e-1;2.53583731e-1;208;99;155;#d0639b;T;0.31;0.81;0.52;0.54;2.30141699e-1;2.53627658e-1;2.71000892e-1;2.82213986e-1;2.97765940e-1;3.18246156e-1;3.36506695e-1;3.44191551e-1;3.26548487e-1;2.92499274e-1;2.48586193e-1;1.96640551e-1;1.59806624e-1;1.40036345e-1;1.40034631e-1;1.32167026e-1;1.18378796e-1;1.17118701e-1;1.50313884e-1;2.38021761e-1;3.74885499e-1;5.14705598e-1;6.28151774e-1;7.21693754e-1;7.89081216e-1;8.66255760e-1;9.05471742e-1;9.32736576e-1;9.41746533e-1;9.43007648e-1;9.38376725e-1
6;"-";"Inks";"-";"Peach haze 2";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Dec 26 2023 23:59:47 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.76371341e+1;3.65127658e+1;2.37084251e+1;7.76371341e+1;4.35347159e+1;3.29964213e+1;6.57631639e-1;5.25981382e-1;2.69529670e-1;255;164;150;#ffa496;T;0.08;0.52;0.49;0.23;1.94641009e-1;2.25457281e-1;2.59997368e-1;2.84600735e-1;3.09537858e-1;3.33441645e-1;3.59523863e-1;3.75828236e-1;3.54225844e-1;3.15240681e-1;2.85635918e-1;2.46165007e-1;2.11345047e-1;1.92374483e-1;2.42492810e-1;3.79734933e-1;5.49358308e-1;6.86734855e-1;7.39775240e-1;7.79657960e-1;8.11948001e-1;8.40131402e-1;8.63897622e-1;8.79164279e-1;8.91877949e-1;9.09793556e-1;9.19035137e-1;9.26562488e-1;9.30244625e-1;9.29828525e-1;9.26743686e-1
7;"-";"Inks";"-";"Opportunity 2";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Dec 27 2023 00:00:16 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.70561721e+1;4.81951876e+1;-9.30975795e+0;5.70561721e+1;4.90861254e+1;3.49066958e+2;3.69247777e-1;2.49802494e-1;2.55309048e-1;208;99;155;#d0639b;T;0.30;0.80;0.51;0.54;2.31185839e-1;2.54703045e-1;2.72967041e-1;2.84452140e-1;3.00199538e-1;3.20625901e-1;3.38549763e-1;3.45898926e-1;3.28319192e-1;2.94675559e-1;2.50996560e-1;1.98641509e-1;1.61265880e-1;1.41087383e-1;1.40997276e-1;1.33096814e-1;1.19182415e-1;1.17970861e-1;1.51823014e-1;2.40385264e-1;3.76521230e-1;5.14328539e-1;6.26931190e-1;7.21562505e-1;7.90046632e-1;8.69141102e-1;9.08063173e-1;9.35316622e-1;9.44756687e-1;9.46621537e-1;9.42817211e-1
8;"-";"Inks";"-";"Operation overlord 2";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Dec 27 2023 00:00:46 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.02022146e+1;1.42891320e+1;4.86595293e+1;8.02022146e+1;5.07141902e+1;7.36348405e+1;6.08832508e-1;5.70402265e-1;1.66084081e-1;244;188;107;#f4bc6b;T;0.10;0.31;0.66;0.21;1.17311329e-1;1.18911341e-1;1.24512069e-1;1.30715996e-1;1.43749744e-1;1.57667428e-1;1.81410059e-1;2.14471519e-1;2.66323119e-1;3.41986030e-1;4.19970363e-1;4.73286092e-1;4.92509246e-1;5.00728846e-1;5.02846777e-1;4.96727794e-1;4.91850197e-1;5.15126467e-1;5.76643288e-1;6.71254098e-1;7.58909225e-1;8.19354296e-1;8.57213616e-1;8.77800345e-1;8.93029153e-1;9.10944164e-1;9.20197785e-1;9.27651107e-1;9.30988133e-1;9.30777431e-1;9.27927732e-1
9;"-";"Glossy";"-";"Paper";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Dec 27 2023 00:27:47 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.50107227e+1;-2.96744761e-1;-3.28537299e+0;9.50107227e+1;3.29874721e+0;2.64838878e+2;8.43507029e-1;8.76437239e-1;7.61131555e-1;238;241;247;#eef1f7;T;0.06;0.05;0.04;0.06;6.53302133e-1;7.16498375e-1;8.34421933e-1;9.07380700e-1;9.39900935e-1;9.43516612e-1;9.35279846e-1;9.29987431e-1;9.31277812e-1;9.24117446e-1;9.12760973e-1;9.04303074e-1;9.00406063e-1;8.78884614e-1;8.77304733e-1;8.73663664e-1;8.67958069e-1;8.61751497e-1;8.58620882e-1;8.59225154e-1;8.58499110e-1;8.61791551e-1;8.67752016e-1;8.70364487e-1;8.74787033e-1;8.86964858e-1;8.96591425e-1;9.06563878e-1;9.15336549e-1;9.20576751e-1;9.20125842e-1
10;"-";"Glossy";"-";"Peach haze ";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Dec 27 2023 00:28:19 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.53689595e+1;4.16594424e+1;1.37394685e+1;7.53689595e+1;4.38666403e+1;1.82527842e+1;6.37094957e-1;4.88677193e-1;3.06683016e-1;255;154;163;#ff9aa3;T;0.08;0.58;0.43;0.26;1.94923818e-1;2.11498111e-1;2.51881659e-1;2.86949456e-1;3.30821782e-1;3.70984524e-1;4.17504728e-1;4.56344604e-1;4.48975384e-1;3.97523671e-1;3.47702801e-1;2.88562059e-1;2.06119239e-1;1.37409136e-1;1.53369606e-1;2.87416488e-1;4.55032647e-1;5.94739497e-1;6.79068983e-1;7.66586125e-1;8.22106838e-1;8.44948292e-1;8.60413492e-1;8.71398330e-1;8.81574869e-1;8.97248030e-1;9.05291200e-1;9.13726687e-1;9.20872927e-1;9.25478160e-1;9.26585436e-1
11;"-";"Glossy";"-";"Opportunity";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Dec 27 2023 00:28:56 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.89931570e+1;5.38040829e+1;-8.62572495e+0;5.89931570e+1;5.44911228e+1;3.50891998e+2;4.13489523e-1;2.70203483e-1;2.70642871e-1;221;98;159;#dd629f;T;0.21;0.81;0.48;0.50;2.18751594e-1;2.19081372e-1;2.37569138e-1;2.53414929e-1;2.84045011e-1;3.16594243e-1;3.57420117e-1;3.95865828e-1;4.11325365e-1;3.98901284e-1;3.52470249e-1;2.64568865e-1;1.79580346e-1;1.20813943e-1;1.00136265e-1;8.54266360e-2;6.89249411e-2;7.69651085e-2;1.58248082e-1;3.29412520e-1;5.14574349e-1;6.39274120e-1;7.32168674e-1;8.08522642e-1;8.63306046e-1;9.14196968e-1;9.25822377e-1;9.36896980e-1;9.43872511e-1;9.49045300e-1;9.48928356e-1
12;"-";"Glossy";"-";"Operation Overlord";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Dec 27 2023 00:30:01 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.40968269e+1;4.83175315e+0;5.44905174e+1;8.40968269e+1;5.47043172e+1;8.49327531e+1;6.40579102e-1;6.42520463e-1;1.69869839e-1;242;205;104;#f2cd68;T;0.09;0.23;0.63;0.17;1.04926609e-1;8.70857909e-2;8.60685110e-2;8.88056383e-2;1.10252008e-1;1.32679373e-1;1.75004080e-1;2.34467074e-1;3.25289875e-1;4.48246121e-1;5.54443896e-1;5.99857628e-1;6.02289379e-1;5.95597863e-1;5.93974113e-1;5.83523929e-1;5.73815882e-1;5.97017705e-1;6.59485400e-1;7.41326988e-1;7.99997509e-1;8.31589222e-1;8.50079536e-1;8.59090805e-1;8.67108762e-1;8.80379498e-1;8.89287353e-1;8.99134696e-1;9.08259749e-1;9.14216697e-1;9.13908064e-1
13;"-";"Primaries";"-";"000000";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Dec 27 2023 01:20:39 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.49100302e+1;-4.04807684e-1;-2.85853211e+0;9.49100302e+1;2.88705301e+0;2.61939722e+2;8.40641697e-1;8.74054481e-1;7.54110729e-1;238;241;246;#eef1f6;T;0.06;0.05;0.04;0.06;6.45545244e-1;7.05059290e-1;8.24665844e-1;8.97038221e-1;9.27670598e-1;9.32929754e-1;9.27714348e-1;9.23589408e-1;9.25033152e-1;9.19299006e-1;9.09121096e-1;9.01138842e-1;8.97900045e-1;8.77053618e-1;8.75105083e-1;8.71481121e-1;8.66004229e-1;8.59653950e-1;8.56405914e-1;8.57010961e-1;8.56329501e-1;8.59671831e-1;8.65765989e-1;8.68908167e-1;8.73747408e-1;8.86239767e-1;8.95121336e-1;9.04429078e-1;9.13013875e-1;9.19436634e-1;9.20441985e-1
14;"-";"Primaries";"-";"001000";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Dec 27 2023 01:21:01 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.85765511e+1;-1.44624562e+0;7.98332310e+1;8.85765511e+1;7.98463299e+1;9.10378473e+1;6.99710114e-1;7.32704699e-1;1.04616176e-1;250;221;48;#fadd30;T;0.07;0.17;0.82;0.11;2.39419919e-2;2.46618204e-2;2.65141092e-2;3.01021598e-2;3.94621417e-2;4.96398434e-2;8.31439793e-2;1.42261177e-1;2.32593641e-1;3.44237536e-1;4.53397512e-1;5.58582127e-1;6.38006330e-1;6.89336717e-1;7.27135658e-1;7.53723145e-1;7.76043475e-1;7.96274781e-1;8.14720988e-1;8.35490465e-1;8.47655416e-1;8.56858134e-1;8.65354598e-1;8.69499922e-1;8.74832809e-1;8.86873782e-1;8.96121204e-1;9.06205475e-1;9.14078534e-1;9.18863595e-1;9.20312881e-1
15;"-";"Primaries";"-";"010000";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Dec 27 2023 01:21:21 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.21853245e+1;6.08824189e+1;3.97335252e-1;5.21853245e+1;6.08837155e+1;3.73922558e-1;3.44477370e-1;2.03094783e-1;1.65902249e-1;214;68;127;#d6447f;T;0.28;1.21;0.70;0.60;1.23218365e-1;1.29995838e-1;1.42590061e-1;1.58184215e-1;1.86276197e-1;2.10428357e-1;2.35149518e-1;2.50596046e-1;2.31361359e-1;1.88755721e-1;1.44272938e-1;9.69424620e-2;5.74140735e-2;3.04321107e-2;2.53655929e-2;3.52784619e-2;5.35441153e-2;1.02793917e-1;2.03415915e-1;3.45724165e-1;4.71227020e-1;5.52761674e-1;6.05190933e-1;6.40588582e-1;6.65627003e-1;6.93324208e-1;7.10093260e-1;7.30718970e-1;7.52831280e-1;7.71075606e-1;7.82269716e-1
16;"-";"Primaries";"-";"011000";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Dec 27 2023 01:21:39 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.21791973e+1;5.83130210e+1;4.11012809e+1;5.21791973e+1;7.13422996e+1;3.51776673e+1;3.36971374e-1;2.03040037e-1;4.60883258e-2;219;70;58;#db463a;T;0.26;1.23;1.20;0.59;1.80445965e-2;1.73398927e-2;1.82545837e-2;1.97980180e-2;2.59224549e-2;3.30920145e-2;5.35102114e-2;8.54867697e-2;1.13287278e-1;1.23943418e-1;1.13555945e-1;8.47407654e-2;5.41058891e-2;3.19778919e-2;2.72762999e-2;3.73844765e-2;5.63068055e-2;1.06185719e-1;2.07633033e-1;3.55236143e-1;4.91206408e-1;5.81333160e-1;6.36462927e-1;6.71088219e-1;6.95155025e-1;7.21326947e-1;7.35926569e-1;7.53452659e-1;7.72968888e-1;7.90887594e-1;8.01981807e-1
17;"-";"Primaries";"-";"100000";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Dec 27 2023 01:21:56 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.59083441e+1;-2.05638083e+1;-4.17941661e+1;5.59083441e+1;4.65792070e+1;2.43801623e+2;1.86938370e-1;2.38212143e-1;4.69920394e-1;0;146;206;#0092ce;T;1.01;0.47;0.24;0.70;2.60546654e-1;3.26494664e-1;4.13747549e-1;4.86613333e-1;5.43381631e-1;5.83908319e-1;6.16122365e-1;6.35183275e-1;6.34225905e-1;6.16367757e-1;5.83041251e-1;5.18402457e-1;4.30511534e-1;3.53351474e-1;2.81748861e-1;2.17498779e-1;1.58002168e-1;1.13748364e-1;9.08352733e-2;7.97635168e-2;7.85158426e-2;8.86279121e-2;1.11063227e-1;1.41042739e-1;1.65043026e-1;1.98371843e-1;2.27682114e-1;2.61867851e-1;2.99032211e-1;3.29975396e-1;3.54631901e-1
18;"-";"Primaries";"-";"101000";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Dec 27 2023 01:22:12 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.04450786e+1;-3.68364479e+1;1.97710632e+1;5.04450786e+1;4.18069233e+1;1.51776408e+2;1.19899084e-1;1.87937952e-1;8.78524855e-2;47;136;84;#2f8854;T;0.99;0.57;0.89;0.77;2.23534927e-2;2.06807647e-2;2.21521296e-2;2.41494179e-2;3.41846123e-2;4.67620306e-2;8.09908509e-2;1.37633279e-1;2.15491876e-1;2.98393369e-1;3.56260091e-1;3.68410647e-1;3.34124178e-1;2.95657724e-1;2.45157257e-1;1.97148755e-1;1.50899321e-1;1.13856837e-1;9.29435119e-2;8.28766897e-2;8.19561034e-2;9.23006684e-2;1.15398802e-1;1.45948723e-1;1.70321450e-1;2.03785405e-1;2.30146393e-1;2.60140419e-1;2.94764459e-1;3.27241004e-1;3.56933385e-1
19;"-";"Primaries";"-";"110000";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Dec 27 2023 01:22:33 GMT+0000 (Coordinated Universal Time);D50;2;M2;2.68725912e+1;6.15307902e+0;-3.71220938e+1;2.68725912e+1;3.76285826e+1;2.79411351e+2;5.37052140e-2;5.04853338e-2;1.41226766e-1;36;62;121;#243e79;T;1.46;1.23;0.76;1.36;6.91456273e-2;7.87165165e-2;9.12068933e-2;1.05825946e-1;1.34209856e-1;1.61706522e-1;1.98992476e-1;2.34342933e-1;2.38376871e-1;2.14034155e-1;1.75163150e-1;1.23056032e-1;7.43202642e-2;3.93635258e-2;2.61672400e-2;2.30544899e-2;2.04584561e-2;1.86153725e-2;1.85530651e-2;1.99814588e-2;2.25991495e-2;2.91059185e-2;4.23895493e-2;6.16708361e-2;7.74222687e-2;1.01095170e-1;1.24046609e-1;1.51650861e-1;1.83410153e-1;2.09672749e-1;2.33721048e-1
