sep=;
Export Date/Time;Sun Jan 07 2024 05:54:26 GMT+0000 (Coordinated Universal Time),User Email;varun.nealsri@gmail.com,Saved Library Name;010624
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"CIJK";"-";"0000";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 07 2024 02:32:17 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.55920464e+1;5.22979960e-1;-2.33872159e+0;9.55920464e+1;2.39648215e+0;2.82604987e+2;8.61227161e-1;8.90278239e-1;7.61784224e-1;242;242;247;#f2f2f7;T;0.05;0.05;0.04;0.05;5.26329696e-1;6.82813227e-1;8.36406827e-1;9.03720438e-1;9.37064588e-1;9.41361547e-1;9.37015772e-1;9.34431493e-1;9.38373625e-1;9.34686959e-1;9.25848901e-1;9.17414784e-1;9.11758363e-1;8.87417614e-1;8.83035421e-1;8.79237890e-1;8.75177741e-1;8.72049451e-1;8.72988701e-1;8.77350807e-1;8.80057156e-1;8.88221264e-1;9.00157511e-1;9.06830013e-1;9.13983703e-1;9.27179337e-1;9.35505867e-1;9.42644596e-1;9.45901752e-1;9.43617821e-1;9.44659352e-1
2;"-";"CIJK";"-";"0001";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 07 2024 02:32:45 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.10553678e+1;1.35595356e+0;2.25986448e+1;9.10553678e+1;2.26392879e+1;8.65662815e+1;7.64628373e-1;7.86052180e-1;4.38384576e-1;245;228;186;#f5e4ba;T;0.06;0.12;0.26;0.10;3.12796444e-1;3.68472964e-1;4.23076302e-1;4.48907644e-1;4.72112089e-1;4.94863063e-1;5.23909628e-1;5.57859898e-1;6.09279871e-1;6.77317619e-1;7.34853089e-1;7.64948010e-1;7.72387445e-1;7.63086975e-1;7.62520790e-1;7.58390367e-1;7.55359292e-1;7.65923679e-1;7.91920245e-1;8.28507304e-1;8.56783450e-1;8.78075182e-1;8.95340919e-1;9.04640615e-1;9.13299859e-1;9.27739799e-1;9.35932219e-1;9.43299711e-1;9.47474241e-1;9.46266711e-1;9.45443869e-1
3;"-";"CIJK";"-";"0002";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 07 2024 02:32:59 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.71238908e+1;2.07355971e+1;5.57425632e+1;7.71238908e+1;5.94743503e+1;6.95953736e+1;5.80243061e-1;5.17379684e-1;1.18783363e-1;246;175;85;#f6af55;T;0.10;0.38;0.80;0.25;8.94989967e-2;8.67880210e-2;8.69251415e-2;8.94953832e-2;9.72541273e-2;1.05711088e-1;1.22181296e-1;1.47510618e-1;1.92657188e-1;2.63709038e-1;3.41222763e-1;3.95356417e-1;4.15416658e-1;4.26292151e-1;4.29562151e-1;4.24733490e-1;4.22885507e-1;4.51367468e-1;5.20675898e-1;6.32210732e-1;7.46090412e-1;8.26435745e-1;8.70348454e-1;8.90205026e-1;9.04036939e-1;9.19934213e-1;9.28830922e-1;9.36870456e-1;9.41319406e-1;9.40912426e-1;9.42058504e-1
4;"-";"CIJK";"-";"0010";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 07 2024 02:33:20 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.82032988e+1;2.44228214e+1;-2.17576980e+1;7.82032988e+1;3.27088922e+1;3.18302932e+2;6.15317692e-1;5.35580018e-1;6.44439189e-1;224;178;235;#e0b2eb;T;0.17;0.31;0.12;0.26;4.43693817e-1;5.77319086e-1;7.09502578e-1;7.74594486e-1;8.23502660e-1;8.45163763e-1;8.37019920e-1;8.02293181e-1;7.44876623e-1;6.79151595e-1;6.23394668e-1;5.58696091e-1;5.01987994e-1;4.62144107e-1;4.57726061e-1;4.51344222e-1;4.33846623e-1;4.20142412e-1;4.25867230e-1;4.68959838e-1;5.66830933e-1;7.03474343e-1;8.14250648e-1;8.73047411e-1;9.09853160e-1;9.30870295e-1;9.36565995e-1;9.43874300e-1;9.47666943e-1;9.47473466e-1;9.47027862e-1
5;"-";"CIJK";"-";"0011";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 07 2024 02:33:33 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.43815904e+1;2.29146114e+1;2.94836443e+0;7.43815904e+1;2.31035121e+1;7.33181829e+0;5.41386923e-1;4.73005260e-1;3.68589750e-1;225;167;179;#e1a7b3;T;0.17;0.38;0.34;0.30;2.77391255e-1;3.18941981e-1;3.63450527e-1;3.86247754e-1;4.09172267e-1;4.33707565e-1;4.60742384e-1;4.84906107e-1;5.07184863e-1;5.27732193e-1;5.29557645e-1;4.90826160e-1;4.40185070e-1;4.03487802e-1;3.95726055e-1;3.81765813e-1;3.56575310e-1;3.41862947e-1;3.57941061e-1;4.23835665e-1;5.52526057e-1;7.09949911e-1;8.24043930e-1;8.79652321e-1;9.13413823e-1;9.32415485e-1;9.38518047e-1;9.46165442e-1;9.50594902e-1;9.50826526e-1;9.50240850e-1
6;"-";"CIJK";"-";"0012";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 07 2024 02:33:47 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.56216973e+1;3.58654281e+1;3.72013821e+1;6.56216973e+1;5.16746723e+1;4.60474797e+1;4.49465843e-1;3.48371723e-1;1.14450791e-1;230;132;95;#e6845f;T;0.17;0.58;0.82;0.40;9.22350138e-2;8.98231342e-2;8.95140842e-2;9.14579704e-2;9.82322320e-2;1.06642127e-1;1.22928850e-1;1.47769406e-1;1.89740852e-1;2.52057642e-1;3.08125257e-1;3.14923793e-1;2.86433369e-1;2.63552010e-1;2.52973109e-1;2.29746208e-1;1.95396140e-1;1.80239439e-1;2.19770819e-1;3.36795270e-1;5.31946778e-1;7.30373800e-1;8.49209130e-1;8.99573028e-1;9.28547919e-1;9.45850074e-1;9.49709296e-1;9.53685760e-1;9.55142796e-1;9.53460097e-1;9.52505589e-1
7;"-";"CIJK";"-";"0020";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 07 2024 02:34:04 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.01620838e+1;6.54525337e+1;-3.64936682e+1;5.01620838e+1;7.49387883e+1;3.30857742e+2;3.32527784e-1;1.85546838e-1;3.52092840e-1;199;58;183;#c73ab7;T;0.40;1.02;0.40;0.66;2.98771322e-1;3.51878226e-1;4.02470171e-1;4.35006768e-1;4.80578005e-1;5.16631603e-1;5.01467705e-1;4.30041134e-1;3.30671668e-1;2.46424139e-1;1.93292618e-1;1.42956406e-1;1.02469020e-1;7.76448995e-2;7.60483369e-2;7.32175037e-2;6.34927601e-2;5.61663657e-2;6.43857196e-2;1.03436328e-1;2.06329599e-1;3.87184143e-1;5.96691549e-1;7.62747228e-1;8.75819623e-1;9.46718991e-1;9.47805464e-1;9.56668913e-1;9.60693240e-1;9.62695599e-1;9.60144162e-1
8;"-";"CIJK";"-";"0021";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 07 2024 02:34:19 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.08740047e+1;5.57685380e+1;-1.05040529e+1;5.08740047e+1;5.67491405e+1;3.49333256e+2;3.14059357e-1;1.91601113e-1;2.05380155e-1;199;73;141;#c7498d;T;0.38;0.97;0.60;0.64;2.01496094e-1;2.08632678e-1;2.14007676e-1;2.16898143e-1;2.30809912e-1;2.51123458e-1;2.72673756e-1;2.88610756e-1;2.81270921e-1;2.54390210e-1;2.17641696e-1;1.65122598e-1;1.18406616e-1;8.87092873e-2;8.55296552e-2;8.09002593e-2;6.83562607e-2;5.96467704e-2;6.89821541e-2;1.11812763e-1;2.23140165e-1;4.12708074e-1;6.18986487e-1;7.73717284e-1;8.77759039e-1;9.42989826e-1;9.45443869e-1;9.53659892e-1;9.56410408e-1;9.55522716e-1;9.54679251e-1
9;"-";"CIJK";"-";"0022";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 07 2024 02:34:30 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.48189948e+1;4.58460704e+1;1.62018507e+1;5.48189948e+1;4.86247070e+1;1.94632408e+1;3.33856580e-1;2.27549197e-1;1.22506945e-1;206;95;106;#ce5f6a;T;0.32;0.82;0.80;0.57;1.12354480e-1;1.07888728e-1;1.05932623e-1;1.06747948e-1;1.13394603e-1;1.23317964e-1;1.41499206e-1;1.68756694e-1;2.07213357e-1;2.46793598e-1;2.58327276e-1;2.20347852e-1;1.69835120e-1;1.35240018e-1;1.27629116e-1;1.15961790e-1;9.41644758e-2;8.10996518e-2;9.80362296e-2;1.61186099e-1;2.97223866e-1;4.94030178e-1;6.78957701e-1;8.03080499e-1;8.84414732e-1;9.34600174e-1;9.38392282e-1;9.45316434e-1;9.47546899e-1;9.46503043e-1;9.44851220e-1
10;"-";"CIJK";"-";"1000";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 07 2024 02:34:49 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.75641821e+1;-1.56039062e+1;-2.68670335e+1;7.75641821e+1;3.10695893e+1;2.39852725e+2;4.49489819e-1;5.24752974e-1;6.87427115e-1;130;202;241;#82caf1;T;0.44;0.19;0.08;0.32;3.91085148e-1;5.38119912e-1;6.91320419e-1;7.79279768e-1;8.32570195e-1;8.58912051e-1;8.71587515e-1;8.73188019e-1;8.70032310e-1;8.57512414e-1;8.34023774e-1;7.90405393e-1;7.29202807e-1;6.63758457e-1;5.96817911e-1;5.27348697e-1;4.61941123e-1;4.12266225e-1;3.79835248e-1;3.60039741e-1;3.50522280e-1;3.53261381e-1;3.67576122e-1;3.86685789e-1;4.02436286e-1;4.25612926e-1;4.42010492e-1;4.61509407e-1;4.82535124e-1;4.98190165e-1;5.11008561e-1
