sep=;
Export Date/Time;Wed Jan 10 2024 03:56:42 GMT+0000 (Coordinated Universal Time),User Email;varun.nealsri@gmail.com,Saved Library Name;010924
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Mets";"-";"10 10 60 90";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 00:53:47 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.06362029e+1;2.79854050e+1;1.29371043e+1;6.06362029e+1;3.08310162e+1;2.48101756e+1;3.54859932e-1;2.88355320e-1;1.74679017e-1;197;127;125;#c57f7d;T;0.32;0.62;0.65;0.50;1.31804332e-1;1.37625560e-1;1.46827862e-1;1.53768212e-1;1.68942899e-1;1.85784474e-1;2.10767090e-1;2.41883680e-1;2.77645260e-1;3.14976364e-1;3.32251698e-1;3.04598093e-1;2.59892285e-1;2.28564948e-1;2.18734100e-1;2.02395275e-1;1.77295208e-1;1.63766965e-1;1.81196705e-1;2.44865224e-1;3.66241723e-1;5.12238204e-1;6.20748997e-1;6.81025505e-1;7.19033659e-1;7.46266723e-1;7.57111907e-1;7.70379901e-1;7.82082677e-1;7.89661229e-1;7.95320988e-1
2;"-";"Mets";"-";"30 90 00 40";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 00:54:16 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.39142280e+1;2.71410325e+1;1.69214283e+1;6.39142280e+1;3.19839082e+1;3.19420109e+1;3.95812425e-1;3.26962810e-1;1.82112956e-1;207;136;126;#cf887e;T;0.33;0.70;0.66;0.44;1.32093832e-1;1.49095401e-1;1.67645812e-1;1.82538822e-1;2.02459753e-1;2.22194344e-1;2.45001182e-1;2.62113243e-1;2.49520317e-1;2.21287504e-1;1.98657930e-1;1.67500675e-1;1.39182568e-1;1.23513870e-1;1.60796523e-1;2.58844465e-1;3.71062249e-1;4.45539802e-1;4.52720821e-1;4.51484621e-1;4.52776402e-1;4.65181679e-1;4.89304692e-1;5.16216874e-1;5.37697017e-1;5.66842973e-1;5.85143447e-1;6.05276346e-1;6.25397444e-1;6.40227199e-1;6.51805520e-1
3;"-";"Mets";"-";"25 10 65 90";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 01:24:51 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.02409921e+1;1.69133767e+1;1.00999050e+1;6.02409921e+1;1.96995024e+1;3.08437421e+1;3.18240069e-1;2.83917164e-1;1.84329443e-1;178;134;128;#b28680;T;0.39;0.58;0.63;0.52;1.36410549e-1;1.44271150e-1;1.53326169e-1;1.60400301e-1;1.77209094e-1;1.94948092e-1;2.20531613e-1;2.53193617e-1;2.93964505e-1;3.39228809e-1;3.62705112e-1;3.35674763e-1;2.87911892e-1;2.53401935e-1;2.40287378e-1;2.20123112e-1;1.91245168e-1;1.75622493e-1;1.91761687e-1;2.47469440e-1;3.38215113e-1;4.31670159e-1;4.98755097e-1;5.42424083e-1;5.72066665e-1;6.01018071e-1;6.16633356e-1;6.34989262e-1;6.53432310e-1;6.68131292e-1;6.78589642e-1
4;"-";"Mets";"-";"40 90 05 60";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 01:25:05 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.08663601e+1;2.14871000e+1;1.52223667e+1;6.08663601e+1;2.63327916e+1;3.53153639e+1;3.38750529e-1;2.90961134e-1;1.66507346e-1;189;132;121;#bd8479;T;0.40;0.71;0.69;0.50;1.19695090e-1;1.32890701e-1;1.46384493e-1;1.58680841e-1;1.77359104e-1;1.96426973e-1;2.20825419e-1;2.43407354e-1;2.41378397e-1;2.23663196e-1;2.06471726e-1;1.73178703e-1;1.40633792e-1;1.22512549e-1;1.63190722e-1;2.54428566e-1;3.42727125e-1;3.84610653e-1;3.77290279e-1;3.72228980e-1;3.73496950e-1;3.85837972e-1;4.09367204e-1;4.36518013e-1;4.58105981e-1;4.87332821e-1;5.06223261e-1;5.28226316e-1;5.50933957e-1;5.67729354e-1;5.81669688e-1
5;"-";"Mets";"-";"00 20 65 100";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 01:47:28 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.48556618e+1;2.89160184e+1;2.05609411e+1;6.48556618e+1;3.54808176e+1;3.54150010e+1;4.14745416e-1;3.38654882e-1;1.73149532e-1;213;137;122;#d5897a;T;0.24;0.56;0.65;0.43;1.28748491e-1;1.32841751e-1;1.41166329e-1;1.48331061e-1;1.63913965e-1;1.80492386e-1;2.04955906e-1;2.36321002e-1;2.77510017e-1;3.25370938e-1;3.54380250e-1;3.37032944e-1;2.97142774e-1;2.68021524e-1;2.59776801e-1;2.43183017e-1;2.15111226e-1;1.99904472e-1;2.23316044e-1;3.05425584e-1;4.56037909e-1;6.24381125e-1;7.34115899e-1;7.83651352e-1;8.12566102e-1;8.29263687e-1;8.32779586e-1;8.36769819e-1;8.39811325e-1;8.41266990e-1;8.38293731e-1
6;"-";"Mets";"-";"25 100 05 60";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 01:47:38 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.28547822e+1;2.94356213e+1;2.55542835e+1;6.28547822e+1;3.89804721e+1;4.09626030e+1;3.88596629e-1;3.14130527e-1;1.38805963e-1;210;131;108;#d2836c;T;0.32;0.74;0.77;0.45;1.08171612e-1;1.14368394e-1;1.22805744e-1;1.32011682e-1;1.47379190e-1;1.63122118e-1;1.83999479e-1;2.04061851e-1;2.01827213e-1;1.85093731e-1;1.68357089e-1;1.40078366e-1;1.15208805e-1;1.02107450e-1;1.40655592e-1;2.40947992e-1;3.55922699e-1;4.33164746e-1;4.44337517e-1;4.49250400e-1;4.56387579e-1;4.73195136e-1;5.00751436e-1;5.30334949e-1;5.53678393e-1;5.84488571e-1;6.02729857e-1;6.22800827e-1;6.42976642e-1;6.59262359e-1;6.72668815e-1
7;"-";"Mets";"-";"00 10 75 100";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 02:06:42 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.13002878e+1;3.77150907e+1;1.65297366e+1;6.13002878e+1;4.11783956e+1;2.36668354e+1;3.93602321e-1;2.95916625e-1;1.64137366e-1;214;120;121;#d67879;T;0.25;0.65;0.68;0.48;1.21010453e-1;1.27350613e-1;1.34943411e-1;1.41365185e-1;1.57043412e-1;1.73048973e-1;1.96710661e-1;2.26615101e-1;2.64040053e-1;3.05893898e-1;3.25613767e-1;2.95127511e-1;2.45970979e-1;2.11502880e-1;2.00927854e-1;1.82182923e-1;1.53575420e-1;1.38430625e-1;1.60346299e-1;2.42041007e-1;4.09290224e-1;6.15203857e-1;7.58698881e-1;8.26110661e-1;8.65480900e-1;8.85630786e-1;8.89608324e-1;8.94509852e-1;8.96988750e-1;8.96649420e-1;8.94453347e-1
8;"-";"Mets";"-";"20 100 00 35";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 02:06:55 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.63037559e+1;3.10050389e+1;2.17985327e+1;6.63037559e+1;3.79010351e+1;3.51096798e+1;4.42819266e-1;3.57178242e-1;1.78711408e-1;221;139;124;#dd8b7c;T;0.26;0.69;0.67;0.40;1.31158844e-1;1.45680606e-1;1.64303198e-1;1.79287523e-1;1.98282361e-1;2.17798918e-1;2.40873024e-1;2.58329540e-1;2.44958714e-1;2.15386271e-1;1.92948684e-1;1.62234634e-1;1.34198040e-1;1.18801579e-1;1.58037409e-1;2.66888201e-1;3.98615658e-1;4.95282710e-1;5.13701260e-1;5.17877102e-1;5.21722972e-1;5.36406636e-1;5.62012434e-1;5.89188099e-1;6.10892236e-1;6.40301049e-1;6.57646775e-1;6.76387608e-1;6.94984376e-1;7.09390521e-1;7.20081210e-1
9;"-";"Mets2";"-";"35 90 00 05";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 03:02:05 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.88524248e+1;2.84036974e+1;1.32959843e+1;6.88524248e+1;3.13616521e+1;2.50846473e+1;4.72324522e-1;3.91398183e-1;2.42684563e-1;222;148;146;#de9492;T;0.25;0.60;0.54;0.36;1.74106717e-1;2.02173725e-1;2.32301846e-1;2.54323542e-1;2.78752744e-1;3.02671522e-1;3.27600479e-1;3.41570616e-1;3.17401022e-1;2.77169406e-1;2.48322383e-1;2.11823851e-1;1.78977311e-1;1.60717607e-1;2.02000618e-1;3.10601979e-1;4.35415655e-1;5.20212531e-1;5.31837702e-1;5.33567548e-1;5.38695872e-1;5.55582643e-1;5.81751049e-1;6.08346760e-1;6.29493952e-1;6.57721281e-1;6.74198210e-1;6.92541957e-1;7.10858107e-1;7.24524736e-1;7.34366775e-1
10;"-";"Mets2";"-";"35 100 00 25";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 03:02:20 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.59625793e+1;3.17687438e+1;2.19601556e+1;6.59625793e+1;3.86199627e+1;3.46541807e+1;4.40389416e-1;3.52754761e-1;1.75384972e-1;221;137;123;#dd897b;T;0.27;0.70;0.68;0.40;1.30933553e-1;1.46966890e-1;1.64097115e-1;1.78458482e-1;1.96543217e-1;2.15556726e-1;2.37733796e-1;2.52988249e-1;2.35945255e-1;2.04114705e-1;1.81217268e-1;1.51904613e-1;1.26220256e-1;1.12297580e-1;1.50107712e-1;2.59270757e-1;3.95271182e-1;4.97219712e-1;5.15474021e-1;5.17299533e-1;5.19221127e-1;5.32856703e-1;5.58355629e-1;5.85877597e-1;6.07869506e-1;6.37333632e-1;6.54404461e-1;6.72847390e-1;6.91880226e-1;7.07798064e-1;7.19273388e-1
