sep=;
Export Date/Time;Fri Jan 12 2024 03:42:30 GMT+0000 (Coordinated Universal Time),User Email;varun.nealsri@gmail.com,Saved Library Name;011024
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"40 90 05 60";"-";"Met";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 20:13:46 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.03762403e+1;2.24661542e+1;1.65537445e+1;6.03762403e+1;2.79061739e+1;3.63839158e+1;3.35495907e-1;2.85430816e-1;1.57410442e-1;190;130;118;#be8276;T;0.41;0.73;0.72;0.50;1.19629905e-1;1.38832778e-1;1.50124639e-1;1.57465756e-1;1.68486461e-1;1.83690995e-1;2.05863133e-1;2.27753729e-1;2.26409972e-1;2.09920391e-1;1.92282930e-1;1.59441203e-1;1.30365029e-1;1.15374848e-1;1.57392487e-1;2.49150380e-1;3.38218838e-1;3.80241960e-1;3.73265803e-1;3.68918061e-1;3.71105820e-1;3.84679943e-1;4.09407049e-1;4.37375963e-1;4.59503263e-1;4.89133000e-1;5.08792996e-1;5.30986011e-1;5.53240359e-1;5.70137322e-1;5.84238291e-1
2;"-";"40 90 05 60";"-";"Met";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 20:13:59 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.97807353e+1;2.26521978e+1;1.68485769e+1;5.97807353e+1;2.82311284e+1;3.66416624e+1;3.28728140e-1;2.78806232e-1;1.52051708e-1;188;128;116;#bc8074;T;0.41;0.74;0.73;0.51;1.16674580e-1;1.33194610e-1;1.43070489e-1;1.50357336e-1;1.62761346e-1;1.77972734e-1;1.99427351e-1;2.20607921e-1;2.18774274e-1;2.02201396e-1;1.85574040e-1;1.54337883e-1;1.25944361e-1;1.11079305e-1;1.51549190e-1;2.41519928e-1;3.30060661e-1;3.73218834e-1;3.66654396e-1;3.61816645e-1;3.63744318e-1;3.77162755e-1;4.01950210e-1;4.30108905e-1;4.52380538e-1;4.82232690e-1;5.02032220e-1;5.24576187e-1;5.47672570e-1;5.65111935e-1;5.79729915e-1
3;"-";"10 10 60 90";"-";"Met";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 20:14:17 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.34976204e+1;2.38041986e+1;1.43433992e+1;6.34976204e+1;2.77915989e+1;3.10713820e+1;3.79636927e-1;3.21875870e-1;1.90649677e-1;200;137;130;#c88982;T;0.29;0.56;0.61;0.46;1.43583938e-1;1.55086771e-1;1.64486140e-1;1.70043826e-1;1.83312565e-1;2.00086683e-1;2.26328552e-1;2.60148078e-1;3.02399069e-1;3.49672824e-1;3.76084208e-1;3.51716757e-1;3.04491311e-1;2.70009696e-1;2.58387744e-1;2.38542020e-1;2.07724273e-1;1.90302685e-1;2.11021230e-1;2.84321725e-1;4.11274225e-1;5.46551466e-1;6.37691140e-1;6.86786830e-1;7.17911303e-1;7.43308902e-1;7.54297435e-1;7.66791880e-1;7.77513027e-1;7.84175813e-1;7.90685713e-1
4;"-";"35 100 00 25";"-";"Met";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 20:14:36 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.12919420e+1;2.68668905e+1;1.57803257e+1;6.12919420e+1;3.11584416e+1;3.04279375e+1;3.59958610e-1;2.95820789e-1;1.67257089e-1;198;129;122;#c6817a;T;0.37;0.75;0.70;0.48;1.23808436e-1;1.47100523e-1;1.62211746e-1;1.73041373e-1;1.87681764e-1;2.05140904e-1;2.26394355e-1;2.41417944e-1;2.24246383e-1;1.92407548e-1;1.69146463e-1;1.39283985e-1;1.14463858e-1;1.01717286e-1;1.40780002e-1;2.40256295e-1;3.51637214e-1;4.17805105e-1;4.13836688e-1;4.04226422e-1;4.02024239e-1;4.14119601e-1;4.39337999e-1;4.68307436e-1;4.91328865e-1;5.22357941e-1;5.42374194e-1;5.65113604e-1;5.88273048e-1;6.06139064e-1;6.22144818e-1
5;"-";"35 100 00 25";"-";"Met";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 20:14:45 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.09715668e+1;2.67319460e+1;1.61288036e+1;6.09715668e+1;3.12207502e+1;3.11048129e+1;3.55430909e-1;2.92157482e-1;1.63438935e-1;197;128;120;#c58078;T;0.38;0.76;0.71;0.49;1.23270132e-1;1.35914102e-1;1.49688333e-1;1.62901163e-1;1.82962507e-1;2.02077284e-1;2.23316327e-1;2.37524182e-1;2.20461369e-1;1.89535409e-1;1.66756153e-1;1.37082934e-1;1.12585083e-1;1.00058831e-1;1.38805449e-1;2.37615988e-1;3.47724915e-1;4.12337869e-1;4.08309877e-1;3.99401963e-1;3.97684813e-1;4.09599453e-1;4.34374392e-1;4.63173211e-1;4.86089110e-1;5.16843081e-1;5.36541045e-1;5.58959782e-1;5.81568182e-1;5.98935306e-1;6.14627898e-1
6;"-";"Candidates";"-";"00 00 65 100";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 21:14:05 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.63341941e+1;3.16275459e+1;1.83820309e+1;6.63341941e+1;3.65814259e+1;3.01652913e+1;4.45419892e-1;3.57574672e-1;1.94648153e-1;221;138;130;#dd8a82;T;0.20;0.54;0.60;0.40;1.37056932e-1;1.48060828e-1;1.59944877e-1;1.68993056e-1;1.87953666e-1;2.06645533e-1;2.33276114e-1;2.66618967e-1;3.07859331e-1;3.55197072e-1;3.83331031e-1;3.60370040e-1;3.13695401e-1;2.79646844e-1;2.68889576e-1;2.48998180e-1;2.17238173e-1;1.99520290e-1;2.24319592e-1;3.13417017e-1;4.80987668e-1;6.73045039e-1;8.01342964e-1;8.60675931e-1;8.95579994e-1;9.14724946e-1;9.19957519e-1;9.26080227e-1;9.28624332e-1;9.27657127e-1;9.26593781e-1
7;"-";"Candidates";"-";"00 05 55 95";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 21:14:18 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.84821604e+1;2.83860936e+1;2.50194502e+1;6.84821604e+1;3.78383826e+1;4.13928923e+1;4.66547386e-1;3.86296760e-1;1.81110032e-1;224;147;123;#e0937b;T;0.18;0.50;0.63;0.37;1.33985728e-1;1.42563984e-1;1.51297092e-1;1.57080576e-1;1.69372350e-1;1.84688032e-1;2.10175321e-1;2.44132817e-1;2.89607525e-1;3.46121013e-1;3.87391537e-1;3.79407376e-1;3.42586756e-1;3.14239562e-1;3.04068446e-1;2.83032328e-1;2.50254542e-1;2.34126031e-1;2.64093131e-1;3.60419542e-1;5.27204454e-1;7.03606069e-1;8.14131081e-1;8.63747001e-1;8.93112957e-1;9.12395597e-1;9.17175889e-1;9.22022521e-1;9.24751759e-1;9.24165130e-1;9.23512876e-1
8;"-";"Candidates";"-";"00 00 60 80";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 21:14:29 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.07848504e+1;2.54995265e+1;1.28487930e+1;7.07848504e+1;2.85537621e+1;2.67427852e+1;4.92098201e-1;4.18752863e-1;2.63964038e-1;223;155;151;#df9b97;T;0.19;0.45;0.48;0.35;1.91493407e-1;2.18812913e-1;2.42861435e-1;2.55373359e-1;2.71111131e-1;2.91242272e-1;3.20870757e-1;3.55124176e-1;3.92786443e-1;4.33639109e-1;4.54813838e-1;4.29239839e-1;3.83333027e-1;3.49300176e-1;3.39425772e-1;3.21497321e-1;2.91896522e-1;2.75542706e-1;2.97158867e-1;3.76219958e-1;5.23278356e-1;6.93172991e-1;8.09226811e-1;8.63835871e-1;8.96525145e-1;9.16033626e-1;9.23082650e-1;9.29854095e-1;9.32615817e-1;9.32511210e-1;9.31520581e-1
9;"-";"Candidates";"-";"00 10 55 80";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 21:14:38 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.11824001e+1;2.38749469e+1;1.53620398e+1;7.11824001e+1;2.83902335e+1;3.27587547e+1;4.92427091e-1;4.24534017e-1;2.53522640e-1;222;158;148;#de9e94;T;0.19;0.44;0.50;0.34;1.81819618e-1;2.09097847e-1;2.31857419e-1;2.43622303e-1;2.57948995e-1;2.77249485e-1;3.06386590e-1;3.40408325e-1;3.79099399e-1;4.22435045e-1;4.47600007e-1;4.28277701e-1;3.87463182e-1;3.56817961e-1;3.48612100e-1;3.32421631e-1;3.04618269e-1;2.90031850e-1;3.13975275e-1;3.94630283e-1;5.36303580e-1;6.92297101e-1;7.95346379e-1;8.43458056e-1;8.72432470e-1;8.90979230e-1;8.96854818e-1;9.02763784e-1;9.05266821e-1;9.04245138e-1;9.04434919e-1
10;"-";"Candidates";"-";"00 10 60 75";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 21:14:49 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.03447432e+1;2.56964320e+1;1.00263919e+1;7.03447432e+1;2.75832405e+1;2.13150407e+1;4.85843521e-1;4.12414323e-1;2.76092421e-1;221;154;155;#dd9a9b;T;0.20;0.45;0.46;0.35;2.03538492e-1;2.30439425e-1;2.56431133e-1;2.70573318e-1;2.88097352e-1;3.09738368e-1;3.39658499e-1;3.72172058e-1;4.05375600e-1;4.38902378e-1;4.52166319e-1;4.21629816e-1;3.74086142e-1;3.39745551e-1;3.32074046e-1;3.17054182e-1;2.89850563e-1;2.74721414e-1;2.95508951e-1;3.71011466e-1;5.12173474e-1;6.77072704e-1;7.91146219e-1;8.45350802e-1;8.77879441e-1;8.97382140e-1;9.03667688e-1;9.10176575e-1;9.13531959e-1;9.12893653e-1;9.10778165e-1
11;"-";"Candidates";"-";"05 10 55 90";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 21:15:01 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.75487077e+1;2.25685427e+1;1.97818572e+1;6.75487077e+1;3.00110145e+1;4.12353253e+1;4.32329864e-1;3.73633014e-1;1.97946868e-1;211;149;130;#d39582;T;0.23;0.49;0.60;0.39;1.41465902e-1;1.55828834e-1;1.68960199e-1;1.76924407e-1;1.89986452e-1;2.06872895e-1;2.33940855e-1;2.67888784e-1;3.10450464e-1;3.61948758e-1;3.97328138e-1;3.85216594e-1;3.47216904e-1;3.18304420e-1;3.07851851e-1;2.88972318e-1;2.59722292e-1;2.44603127e-1;2.68949538e-1;3.48660022e-1;4.81280029e-1;6.19243562e-1;7.08896160e-1;7.54018724e-1;7.82153249e-1;8.04237545e-1;8.12072039e-1;8.21001589e-1;8.28842580e-1;8.34305644e-1;8.37033868e-1
12;"-";"Candidates";"-";"00 00 60 90";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 21:15:12 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.86404576e+1;2.84746587e+1;1.73441937e+1;6.86404576e+1;3.33410744e+1;3.13460036e+1;4.69301489e-1;3.88472285e-1;2.19316885e-1;223;147;138;#df938a;T;0.19;0.49;0.55;0.37;1.51927143e-1;1.65465355e-1;1.82072774e-1;1.94256738e-1;2.14254424e-1;2.35119045e-1;2.65112042e-1;3.00710469e-1;3.42294008e-1;3.89448196e-1;4.16927963e-1;3.94555092e-1;3.48827988e-1;3.14883620e-1;3.04093212e-1;2.84202844e-1;2.52068639e-1;2.34528124e-1;2.59436697e-1;3.47539634e-1;5.09385467e-1;6.91471994e-1;8.11501503e-1;8.66622090e-1;8.99245024e-1;9.19006646e-1;9.24894392e-1;9.31144238e-1;9.34601784e-1;9.34507787e-1;9.32446957e-1
13;"-";"Candidates";"-";"25 100 00 50";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Jan 10 2024 21:15:23 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.46616574e+1;2.80734323e+1;2.12301188e+1;6.46616574e+1;3.51970957e+1;3.70978561e+1;4.09235649e-1;3.36223030e-1;1.68799649e-1;212;137;121;#d48979;T;0.30;0.69;0.69;0.42;1.19817168e-1;1.34972081e-1;1.51040912e-1;1.64068043e-1;1.82438999e-1;2.01357543e-1;2.25539386e-1;2.46466428e-1;2.39670828e-1;2.17255950e-1;1.97605208e-1;1.65513605e-1;1.35794699e-1;1.19278282e-1;1.59801096e-1;2.64726013e-1;3.82785887e-1;4.59740043e-1;4.68547255e-1;4.70284283e-1;4.74619687e-1;4.89623040e-1;5.15312135e-1;5.43079853e-1;5.65156519e-1;5.94859183e-1;6.13233805e-1;6.33110344e-1;6.52708054e-1;6.68377936e-1;6.81994200e-1
