sep=;
Export Date/Time;Fri Jan 12 2024 02:54:28 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;011124
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Iter";"-";"00 00 65 100";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Jan 12 2024 00:57:53 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.93036505e+1;4.01016679e+1;3.47925242e+1;5.93036505e+1;5.30910869e+1;4.09451659e+1;3.74131877e-1;2.73573561e-1;8.85548533e-2;216;112;84;#d87054;T;0.25;0.71;0.91;0.50;7.04068467e-2;7.13551491e-2;6.94189221e-2;6.81141242e-2;6.88480586e-2;7.31602684e-2;8.72077048e-2;1.12696394e-1;1.61327779e-1;2.30839178e-1;2.80444354e-1;2.65440762e-1;2.20802560e-1;1.88251853e-1;1.78068236e-1;1.60574943e-1;1.32232144e-1;1.16252564e-1;1.38380378e-1;2.17543319e-1;3.82973045e-1;6.03486240e-1;7.70135164e-1;8.51641238e-1;8.99554074e-1;9.21055675e-1;9.23745036e-1;9.27983820e-1;9.29595351e-1;9.30241704e-1;9.27312851e-1
2;"-";"Iter";"-";"25 100 00 50";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Jan 12 2024 00:58:18 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.16440043e+1;3.33921788e+1;3.37490986e+1;6.16440043e+1;4.74767233e+1;4.53045788e+1;3.84625709e-1;2.99881591e-1;1.03522650e-1;214;124;91;#d67c5b;T;0.31;0.83;0.90;0.46;8.56883153e-2;9.33384523e-2;9.71169770e-2;1.01945885e-1;1.10393196e-1;1.20708376e-1;1.36190161e-1;1.52055860e-1;1.49725243e-1;1.35187045e-1;1.20199502e-1;9.73100960e-2;7.97990561e-2;7.14601427e-2;1.07608087e-1;2.11144596e-1;3.41780752e-1;4.40688193e-1;4.58277494e-1;4.60081846e-1;4.62946832e-1;4.77708161e-1;5.05248427e-1;5.35862029e-1;5.60127437e-1;5.92109978e-1;6.10890031e-1;6.31673217e-1;6.54506683e-1;6.75681114e-1;6.90297902e-1
3;"-";"Iter";"-";"00 05 55 95";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Jan 12 2024 00:58:40 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.47358559e+1;3.63366082e+1;3.23369817e+1;6.47358559e+1;4.86418491e+1;4.16667952e+1;4.37924534e-1;3.37151731e-1;1.25879143e-1;227;130;101;#e38265;T;0.19;0.60;0.78;0.42;9.96940657e-2;9.93136391e-2;9.97555703e-2;1.01027660e-1;1.09351866e-1;1.19824521e-1;1.38870656e-1;1.66454017e-1;2.10408524e-1;2.71938384e-1;3.20446134e-1;3.14633876e-1;2.77618825e-1;2.49837756e-1;2.40424931e-1;2.19946653e-1;1.87754959e-1;1.71801284e-1;2.03046709e-1;3.06789041e-1;4.97067720e-1;7.06544816e-1;8.37460637e-1;8.93699050e-1;9.25867260e-1;9.43728328e-1;9.48755920e-1;9.54404652e-1;9.57644224e-1;9.58533466e-1;9.54733312e-1
4;"-";"Iter";"-";"20 95 00 45";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Jan 12 2024 00:59:32 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.51538496e+1;3.26509589e+1;2.94266771e+1;6.51538496e+1;4.39546863e+1;4.20267572e+1;4.31516146e-1;3.42415496e-1;1.39151430e-1;222;134;107;#de866b;T;0.27;0.74;0.77;0.41;1.10076025e-1;1.18428551e-1;1.27154291e-1;1.35958850e-1;1.50145069e-1;1.65037289e-1;1.84414119e-1;2.02453464e-1;1.98064819e-1;1.79648548e-1;1.63016260e-1;1.36522204e-1;1.12546325e-1;9.94269326e-2;1.34964257e-1;2.42315784e-1;3.80376458e-1;4.88974184e-1;5.12345612e-1;5.16924620e-1;5.19626796e-1;5.33050239e-1;5.58930337e-1;5.87056637e-1;6.09548271e-1;6.39879584e-1;6.58386648e-1;6.78348601e-1;6.99379683e-1;7.18014538e-1;7.30765462e-1
5;"-";"Iter";"-";"00 00 60 80";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Jan 12 2024 00:59:51 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.77360153e+1;3.07371617e+1;1.82437985e+1;6.77360153e+1;3.57436609e+1;3.06909134e+1;4.63469612e-1;3.76151591e-1;2.06973932e-1;224;143;134;#e08f86;T;0.19;0.51;0.58;0.38;1.54039130e-1;1.67199656e-1;1.78352207e-1;1.84981823e-1;1.99957430e-1;2.17772096e-1;2.45207220e-1;2.80029386e-1;3.25915456e-1;3.80869120e-1;4.12704438e-1;3.86146605e-1;3.35419983e-1;2.98817873e-1;2.86444426e-1;2.63576478e-1;2.30258554e-1;2.13767976e-1;2.39392489e-1;3.29257667e-1;4.99954969e-1;6.97862983e-1;8.28178585e-1;8.85633826e-1;9.18810666e-1;9.36668873e-1;9.43085849e-1;9.49603498e-1;9.52917337e-1;9.54919994e-1;9.53869343e-1
6;"-";"Iter";"-";"25 85 00 25";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Jan 12 2024 01:00:11 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.49980894e+1;2.86717952e+1;1.83846700e+1;6.49980894e+1;3.40597700e+1;3.26684387e+1;4.15965321e-1;3.40447663e-1;1.83952051e-1;213;137;127;#d5897f;T;0.30;0.70;0.66;0.42;1.40464395e-1;1.64836064e-1;1.83362350e-1;1.95368797e-1;2.06967041e-1;2.23793119e-1;2.45798960e-1;2.62063116e-1;2.46212780e-1;2.14743480e-1;1.91451877e-1;1.60416991e-1;1.31805658e-1;1.15623146e-1;1.54175967e-1;2.64245003e-1;3.95839185e-1;4.84414965e-1;4.89273012e-1;4.80878800e-1;4.76485312e-1;4.86364931e-1;5.10402143e-1;5.38189113e-1;5.60510755e-1;5.90652287e-1;6.10131741e-1;6.31811559e-1;6.54338837e-1;6.73619628e-1;6.88486814e-1
7;"-";"Iter";"-";"00 10 55 80";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Jan 12 2024 01:00:31 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.75794394e+1;3.17566222e+1;1.91108033e+1;6.75794394e+1;3.70635381e+1;3.10390893e+1;4.64693882e-1;3.74045465e-1;2.01427051e-1;225;142;132;#e18e84;T;0.19;0.52;0.59;0.38;1.51837990e-1;1.61806017e-1;1.73326686e-1;1.80962473e-1;1.96070611e-1;2.13273585e-1;2.39449188e-1;2.72568613e-1;3.15514177e-1;3.66568834e-1;3.95464063e-1;3.69337976e-1;3.21813822e-1;2.88396448e-1;2.80306637e-1;2.62767017e-1;2.33425736e-1;2.18142971e-1;2.44243219e-1;3.35868269e-1;5.07356703e-1;7.02130437e-1;8.28776598e-1;8.84679615e-1;9.17051136e-1;9.34405029e-1;9.40919995e-1;9.47687030e-1;9.51144695e-1;9.52876627e-1;9.49530661e-1
8;"-";"Iter";"-";"20 90 00 15";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Jan 12 2024 01:00:50 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.62830776e+1;3.21471481e+1;2.23548198e+1;6.62830776e+1;3.91558054e+1;3.48143826e+1;4.46455334e-1;3.56909093e-1;1.76082052e-1;223;138;123;#df8a7b;T;0.26;0.71;0.68;0.39;1.32701129e-1;1.46327063e-1;1.63080618e-1;1.78535864e-1;1.99012443e-1;2.18671530e-1;2.40124524e-1;2.53730476e-1;2.34571427e-1;2.00835451e-1;1.76651359e-1;1.47530466e-1;1.22174427e-1;1.08146913e-1;1.44833744e-1;2.58053601e-1;4.04447854e-1;5.17180562e-1;5.34731328e-1;5.29569089e-1;5.24953663e-1;5.35149038e-1;5.59806347e-1;5.87741077e-1;6.10261977e-1;6.41020477e-1;6.60018146e-1;6.80563271e-1;7.01796770e-1;7.20056415e-1;7.31375992e-1
9;"-";"Iter";"-";"00 10 60 75";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Jan 12 2024 01:01:09 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.65701764e+1;3.33492611e+1;1.27172700e+1;6.65701764e+1;3.56917661e+1;2.08736440e+1;4.54955973e-1;3.60658083e-1;2.24772330e-1;222;138;141;#de8a8d;T;0.20;0.54;0.55;0.40;1.72703177e-1;1.83991164e-1;1.98905617e-1;2.08372042e-1;2.26439774e-1;2.46298790e-1;2.74140418e-1;3.06592941e-1;3.43861759e-1;3.83596241e-1;3.98323417e-1;3.61734331e-1;3.09153557e-1;2.72807717e-1;2.64546037e-1;2.47851282e-1;2.19447628e-1;2.04052597e-1;2.26526245e-1;3.10119867e-1;4.75382149e-1;6.76100194e-1;8.15774679e-1;8.80148113e-1;9.17717576e-1;9.36506629e-1;9.43088233e-1;9.50118184e-1;9.53878045e-1;9.55056190e-1;9.51765239e-1
10;"-";"Iter";"-";"20 90 05 00";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Jan 12 2024 01:01:29 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.58869379e+1;3.24823309e+1;1.86733211e+1;6.58869379e+1;3.74672489e+1;2.98935737e+1;4.41720469e-1;3.51779013e-1;1.89670737e-1;221;136;129;#dd8881;T;0.27;0.70;0.65;0.40;1.38929442e-1;1.57648236e-1;1.78883284e-1;1.97068825e-1;2.17929006e-1;2.38186553e-1;2.59579569e-1;2.71170527e-1;2.46747017e-1;2.08082840e-1;1.82329580e-1;1.52539372e-1;1.26739398e-1;1.12698115e-1;1.49223313e-1;2.57826477e-1;3.93916547e-1;4.93655711e-1;5.07922888e-1;5.08902133e-1;5.15063107e-1;5.33100724e-1;5.60808778e-1;5.89569807e-1;6.12326086e-1;6.42030537e-1;6.60762072e-1;6.81431830e-1;7.01963365e-1;7.18698859e-1;7.31817067e-1
