sep=;
Export Date/Time;Sat Jan 20 2024 22:43:47 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;012024
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Iter";"-";"00 00 00 00";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Jan 20 2024 22:39:58 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.51200802e+1;5.33083102e-1;-2.46902482e+0;9.51200802e+1;2.52591789e+0;2.82183617e+2;8.50411438e-1;8.79029946e-1;7.53791942e-1;240;241;246;#f0f1f6;T;0.06;0.05;0.04;0.06;4.67927963e-1;6.39889300e-1;8.10577393e-1;8.90577316e-1;9.30782914e-1;9.34441447e-1;9.28053975e-1;9.25876379e-1;9.31471348e-1;9.27994549e-1;9.18355703e-1;9.08252597e-1;9.00877237e-1;8.76019597e-1;8.71007442e-1;8.66762638e-1;8.62756610e-1;8.60771716e-1;8.61701190e-1;8.65240097e-1;8.66811872e-1;8.74457717e-1;8.87602806e-1;8.96551847e-1;9.05480623e-1;9.21179116e-1;9.31860805e-1;9.41855788e-1;9.48564649e-1;9.51039851e-1;9.52646971e-1
2;"-";"Iter";"-";"00 00 00 100";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Jan 20 2024 22:40:13 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.59492824e+1;2.17409410e+1;5.52172408e+1;7.59492824e+1;5.93431731e+1;6.85087214e+1;5.63671104e-1;4.98047844e-1;1.13756784e-1;244;171;83;#f4ab53;T;0.11;0.40;0.82;0.26;8.33595395e-2;8.50895271e-2;8.47558305e-2;8.67959708e-2;9.40375105e-2;1.01842158e-1;1.17494002e-1;1.42083943e-1;1.84119225e-1;2.48905525e-1;3.19599301e-1;3.71096045e-1;3.92578006e-1;4.05587167e-1;4.09693956e-1;4.04915124e-1;4.03660208e-1;4.33251351e-1;5.02920687e-1;6.14163816e-1;7.27008760e-1;8.05879831e-1;8.49287391e-1;8.69837940e-1;8.84256423e-1;9.01051283e-1;9.11271274e-1;9.21140611e-1;9.27833676e-1;9.30528104e-1;9.30561662e-1
3;"-";"Iter";"-";"00 00 100 00";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Jan 20 2024 22:40:29 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.63937556e+1;6.65022446e+1;-3.28197312e+1;4.63937556e+1;7.41598496e+1;3.33733056e+2;2.91148099e-1;1.55614268e-1;2.85450636e-1;191;42;167;#bf2aa7;T;0.47;1.14;0.49;0.72;2.39977300e-1;2.88287520e-1;3.26354921e-1;3.53448927e-1;3.97518009e-1;4.28559214e-1;4.09690082e-1;3.41623008e-1;2.55115062e-1;1.85073569e-1;1.42490432e-1;1.04943313e-1;7.61445537e-2;5.89709803e-2;5.82546517e-2;5.65421842e-2;5.04193306e-2;4.62050177e-2;5.12227640e-2;7.65550286e-2;1.53280988e-1;3.10886174e-1;5.22967041e-1;7.10903525e-1;8.42392743e-1;9.32427943e-1;9.37302530e-1;9.51882541e-1;9.59440529e-1;9.62354481e-1;9.60095227e-1
4;"-";"Iter";"-";"00 00 100 100";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Jan 20 2024 22:40:49 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.96200296e+1;5.24382633e+1;1.18256838e+1;4.96200296e+1;5.37551696e+1;1.27085375e+1;2.90737848e-1;1.81023642e-1;1.07265731e-1;198;73;101;#c64965;T;0.39;0.99;0.86;0.66;1.04139745e-1;1.00698270e-1;9.71852317e-2;9.72023532e-2;1.04716867e-1;1.14003517e-1;1.28893957e-1;1.50420204e-1;1.75772652e-1;1.95435062e-1;1.91964999e-1;1.55415207e-1;1.15151212e-1;8.85903314e-2;8.31697062e-2;7.58727565e-2;6.25632852e-2;5.50937317e-2;6.60338625e-2;1.09326318e-1;2.18425050e-1;4.04804498e-1;6.06884599e-1;7.57289410e-1;8.58422160e-1;9.24508691e-1;9.32473719e-1;9.44405556e-1;9.49630439e-1;9.51982915e-1;9.50283229e-1
5;"-";"Iter";"-";"00 100 00 00";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Jan 20 2024 22:41:01 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.12667878e+1;5.14822352e+1;4.90816414e+1;7.12667878e+1;7.11296567e+1;4.36325330e+1;6.03222133e-1;4.25767986e-1;1.07475628e-1;255;132;88;#ff8458;T;0.07;0.83;0.90;0.29;8.43369290e-2;9.49666649e-2;1.03473961e-1;1.12313211e-1;1.24338239e-1;1.35403305e-1;1.47389248e-1;1.54380068e-1;1.37819439e-1;1.11707285e-1;9.44165140e-2;7.69126415e-2;6.38366640e-2;5.68616390e-2;8.08778927e-2;1.85642898e-1;3.68944377e-1;6.02413297e-1;7.39521801e-1;8.08410943e-1;8.31259608e-1;8.45244944e-1;8.61006916e-1;8.72469366e-1;8.83106768e-1;9.00807559e-1;9.13319170e-1;9.24367666e-1;9.31420445e-1;9.34572458e-1;9.34994459e-1
6;"-";"Iter";"-";"00 100 00 100";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Jan 20 2024 22:41:12 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.79085905e+1;4.94714203e+1;5.17849252e+1;6.79085905e+1;7.16177346e+1;4.63088662e+1;5.36112005e-1;3.78482069e-1;8.26631728e-2;255;124;74;#ff7c4a;T;0.11;0.82;0.99;0.34;7.11772665e-2;7.23320916e-2;7.37162828e-2;7.73737431e-2;8.46620724e-2;9.12572667e-2;1.02662094e-1;1.18769772e-1;1.27835110e-1;1.27768889e-1;1.20856449e-1;1.00771353e-1;8.41956511e-2;7.66374692e-2;1.12456769e-1;2.05893993e-1;3.23067904e-1;4.39405590e-1;5.30281961e-1;6.37730420e-1;7.35310197e-1;8.02001119e-1;8.40741992e-1;8.60989749e-1;8.75786126e-1;8.93888831e-1;9.04846489e-1;9.15539086e-1;9.22972322e-1;9.26336348e-1;9.23705161e-1
7;"-";"Iter";"-";"00 100 100 00";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Jan 20 2024 22:41:47 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.85548512e+1;6.09453582e+1;-5.74917457e+0;4.85548512e+1;6.12159268e+1;3.54611049e+2;3.01043959e-1;1.72350555e-1;1.65423002e-1;201;57;128;#c93980;T;0.40;1.11;0.71;0.67;1.48834869e-1;1.68113723e-1;1.80375800e-1;1.91150382e-1;2.06962869e-1;2.22887158e-1;2.29967982e-1;2.21833065e-1;1.88864812e-1;1.47666648e-1;1.13890707e-1;8.73207971e-2;7.21871629e-2;6.56867251e-2;7.50449821e-2;8.06616172e-2;7.49839544e-2;6.52325004e-2;6.89330921e-2;1.01543091e-1;2.00845018e-1;3.97234648e-1;6.17890596e-1;7.67396331e-1;8.64352703e-1;9.12391126e-1;9.17122126e-1;9.28819418e-1;9.35154974e-1;9.37761188e-1;9.35736001e-1
8;"-";"Iter";"-";"00 100 100 100";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Jan 20 2024 22:42:00 GMT+0000 (Coordinated Universal Time);D50;2;M2;2.48306976e+1;2.90414577e+0;3.16086820e+0;2.48306976e+1;4.29245273e+0;4.74237926e+1;4.41658356e-2;4.36100346e-2;3.13543118e-2;65;57;54;#413936;T;1.30;1.39;1.42;1.35;3.16525102e-2;3.47591974e-2;3.59943435e-2;3.68617177e-2;3.66623476e-2;3.73135395e-2;3.80571373e-2;3.90469469e-2;3.97275351e-2;4.02030982e-2;4.04625461e-2;4.05483358e-2;4.02076431e-2;4.07049358e-2;4.14514244e-2;4.13903110e-2;4.08746153e-2;4.18999679e-2;4.44986001e-2;4.80205044e-2;4.98098433e-2;4.99803610e-2;5.00966124e-2;5.04697934e-2;5.08431084e-2;5.17154038e-2;5.18772788e-2;5.24476618e-2;5.31792864e-2;5.35615496e-2;5.42988181e-2
9;"-";"Iter";"-";"100 00 00 00";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Jan 20 2024 22:42:16 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.42006217e+1;-1.59801860e+1;-4.51842781e+1;5.42006217e+1;4.79268748e+1;2.50522996e+2;1.81607689e-1;2.21640391e-1;4.73721415e-1;0;140;208;#008cd0;T;0.99;0.51;0.24;0.73;2.22998664e-1;2.98121810e-1;3.89332205e-1;4.65998143e-1;5.49572766e-1;6.06268466e-1;6.41927719e-1;6.51542783e-1;6.35783792e-1;6.00554109e-1;5.47159016e-1;4.68567848e-1;3.80050808e-1;3.06201369e-1;2.41176963e-1;1.89376801e-1;1.47605091e-1;1.20982774e-1;1.06487863e-1;9.89925936e-2;9.67056379e-2;9.93135720e-2;1.06466383e-1;1.15673900e-1;1.23066068e-1;1.33446202e-1;1.41655788e-1;1.52241752e-1;1.64331257e-1;1.73178375e-1;1.80168703e-1
10;"-";"Iter";"-";"100 00 00 100";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Jan 20 2024 22:42:29 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.97521010e+1;-2.60870215e+1;1.73778039e+1;4.97521010e+1;3.13451872e+1;1.46330531e+2;1.31438696e-1;1.82118866e-1;9.12270850e-2;76;130;87;#4c8257;T;0.90;0.62;0.90;0.77;7.29061440e-2;7.21451342e-2;6.85927793e-2;6.74687475e-2;7.21585006e-2;7.87224993e-2;9.11072567e-2;1.11015238e-1;1.54373735e-1;2.26855814e-1;2.94234157e-1;3.11047435e-1;2.85756379e-1;2.59334624e-1;2.23293900e-1;1.87164024e-1;1.55604377e-1;1.35133266e-1;1.23678759e-1;1.18233450e-1;1.17501900e-1;1.22193113e-1;1.32371530e-1;1.44829005e-1;1.54683203e-1;1.67541027e-1;1.76782548e-1;1.89239636e-1;2.03759208e-1;2.15310216e-1;2.24613219e-1
