sep=;
Export Date/Time;Sat Feb 03 2024 04:31:42 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;02022024
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Iter";"-";"P balaton kek ";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Feb 03 2024 04:01:58 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.07613886e+1;-5.68854636e+0;-1.55759019e+1;8.07613886e+1;1.65821675e+1;2.49937070e+2;5.37051492e-1;5.80406555e-1;6.26024044e-1;177;205;229;#b1cde5;T;0.32;0.21;0.13;0.25;4.15841818e-1;5.38565755e-1;6.78641200e-1;7.61476755e-1;7.97669411e-1;8.04217339e-1;7.86754489e-1;7.59225905e-1;7.33913541e-1;7.09048629e-1;6.86124086e-1;6.59894347e-1;6.36439860e-1;6.14133775e-1;6.08100533e-1;5.99085689e-1;5.86034179e-1;5.71829915e-1;5.54951787e-1;5.40128112e-1;5.16104817e-1;4.73759204e-1;4.27184254e-1;4.11966771e-1;4.10340935e-1;4.68044788e-1;6.13004684e-1;7.65920877e-1;8.86355221e-1;9.60036576e-1;9.49951231e-1
2;"-";"Iter";"-";"Pp violet";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Feb 03 2024 04:02:25 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.57590230e+1;2.55746595e+1;-4.08972735e+1;6.57590230e+1;4.82353624e+1;3.02019348e+2;4.16569246e-1;3.50133054e-1;6.20431702e-1;176;145;234;#b091ea;T;0.42;0.49;0.14;0.45;3.84396255e-1;5.38838089e-1;6.93661332e-1;7.83918738e-1;8.14310670e-1;8.20661068e-1;8.02131057e-1;7.68710971e-1;7.18133092e-1;6.42346501e-1;5.44690311e-1;4.27786916e-1;3.37212294e-1;2.76780814e-1;2.58310974e-1;2.58072078e-1;2.64900297e-1;2.82108486e-1;2.96159357e-1;3.09806794e-1;3.21779937e-1;3.52607578e-1;4.19430971e-1;5.12744427e-1;5.87866247e-1;6.98943317e-1;7.91775703e-1;8.66845071e-1;9.05517042e-1;9.21528459e-1;9.16567564e-1
3;"-";"Iter";"-";"Pp cherry red";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Feb 03 2024 04:02:43 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.43633825e+1;5.64020826e+1;1.78748729e+1;6.43633825e+1;5.91667643e+1;1.75843806e+1;5.04105554e-1;3.32506896e-1;1.81304827e-1;250;108;128;#fa6c80;T;0.13;0.83;0.68;0.40;2.63629198e-1;3.07562232e-1;3.14542592e-1;3.04846376e-1;2.69106954e-1;2.45890364e-1;2.08917201e-1;1.72225177e-1;1.46036357e-1;1.27987728e-1;1.18109182e-1;1.16325162e-1;1.20095156e-1;1.26706243e-1;1.37646258e-1;1.55836746e-1;1.86998576e-1;2.58502901e-1;3.74880761e-1;5.32498658e-1;6.78366780e-1;7.78980315e-1;8.37233841e-1;8.66446257e-1;8.86077166e-1;9.05404687e-1;9.14468586e-1;9.22219098e-1;9.25752938e-1;9.24865067e-1;9.24082160e-1
4;"-";"Iter";"-";"W Jane eyre";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Feb 03 2024 04:03:01 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.05995392e+1;1.69231180e+1;-1.18747885e+1;7.05995392e+1;2.06737158e+1;3.24943032e+2;4.58266256e-1;4.16076105e-1;4.31959492e-1;196;162;195;#c4a2c3;T;0.31;0.42;0.29;0.37;3.86666298e-1;4.86685127e-1;5.56979120e-1;5.79939902e-1;5.62015116e-1;5.52971959e-1;5.31251013e-1;5.02571404e-1;4.75602716e-1;4.53017145e-1;4.30557460e-1;4.04653937e-1;3.83891553e-1;3.70970905e-1;3.64127159e-1;3.57395202e-1;3.58659476e-1;3.79411250e-1;4.03480709e-1;4.28845078e-1;4.50153261e-1;4.79872227e-1;5.21745861e-1;5.67286611e-1;6.03168845e-1;6.54071569e-1;7.04722285e-1;7.56812811e-1;7.98020601e-1;8.24932814e-1;8.32851589e-1
5;"-";"Iter";"-";"V isabela";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Feb 03 2024 04:03:18 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.08341082e+1;1.29290556e+1;1.43915466e+1;7.08341082e+1;1.93462423e+1;4.80641586e+1;4.47836299e-1;4.19466303e-1;2.55613560e-1;203;165;148;#cba594;T;0.32;0.50;0.51;0.35;2.55072325e-1;2.85695165e-1;3.09011072e-1;3.20590734e-1;3.14729720e-1;3.15898120e-1;3.15020591e-1;3.13605100e-1;3.02477241e-1;2.91049957e-1;2.89841086e-1;2.66293645e-1;2.34294534e-1;2.18097225e-1;2.90047467e-1;4.16978806e-1;5.26594579e-1;5.81272304e-1;5.78306675e-1;5.59585631e-1;5.24376452e-1;4.71694708e-1;4.15723264e-1;3.91853958e-1;3.83958966e-1;4.35044050e-1;5.83497167e-1;7.44818628e-1;8.75475287e-1;9.56958532e-1;9.48050559e-1
6;"-";"Iter";"-";"V karol ";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Feb 03 2024 04:03:30 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.12825418e+1;6.09287771e+1;3.19800619e+1;4.12825418e+1;6.88116287e+1;2.76939097e+1;2.25022295e-1;1.20418406e-1;3.07235306e-2;187;28;50;#bb1c32;T;0.52;1.40;1.44;0.79;4.91826199e-2;5.68519942e-2;5.63288964e-2;5.37878536e-2;4.43677716e-2;3.80285010e-2;3.18480432e-2;2.82003358e-2;2.67645791e-2;2.67139859e-2;2.78610643e-2;3.05428095e-2;3.47315446e-2;3.94513011e-2;4.25445214e-2;4.38239053e-2;4.65685055e-2;5.11464402e-2;5.50125167e-2;6.90623894e-2;1.24420546e-1;2.70141274e-1;4.80271071e-1;6.56853199e-1;7.78776109e-1;8.58539402e-1;8.72112393e-1;8.91279995e-1;9.00552034e-1;9.04509366e-1;9.05483007e-1
7;"-";"Iter";"-";"V maskara ";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Feb 03 2024 04:03:42 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.11229002e+1;6.82204872e+0;-1.66234344e+1;8.11229002e+1;1.79688319e+1;2.92312631e+2;5.94056498e-1;5.86936286e-1;6.43385147e-1;203;198;233;#cbc6e9;T;0.27;0.28;0.12;0.23;4.42539454e-1;5.71487308e-1;7.24736989e-1;8.15987885e-1;8.52020442e-1;8.53886664e-1;8.27118874e-1;7.83268094e-1;7.13363111e-1;6.36973679e-1;5.88279486e-1;5.06791055e-1;4.29808289e-1;3.88232231e-1;4.97998297e-1;6.53614819e-1;7.44531870e-1;7.32933581e-1;6.78118587e-1;6.28275096e-1;5.79946816e-1;5.24192572e-1;4.69057620e-1;4.46298033e-1;4.39294010e-1;4.90666032e-1;6.28866315e-1;7.74432361e-1;8.88988435e-1;9.59172606e-1;9.48983729e-1
8;"-";"Iter";"-";"Wa audacious red";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Feb 03 2024 04:04:03 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.13225748e+1;6.32084981e+1;2.24063931e+1;6.13225748e+1;6.70623642e+1;1.95185957e+1;4.80818062e-1;2.96172652e-1;1.40723851e-1;250;90;113;#fa5a71;T;0.13;1.02;0.79;0.43;2.24003062e-1;2.59029090e-1;2.65183717e-1;2.56417900e-1;2.19810978e-1;1.94557399e-1;1.58212796e-1;1.24383397e-1;9.98154506e-2;8.20092559e-2;7.27509931e-2;6.61903992e-2;6.23135604e-2;6.20818436e-2;7.76531324e-2;1.11010991e-1;1.55248299e-1;2.30209336e-1;3.44805539e-1;5.05722523e-1;6.62586808e-1;7.72880733e-1;8.34243059e-1;8.63602221e-1;8.82909954e-1;9.01388645e-1;9.10804093e-1;9.19114590e-1;9.23368752e-1;9.23842788e-1;9.23116803e-1
9;"-";"Iter";"-";"W dracula";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Feb 03 2024 04:04:15 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.19497081e+1;6.46857055e+1;1.02213023e+1;5.19497081e+1;6.54882854e+1;8.97934128e+0;3.52661469e-1;2.00996650e-1;1.26128787e-1;220;59;110;#dc3b6e;T;0.27;1.15;0.84;0.59;1.80774003e-1;2.10064635e-1;2.18119189e-1;2.16667905e-1;1.91761076e-1;1.74551949e-1;1.46630928e-1;1.18327908e-1;9.75915417e-2;8.29414502e-2;7.32539445e-2;6.68994337e-2;6.41299114e-2;6.43441156e-2;6.60267025e-2;6.70506582e-2;7.06796125e-2;8.86124894e-2;1.34616405e-1;2.32172385e-1;3.90292913e-1;5.71513593e-1;7.07401872e-1;7.82685220e-1;8.29919100e-1;8.61952186e-1;8.75024021e-1;8.88137221e-1;8.95708442e-1;8.99170935e-1;8.97527635e-1
10;"-";"Iter";"-";"K kitano pearl silver";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Feb 03 2024 04:04:39 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.05904341e+1;-4.75146931e-1;-4.88644855e+0;8.05904341e+1;4.90949529e+0;2.64446151e+2;5.54774835e-1;5.77335663e-1;5.19603101e-1;196;200;209;#c4c8d1;T;0.25;0.23;0.20;0.24;4.11650985e-1;5.20548344e-1;6.11960411e-1;6.46751046e-1;6.41987622e-1;6.41527534e-1;6.36069715e-1;6.27709031e-1;6.21107996e-1;6.16990566e-1;6.11123979e-1;6.02281988e-1;5.93400896e-1;5.82831502e-1;5.81115544e-1;5.76869488e-1;5.71504354e-1;5.69429874e-1;5.65028846e-1;5.63307941e-1;5.60086906e-1;5.59585750e-1;5.62010467e-1;5.62583745e-1;5.64110637e-1;5.69119334e-1;5.71211874e-1;5.76353669e-1;5.83347559e-1;5.87059438e-1;5.90539038e-1
