sep=;
Export Date/Time;Mon Apr 08 2024 21:23:08 GMT+0000 (Coordinated Universal Time),User Email;varun.nealsri@gmail.com,Saved Library Name;040524
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Regular";"-";"100";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Apr 06 2024 00:09:28 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.63200844e+1;4.47463338e+1;3.72878693e+1;7.63200844e+1;5.82461980e+1;3.98050102e+1;6.69158734e-1;5.04097577e-1;1.86776385e-1;255;153;122;#ff997a;T;0.05;0.65;0.65;0.23;1.55881569e-1;1.68538868e-1;1.84608951e-1;1.98900223e-1;2.15561882e-1;2.33914524e-1;2.53158987e-1;2.62638479e-1;2.38924116e-1;2.03323931e-1;1.79113805e-1;1.50553972e-1;1.26369655e-1;1.13063917e-1;1.50506079e-1;2.86903858e-1;4.95986700e-1;7.20863640e-1;8.29585493e-1;8.76667559e-1;8.88162613e-1;8.93096626e-1;8.98158669e-1;8.99026871e-1;9.02194500e-1;9.12533402e-1;9.19829667e-1;9.25281286e-1;9.29107964e-1;9.32583869e-1;9.31130469e-1
2;"-";"Regular";"-";"010";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Apr 06 2024 00:09:39 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.09048527e+1;6.53422220e+1;-3.55772241e+1;5.09048527e+1;7.43998981e+1;3.31432801e+2;3.41400501e-1;1.91866384e-1;3.54653968e-1;201;60;184;#c93cb8;T;0.38;1.00;0.39;0.64;3.09596151e-1;3.52424979e-1;3.97074491e-1;4.30275202e-1;4.82635349e-1;5.21746755e-1;5.06176710e-1;4.33743149e-1;3.35417539e-1;2.53468126e-1;2.00540915e-1;1.49419606e-1;1.08771801e-1;8.39228854e-2;7.97376111e-2;7.34623447e-2;6.27019927e-2;5.76096661e-2;6.80523887e-2;1.08502805e-1;2.16062278e-1;4.11976546e-1;6.29837871e-1;7.86210239e-1;8.89412642e-1;9.43023741e-1;9.38605428e-1;9.43633974e-1;9.46333468e-1;9.48063195e-1;9.44692254e-1
3;"-";"Regular";"-";"001";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Apr 06 2024 00:09:49 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.68268506e+1;2.05055292e+1;5.43272791e+1;7.68268506e+1;5.80683217e+1;6.93212649e+1;5.74036881e-1;5.12444552e-1;1.21880385e-1;245;174;87;#f5ae57;T;0.10;0.38;0.79;0.25;1.05290785e-1;9.61635858e-2;9.44958031e-2;9.59365368e-2;1.02383763e-1;1.10837668e-1;1.27320975e-1;1.51666313e-1;1.92986459e-1;2.60218799e-1;3.35943758e-1;3.88556570e-1;4.08439070e-1;4.19621855e-1;4.23720092e-1;4.21367109e-1;4.22741026e-1;4.53061253e-1;5.21046519e-1;6.30963624e-1;7.42695570e-1;8.19467247e-1;8.56624603e-1;8.69413316e-1;8.78000557e-1;8.88395548e-1;8.93253148e-1;8.97828043e-1;9.01940644e-1;9.05340016e-1;9.02327061e-1
4;"-";"Regular";"-";"110";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Apr 06 2024 00:10:04 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.97781988e+1;5.90238706e+1;-1.23851104e+1;4.97781988e+1;6.03092717e+1;3.48149428e+2;3.10056100e-1;1.82335807e-1;2.05339688e-1;200;65;142;#c8418e;T;0.39;1.03;0.62;0.65;1.85346842e-1;2.10692912e-1;2.30194449e-1;2.43111044e-1;2.55617887e-1;2.74522096e-1;2.84382284e-1;2.73545831e-1;2.33669773e-1;1.85367048e-1;1.44644037e-1;1.11594394e-1;9.09854993e-2;8.06498230e-2;8.61357823e-2;8.68539810e-2;7.73851275e-2;6.78077638e-2;7.41783082e-2;1.09856077e-1;2.09929079e-1;4.02283937e-1;6.17514729e-1;7.63886392e-1;8.58683884e-1;9.01394367e-1;8.96772623e-1;9.01256919e-1;9.03825521e-1;9.06044364e-1;9.04226899e-1
5;"-";"Regular";"-";"011";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Apr 06 2024 00:10:19 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.42238382e+1;4.66874475e+1;1.33310259e+1;5.42238382e+1;4.85534139e+1;1.59360409e+1;3.28962837e-1;2.21860364e-1;1.29021034e-1;205;92;109;#cd5c6d;T;0.33;0.84;0.78;0.58;1.25868261e-1;1.18178546e-1;1.15754075e-1;1.16320454e-1;1.23011686e-1;1.33165330e-1;1.51220173e-1;1.77957475e-1;2.13326231e-1;2.47653604e-1;2.53992707e-1;2.13526189e-1;1.62605837e-1;1.28063604e-1;1.20957687e-1;1.10058293e-1;8.98188725e-2;7.80939683e-2;9.38432664e-2;1.54532671e-1;2.89385140e-1;4.89727885e-1;6.76464736e-1;7.95173645e-1;8.71236861e-1;9.10188735e-1;9.07709420e-1;9.10611629e-1;9.11961794e-1;9.12489533e-1;9.09854472e-1
6;"-";"Regular";"-";"101";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Apr 06 2024 00:10:30 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.15410619e+1;4.24685389e+1;4.95056739e+1;7.15410619e+1;6.52256740e+1;4.93752927e+1;5.70683878e-1;4.29795103e-1;1.07631079e-1;255;142;86;#ff8e56;T;0.09;0.67;0.87;0.30;9.87270772e-2;9.52367485e-2;9.67862904e-2;1.00155465e-1;1.06136814e-1;1.14118077e-1;1.28942683e-1;1.49627075e-1;1.68656886e-1;1.83614969e-1;1.87475741e-1;1.64503127e-1;1.39591619e-1;1.27725899e-1;1.77507624e-1;2.85379022e-1;3.99800152e-1;4.95233119e-1;5.70848703e-1;6.71827734e-1;7.68521130e-1;8.33871365e-1;8.66406679e-1;8.78288448e-1;8.86789858e-1;8.97449970e-1;9.03244138e-1;9.08900678e-1;9.13393259e-1;9.17392075e-1;9.16834652e-1
7;"-";"Regular";"-";"111";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Apr 06 2024 00:10:40 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.48278371e+1;4.96374476e+1;1.53122009e+1;5.48278371e+1;5.19455456e+1;1.71439913e+1;3.44900397e-1;2.27634441e-1;1.25674254e-1;211;90;108;#d35a6c;T;0.31;0.87;0.80;0.57;1.18994616e-1;1.17902726e-1;1.18090264e-1;1.19469002e-1;1.25961363e-1;1.36754513e-1;1.54241472e-1;1.76676080e-1;1.98036730e-1;2.10968181e-1;2.00530738e-1;1.65700287e-1;1.35614604e-1;1.19565755e-1;1.27047449e-1;1.26028523e-1;1.09971873e-1;9.62591022e-2;1.10975854e-1;1.72517419e-1;3.08682352e-1;5.14992356e-1;7.06405163e-1;8.20594788e-1;8.92017543e-1;9.22720492e-1;9.20946300e-1;9.24769938e-1;9.26647484e-1;9.27739739e-1;9.26099539e-1
8;"-";"Glossy";"-";"100";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Apr 06 2024 00:11:46 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.96377546e+1;5.73739433e+1;5.75335450e+1;6.96377546e+1;8.12519426e+1;4.50795814e+1;5.98452846e-1;4.02366529e-1;7.54928118e-2;255;120;68;#ff7844;T;0.06;1.01;1.04;0.30;3.40057500e-2;3.73000987e-2;4.51951846e-2;5.30645251e-2;6.99213669e-2;8.67591128e-2;1.12580962e-1;1.37977809e-1;1.28590196e-1;8.91882405e-2;5.91241606e-2;4.21909541e-2;2.55227387e-2;1.25108995e-2;1.24359205e-2;9.54953879e-2;2.97727406e-1;5.99364698e-1;7.76364267e-1;8.49133193e-1;8.63881767e-1;8.67814243e-1;8.71321082e-1;8.72021675e-1;8.75160873e-1;8.86080623e-1;8.94386828e-1;9.03178215e-1;9.11539614e-1;9.17971194e-1;9.18483496e-1
9;"-";"Glossy";"-";"010";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Apr 06 2024 00:11:56 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.60461485e+1;9.04181396e+1;-4.30286574e+1;4.60461485e+1;1.00134436e+2;3.34550913e+2;3.53508530e-1;1.53027864e-1;3.48168721e-1;216;0;184;#d800b8;T;0.32;1.73;0.42;0.69;2.56376833e-1;2.75104731e-1;3.25560331e-1;3.72678697e-1;4.83273804e-1;5.61750412e-1;5.55594683e-1;4.49333638e-1;2.89889574e-1;1.57314420e-1;8.29135701e-2;3.83717380e-2;1.69902705e-2;6.25928678e-3;5.77304885e-3;5.25651174e-3;5.07686380e-3;7.81521015e-3;1.31486291e-2;4.34144549e-2;2.13031426e-1;5.43278217e-1;7.96077549e-1;8.99086595e-1;9.52975869e-1;9.65699911e-1;9.65590894e-1;9.68574822e-1;9.72412348e-1;9.76382911e-1;9.73339140e-1
10;"-";"Glossy";"-";"001";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Apr 06 2024 00:12:05 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.52707147e+1;2.00441981e+1;8.02143446e+1;7.52707147e+1;8.26807775e+1;7.59700680e+1;5.45183665e-1;4.87102530e-1;4.73657768e-2;243;170;0;#f3aa00;T;0.11;0.41;1.15;0.27;1.85093470e-2;1.60688739e-2;1.63808707e-2;1.80234313e-2;1.94825549e-2;1.98833998e-2;2.68782284e-2;4.13939245e-2;8.18696395e-2;1.68719292e-1;2.83932626e-1;3.62880677e-1;3.86484653e-1;3.98147583e-1;4.03264135e-1;3.97323310e-1;3.92765969e-1;4.27966386e-1;5.13661981e-1;6.33049130e-1;7.33831584e-1;7.94902027e-1;8.24979067e-1;8.36763620e-1;8.45425546e-1;8.58041763e-1;8.66795659e-1;8.75646532e-1;8.84238303e-1;8.91790867e-1;8.91799629e-1
