sep=;
Export Date/Time;Wed Apr 10 2024 21:46:31 GMT+0000 (Coordinated Universal Time),User Email;varun.nealsri@gmail.com,Saved Library Name;041024
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Premium";"-";"1000";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Apr 10 2024 18:04:53 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.29498295e+1;-1.57469085e+1;-4.62099158e+1;5.29498295e+1;4.88192733e+1;2.51182479e+2;1.71977966e-1;2.10003059e-1;4.64117956e-1;0;137;206;#0089ce;T;1.03;0.53;0.25;0.76;1.97147980e-1;2.76302725e-1;3.77471060e-1;4.56916332e-1;5.38577318e-1;5.94346821e-1;6.32241964e-1;6.42321706e-1;6.22334659e-1;5.83516121e-1;5.29756963e-1;4.51606810e-1;3.64055157e-1;2.91748732e-1;2.28489906e-1;1.77791968e-1;1.37088627e-1;1.11256056e-1;9.72393826e-2;8.99332464e-2;8.76767263e-2;9.01948288e-2;9.71990526e-2;1.06254630e-1;1.13515437e-1;1.23606853e-1;1.31543174e-1;1.41620025e-1;1.53160319e-1;1.61551118e-1;1.67031422e-1
2;"-";"Premium";"-";"1001";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Apr 10 2024 18:05:03 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.33903897e+1;-2.83954092e+1;1.01449954e+1;4.33903897e+1;3.01532784e+1;1.60339416e+2;9.09430347e-2;1.34206811e-1;8.09850938e-2;47;115;84;#2f7354;T;1.09;0.73;0.96;0.91;7.01309517e-2;6.53126240e-2;6.18826859e-2;6.14590086e-2;6.58969954e-2;7.19070807e-2;8.27315971e-2;9.94821116e-2;1.35954514e-1;1.97057173e-1;2.52437949e-1;2.61054367e-1;2.31533036e-1;2.02355042e-1;1.66176498e-1;1.33373991e-1;1.06216781e-1;8.92378241e-2;8.02419633e-2;7.60756508e-2;7.56918639e-2;7.91544765e-2;8.62169415e-2;9.48573798e-2;1.01709269e-1;1.10945322e-1;1.18542388e-1;1.27873361e-1;1.38166726e-1;1.46391466e-1;1.53648123e-1
3;"-";"Premium";"-";"1010";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Apr 10 2024 18:05:15 GMT+0000 (Coordinated Universal Time);D50;2;M2;3.53145804e+1;2.44597066e+1;-5.23039731e+1;3.53145804e+1;5.77406517e+1;2.95062920e+2;1.14335367e-1;8.65662049e-2;2.87788344e-1;78;71;168;#4e47a8;T;1.04;1.08;0.48;1.09;1.52991280e-1;2.01499879e-1;2.53943324e-1;2.99305260e-1;3.68878752e-1;4.22045171e-1;4.32014704e-1;3.84977102e-1;3.02240610e-1;2.31414944e-1;1.83917090e-1;1.33868247e-1;9.45620164e-2;7.05151707e-2;6.15879074e-2;5.08971773e-2;4.11666967e-2;4.11473699e-2;5.30107655e-2;7.17911348e-2;8.58577043e-2;9.16669071e-2;9.72954258e-2;1.05279207e-1;1.11809932e-1;1.21241227e-1;1.27602756e-1;1.36124313e-1;1.46262035e-1;1.53721556e-1;1.60103679e-1
4;"-";"Premium";"-";"1100";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Apr 10 2024 18:05:24 GMT+0000 (Coordinated Universal Time);D50;2;M2;3.88799965e+1;3.80949287e+0;-1.57968886e+1;3.88799965e+1;1.62497362e+1;2.83558269e+2;1.07117203e-1;1.05893245e-1;1.38863810e-1;87;90;117;#575a75;T;1.04;1.00;0.78;0.98;9.17470828e-2;1.07895985e-1;1.24670304e-1;1.39564961e-1;1.58161625e-1;1.77212209e-1;1.95929036e-1;2.03713551e-1;1.80359051e-1;1.47537559e-1;1.27118334e-1;1.01922333e-1;8.06865618e-2;7.10579976e-2;9.69846994e-2;1.26725018e-1;1.33977041e-1;1.16271481e-1;9.77233946e-2;8.87384117e-2;8.57045576e-2;8.73457640e-2;9.34303924e-2;1.01829700e-1;1.08647339e-1;1.18399285e-1;1.26115158e-1;1.35830805e-1;1.46986678e-1;1.55466631e-1;1.61129713e-1
5;"-";"Premium";"-";"1011";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Apr 10 2024 18:05:42 GMT+0000 (Coordinated Universal Time);D50;2;M2;3.42447424e+1;-7.81084827e-1;-8.11820092e+0;3.42447424e+1;8.15569002e+0;2.64504259e+2;7.75115805e-2;8.12639455e-2;8.77347860e-2;74;81;93;#4a515d;T;1.06;1.04;0.94;1.10;8.08005482e-2;8.17075968e-2;8.01463574e-2;7.93991238e-2;8.24024752e-2;8.92724246e-2;1.01863012e-1;1.20676510e-1;1.47875741e-1;1.75500289e-1;1.77452266e-1;1.42564774e-1;1.05853826e-1;8.21057856e-2;7.05195814e-2;5.72521314e-2;4.56190631e-2;4.48448658e-2;5.58595881e-2;7.16429725e-2;8.17390382e-2;8.55488703e-2;9.07682255e-2;9.86906961e-2;1.05202906e-1;1.14425533e-1;1.20548397e-1;1.28932521e-1;1.39430612e-1;1.47832155e-1;1.54742703e-1
6;"-";"Premium";"-";"1101";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Apr 10 2024 18:05:54 GMT+0000 (Coordinated Universal Time);D50;2;M2;3.69665887e+1;-5.10210789e+0;4.93878158e+0;3.69665887e+1;7.10092025e+0;1.35931898e+2;8.57751065e-2;9.51989246e-2;6.64902833e-2;81;89;79;#51594f;T;1.09;1.01;1.07;1.03;6.10027649e-2;6.52800351e-2;6.39149323e-2;6.28842264e-2;6.42694309e-2;6.90912902e-2;7.82809556e-2;9.17741060e-2;1.06771037e-1;1.19935669e-1;1.22801840e-1;1.03650324e-1;8.40219930e-2;7.55329356e-2;9.76612270e-2;1.17038675e-1;1.16059348e-1;9.87752602e-2;8.47003013e-2;7.84476101e-2;7.66737312e-2;7.86531642e-2;8.45769420e-2;9.25521478e-2;9.89872366e-2;1.07987240e-1;1.15153380e-1;1.24372408e-1;1.35229662e-1;1.43371135e-1;1.49071783e-1
7;"-";"Premium";"-";"1110";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Apr 10 2024 18:06:11 GMT+0000 (Coordinated Universal Time);D50;2;M2;3.31463666e+1;1.71100930e+1;-3.37597063e+1;3.31463666e+1;3.78480257e+1;2.96876802e+2;9.25712229e-2;7.60501857e-2;1.71621860e-1;81;70;132;#514684;T;1.06;1.15;0.70;1.13;1.15589865e-1;1.46074623e-1;1.68772295e-1;1.86936319e-1;2.07610220e-1;2.29780763e-1;2.44526967e-1;2.39326492e-1;2.03242600e-1;1.62216112e-1;1.32021755e-1;9.98493880e-2;7.49018267e-2;6.09526932e-2;6.04414977e-2;5.52129559e-2;4.64610271e-2;4.46299873e-2;5.49729802e-2;7.11344630e-2;8.20644870e-2;8.64628777e-2;9.20066833e-2;1.00132346e-1;1.06784090e-1;1.16194554e-1;1.22706518e-1;1.31308973e-1;1.41613796e-1;1.49237663e-1;1.55328736e-1
8;"-";"Premium";"-";"1111";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Apr 10 2024 18:06:22 GMT+0000 (Coordinated Universal Time);D50;2;M2;3.35967688e+1;3.30916462e+0;-7.67348564e+0;3.35967688e+1;8.35661130e+0;2.93327957e+2;7.89179177e-2;7.81602935e-2;8.34669807e-2;80;78;91;#504e5b;T;1.06;1.10;0.97;1.11;7.82523900e-2;8.36774483e-2;8.24961588e-2;8.09141397e-2;8.20471346e-2;8.83815363e-2;1.00629218e-1;1.17750719e-1;1.34518638e-1;1.45253912e-1;1.39292628e-1;1.11433148e-1;8.53001624e-2;7.02891201e-2;6.97893575e-2;6.41768798e-2;5.40137254e-2;5.07926568e-2;6.01069964e-2;7.40164369e-2;8.22616890e-2;8.55953470e-2;9.12184045e-2;9.94671211e-2;1.06206171e-1;1.15612902e-1;1.22377500e-1;1.31257504e-1;1.41769484e-1;1.49695396e-1;1.56702697e-1
9;"-";"Premium";"-";"0000";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Apr 10 2024 18:06:32 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.73780949e+1;6.82841376e-1;-7.89875551e-1;9.73780949e+1;1.04411481e+0;3.10843164e+2;9.04084109e-1;9.33713199e-1;7.79887473e-1;248;247;249;#f8f7f9;T;0.03;0.03;0.03;0.03;3.94447207e-1;5.74068964e-1;8.13187301e-1;9.37488139e-1;9.75591421e-1;9.67888415e-1;9.59906459e-1;9.58765745e-1;9.58622098e-1;9.50400651e-1;9.41509366e-1;9.38100934e-1;9.40837204e-1;9.21902537e-1;9.23712671e-1;9.25590277e-1;9.26508248e-1;9.27528679e-1;9.32167411e-1;9.38745022e-1;9.40047324e-1;9.41685140e-1;9.43916380e-1;9.41225827e-1;9.41839814e-1;9.47921813e-1;9.49098051e-1;9.49515462e-1;9.50798512e-1;9.52518404e-1;9.50848639e-1
10;"-";"Premium";"-";"0001";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Apr 10 2024 18:06:47 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.55438474e+1;2.62734351e+1;5.92134692e+1;7.55438474e+1;6.47806169e+1;6.60728001e+1;5.75010705e-1;4.91488675e-1;9.89417082e-2;250;166;74;#faa64a;T;0.09;0.43;0.88;0.26;8.01980048e-2;7.55438581e-2;7.41267577e-2;7.55059645e-2;8.01700503e-2;8.56034979e-2;9.84741971e-2;1.19485289e-1;1.58111036e-1;2.23602846e-1;2.99889207e-1;3.52411747e-1;3.70363981e-1;3.80496383e-1;3.83475959e-1;3.79631191e-1;3.80028009e-1;4.12989318e-1;4.91517335e-1;6.21691942e-1;7.59623647e-1;8.57292295e-1;9.04195070e-1;9.19527292e-1;9.29073095e-1;9.37661469e-1;9.40108895e-1;9.42147315e-1;9.43976521e-1;9.45767939e-1;9.43188906e-1
