sep=;
Export Date/Time;Thu Apr 11 2024 21:22:56 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;4/11
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Nbau ";"-";"0000";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Apr 11 2024 20:37:37 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.73907601e+1;6.90020444e-1;-8.25070322e-1;9.73907601e+1;1.07557856e+0;3.09906317e+2;9.04426496e-1;9.34026142e-1;7.80567522e-1;248;247;249;#f8f7f9;T;0.03;0.03;0.03;0.03;4.02717054e-1;5.90262651e-1;8.18053782e-1;9.36746061e-1;9.78689492e-1;9.69826698e-1;9.58622098e-1;9.57234263e-1;9.58959341e-1;9.50670779e-1;9.41449285e-1;9.38094616e-1;9.40970957e-1;9.22410667e-1;9.24421668e-1;9.25709188e-1;9.26894546e-1;9.27921951e-1;9.32613194e-1;9.39484060e-1;9.40829217e-1;9.42262232e-1;9.43935573e-1;9.40892041e-1;9.41265106e-1;9.47001517e-1;9.46985722e-1;9.48071957e-1;9.49898243e-1;9.49627638e-1;9.48956311e-1
2;"-";"Nbau ";"-";"0001";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Apr 11 2024 20:37:48 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.66195845e+1;2.44680759e+1;5.91494488e+1;7.66195845e+1;6.40104994e+1;6.75268168e+1;5.86694563e-1;5.09019614e-1;1.04829745e-1;251;171;76;#fbab4c;T;0.08;0.40;0.85;0.25;7.88617581e-2;7.90288001e-2;7.81875476e-2;7.85648078e-2;8.28729570e-2;8.85340199e-2;1.02682464e-1;1.26517862e-1;1.71501547e-1;2.46234894e-1;3.28277230e-1;3.78323436e-1;3.92592907e-1;4.00398344e-1;4.02989894e-1;3.97814661e-1;3.97346199e-1;4.31482226e-1;5.12389898e-1;6.42905533e-1;7.76663780e-1;8.67082477e-1;9.09278929e-1;9.22199011e-1;9.30360854e-1;9.38162804e-1;9.39396262e-1;9.41173911e-1;9.42962050e-1;9.43289042e-1;9.42295611e-1
3;"-";"Nbau ";"-";"0010";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Apr 11 2024 20:37:59 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.90644121e+1;6.81896363e+1;-3.54955598e+1;4.90644121e+1;7.68749716e+1;3.32501136e+2;3.26886207e-1;1.76464180e-1;3.32200710e-1;200;48;179;#c830b3;T;0.41;1.07;0.42;0.67;2.32148901e-1;3.06546569e-1;3.69109005e-1;4.08474952e-1;4.58417803e-1;4.94729638e-1;4.77722526e-1;4.04224783e-1;3.05555850e-1;2.24710301e-1;1.75214142e-1;1.28253311e-1;9.05057862e-2;6.73677251e-2;6.52456507e-2;6.18141927e-2;5.30108921e-2;4.74334136e-2;5.53593710e-2;9.14868489e-2;1.91618100e-1;3.78291398e-1;6.04005873e-1;7.83767521e-1;9.05642629e-1;9.74575281e-1;9.62398410e-1;9.62551594e-1;9.62598801e-1;9.62672055e-1;9.60045874e-1
4;"-";"Nbau ";"-";"0011";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Apr 11 2024 20:38:09 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.67911958e+1;5.67562849e+1;1.93497149e+1;4.67911958e+1;5.99640504e+1;1.88255976e+1;2.70728481e-1;1.58606979e-1;7.25004167e-2;197;57;82;#c53952;T;0.43;1.11;1.02;0.70;6.33575320e-2;6.39457703e-2;6.21880405e-2;6.22437932e-2;6.64878413e-2;7.15475976e-2;8.28389898e-2;1.02701508e-1;1.28969610e-1;1.50500640e-1;1.49521559e-1;1.18828818e-1;8.60823169e-2;6.50424883e-2;6.20081574e-2;5.76827079e-2;4.86086570e-2;4.36104611e-2;5.10316715e-2;8.18798989e-2;1.72646478e-1;3.59653950e-1;5.92024207e-1;7.69771338e-1;8.88810158e-1;9.51976001e-1;9.44252551e-1;9.47270989e-1;9.48339462e-1;9.48974311e-1;9.46102083e-1
5;"-";"Nbau ";"-";"0100";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Apr 11 2024 20:38:21 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.72054923e+1;4.64342593e+1;4.39891582e+1;7.72054923e+1;6.39623833e+1;4.34510667e+1;6.94431734e-1;5.18740965e-1;1.63982811e-1;255;153;112;#ff9970;T;0.03;0.66;0.71;0.21;1.23232104e-1;1.44927114e-1;1.63006961e-1;1.76288426e-1;1.89202979e-1;2.04187155e-1;2.22368971e-1;2.32867330e-1;2.10383296e-1;1.75964028e-1;1.52539283e-1;1.25080228e-1;1.04942568e-1;9.51698795e-2;1.38693452e-1;2.91383117e-1;5.24002552e-1;7.66154528e-1;8.76256645e-1;9.22417939e-1;9.32562649e-1;9.35100436e-1;9.37485456e-1;9.35142815e-1;9.36018407e-1;9.42696095e-1;9.44052279e-1;9.45138037e-1;9.46924031e-1;9.47867870e-1;9.47295070e-1
6;"-";"Nbau ";"-";"0101";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Apr 11 2024 20:38:33 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.85060209e+1;5.12945623e+1;5.95881220e+1;6.85060209e+1;7.86249096e+1;4.92775191e+1;5.53502027e-1;3.86624161e-1;6.58664448e-2;255;124;59;#ff7c3b;T;0.08;0.81;1.08;0.33;5.38196303e-2;5.44344150e-2;5.52170686e-2;5.81929460e-2;6.35045022e-2;6.79816529e-2;7.77858645e-2;9.33089256e-2;1.07973725e-1;1.18517533e-1;1.18322484e-1;9.94292349e-2;8.45791325e-2;7.94748291e-2;1.20799348e-1;2.12971419e-1;3.18012446e-1;4.18864012e-1;5.14552236e-1;6.47289813e-1;7.77217090e-1;8.63113284e-1;9.03002381e-1;9.15781319e-1;9.24148798e-1;9.32990789e-1;9.34835494e-1;9.36936796e-1;9.38820064e-1;9.40616190e-1;9.40182507e-1
7;"-";"Nbau ";"-";"0110";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Apr 11 2024 20:38:44 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.85473914e+1;6.22556385e+1;-4.69348758e+0;4.85473914e+1;6.24323102e+1;3.55688595e+2;3.04459863e-1;1.72290813e-1;1.60933822e-1;203;54;126;#cb367e;T;0.39;1.12;0.73;0.67;1.29658297e-1;1.51396737e-1;1.68761358e-1;1.82176441e-1;1.98114470e-1;2.15756640e-1;2.26409197e-1;2.20094040e-1;1.87405437e-1;1.46423608e-1;1.11698478e-1;8.53090808e-2;7.14306682e-2;6.60668015e-2;7.40157366e-2;7.55406618e-2;6.70398548e-2;5.83076924e-2;6.55768216e-2;1.03417493e-1;2.05736786e-1;3.99713725e-1;6.26426876e-1;7.90085673e-1;8.97841632e-1;9.49015260e-1;9.39115763e-1;9.39695299e-1;9.39469934e-1;9.39670146e-1;9.38379765e-1
8;"-";"Nbau ";"-";"0111";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Apr 11 2024 20:38:56 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.68931174e+1;5.83850196e+1;2.42276040e+1;4.68931174e+1;6.32122402e+1;2.25366258e+1;2.75891072e-1;1.59380578e-1;6.15952204e-2;200;54;75;#c8364b;T;0.41;1.16;1.11;0.69;5.56600951e-2;5.40298708e-2;5.28198257e-2;5.48782125e-2;6.03939556e-2;6.52115643e-2;7.47730732e-2;8.98477808e-2;1.04278930e-1;1.08997785e-1;9.71349925e-2;7.70633593e-2;6.49341568e-2;6.05054498e-2;6.88010454e-2;7.08156601e-2;6.29648715e-2;5.49210608e-2;6.16108663e-2;9.44225714e-2;1.85300678e-1;3.70029718e-1;5.99247754e-1;7.71300495e-1;8.85834754e-1;9.43356931e-1;9.36022639e-1;9.39517677e-1;9.40605879e-1;9.40734982e-1;9.38587785e-1
9;"-";"Nbau ";"-";"1000";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Apr 11 2024 20:39:15 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.37593190e+1;-1.65384140e+1;-4.70116143e+1;5.37593190e+1;4.98358406e+1;2.50618423e+2;1.76970687e-1;2.17486713e-1;4.82898259e-1;0;139;210;#008bd2;T;1.03;0.52;0.24;0.74;2.10177466e-1;2.91994393e-1;3.96203190e-1;4.78629440e-1;5.63429773e-1;6.19101882e-1;6.55141592e-1;6.64344847e-1;6.45201623e-1;6.06863678e-1;5.52244008e-1;4.72055703e-1;3.81321520e-1;3.05615932e-1;2.38516182e-1;1.84420004e-1;1.40770704e-1;1.13175273e-1;9.84012485e-2;9.04883519e-2;8.81280527e-2;9.08484086e-2;9.81236994e-2;1.07662663e-1;1.15338504e-1;1.26210883e-1;1.34937301e-1;1.45593151e-1;1.57622308e-1;1.66581154e-1;1.73531935e-1
10;"-";"Nbau ";"-";"1001";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Apr 11 2024 20:39:39 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.77284909e+1;-2.67770941e+1;1.66176468e+1;4.77284909e+1;3.15144245e+1;1.48176598e+2;1.17536523e-1;1.65816192e-1;8.36657331e-2;69;125;84;#457d54;T;0.95;0.65;0.94;0.81;6.73695952e-2;6.27156794e-2;5.99512234e-2;5.97566105e-2;6.40756711e-2;6.98793679e-2;8.18012506e-2;1.01249225e-1;1.44870326e-1;2.18635112e-1;2.84649998e-1;2.96018690e-1;2.67091811e-1;2.38754377e-1;2.02794075e-1;1.67817816e-1;1.37901098e-1;1.18920505e-1;1.08637564e-1;1.03970893e-1;1.03696309e-1;1.08634591e-1;1.18576400e-1;1.30464837e-1;1.39837936e-1;1.52234435e-1;1.61347210e-1;1.73191667e-1;1.87061459e-1;1.98271438e-1;2.06962734e-1
