sep=;
Export Date/Time;Fri Apr 12 2024 02:18:41 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;4/11Cell
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"CellNB";"-";"0000";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Apr 12 2024 02:01:45 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.74408207e+1;6.68283574e-1;-8.56730899e-1;9.74408207e+1;1.08654994e+0;3.07955623e+2;9.05502614e-1;9.35263772e-1;7.81975491e-1;248;247;249;#f8f7f9;T;0.03;0.03;0.03;0.03;4.05228406e-1;5.94480634e-1;8.19577694e-1;9.37599361e-1;9.83863473e-1;9.74828601e-1;9.58656967e-1;9.54080164e-1;9.58873987e-1;9.53564525e-1;9.43815172e-1;9.39405143e-1;9.42256153e-1;9.23532367e-1;9.25827742e-1;9.27518904e-1;9.28623915e-1;9.29370224e-1;9.33713913e-1;9.40153658e-1;9.41307247e-1;9.42878902e-1;9.44882512e-1;9.41841006e-1;9.42180097e-1;9.47996199e-1;9.47913647e-1;9.48585749e-1;9.49699759e-1;9.48354840e-1;9.49845850e-1
2;"-";"CellNB";"-";"0001";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Apr 12 2024 02:01:59 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.22336381e+1;7.21930394e-1;3.22901405e+1;9.22336381e+1;3.22982098e+1;8.87192166e+1;7.86871014e-1;8.12293173e-1;3.79085870e-1;251;231;170;#fbe7aa;T;0.03;0.11;0.32;0.08;2.46137545e-1;2.97643930e-1;3.45475495e-1;3.66467357e-1;3.87154579e-1;4.06524837e-1;4.37857509e-1;4.82155174e-1;5.55359364e-1;6.53170884e-1;7.33506322e-1;7.72767901e-1;7.84879684e-1;7.79072821e-1;7.82871246e-1;7.82654941e-1;7.84289777e-1;8.01943183e-1;8.37134659e-1;8.81984174e-1;9.13651109e-1;9.30887818e-1;9.39298093e-1;9.38893139e-1;9.40539539e-1;9.46309149e-1;9.46269035e-1;9.46794450e-1;9.47972655e-1;9.48026419e-1;9.49650526e-1
3;"-";"CellNB";"-";"0002";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Apr 12 2024 02:02:12 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.74746854e+1;2.26721441e+1;5.82686625e+1;7.74746854e+1;6.25241005e+1;6.87391528e+1;5.94580392e-1;5.23248593e-1;1.12370444e-1;251;174;80;#fbae50;T;0.08;0.38;0.82;0.24;8.76245126e-2;8.96199793e-2;8.69284272e-2;8.58214647e-2;9.04838517e-2;9.69526544e-2;1.11619264e-1;1.35699138e-1;1.81126505e-1;2.56959915e-1;3.41376454e-1;3.95238727e-1;4.11724836e-1;4.20252979e-1;4.22813356e-1;4.17838693e-1;4.17639315e-1;4.51396406e-1;5.29737115e-1;6.54666543e-1;7.81624913e-1;8.67463052e-1;9.07478631e-1;9.19181406e-1;9.26605880e-1;9.34279323e-1;9.34606016e-1;9.35476661e-1;9.36641216e-1;9.36073422e-1;9.37719643e-1
4;"-";"CellNB";"-";"0010";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Apr 12 2024 02:02:28 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.31603722e+1;3.81098024e+1;-3.07307145e+1;7.31603722e+1;4.89564485e+1;3.21118234e+2;5.81440047e-1;4.54089699e-1;6.47365099e-1;227;154;237;#e39aed;T;0.16;0.42;0.12;0.32;3.59132230e-1;5.09220600e-1;6.86185718e-1;7.87291110e-1;8.51565301e-1;8.69712710e-1;8.53249729e-1;8.08166742e-1;7.32409835e-1;6.45958781e-1;5.72787941e-1;4.84377921e-1;4.06848848e-1;3.55010390e-1;3.41099471e-1;3.20470989e-1;2.90674835e-1;2.74299264e-1;2.92561322e-1;3.76527160e-1;5.53007543e-1;7.55378783e-1;8.77660573e-1;9.23262835e-1;9.47531998e-1;9.55524385e-1;9.53107595e-1;9.53160584e-1;9.53653395e-1;9.53505278e-1;9.54183161e-1
5;"-";"CellNB";"-";"0011";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Apr 12 2024 02:02:41 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.06238012e+1;3.18696555e+1;8.60996485e-1;7.06238012e+1;3.18812838e+1;1.54753691e+0;5.13368377e-1;4.16425910e-1;3.37729886e-1;227;150;173;#e396ad;T;0.16;0.46;0.38;0.35;2.20690474e-1;2.74163395e-1;3.24037164e-1;3.49106967e-1;3.73173356e-1;3.95296752e-1;4.22186762e-1;4.49860126e-1;4.75792736e-1;4.98276114e-1;4.94554907e-1;4.39006031e-1;3.73571903e-1;3.28275919e-1;3.14928293e-1;2.93597966e-1;2.62504965e-1;2.46253908e-1;2.67290413e-1;3.54799211e-1;5.36346972e-1;7.46385098e-1;8.74544263e-1;9.22377944e-1;9.47690904e-1;9.55710769e-1;9.53421712e-1;9.53843415e-1;9.54552948e-1;9.53233898e-1;9.52498555e-1
6;"-";"CellNB";"-";"0012";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Apr 12 2024 02:02:53 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.41128629e+1;3.97573795e+1;3.69331647e+1;6.41128629e+1;5.42651627e+1;4.28909721e+1;4.40443356e-1;3.29406973e-1;1.06885544e-1;231;125;92;#e77d5c;T;0.18;0.63;0.85;0.42;8.91683623e-2;8.88981521e-2;8.63315538e-2;8.58123079e-2;9.14042965e-2;9.88182947e-2;1.13651596e-1;1.36983961e-1;1.77869067e-1;2.39497855e-1;2.93004900e-1;2.94223905e-1;2.62030214e-1;2.37020880e-1;2.24585876e-1;2.01800644e-1;1.70943260e-1;1.58639938e-1;1.93846673e-1;3.03151548e-1;5.05927026e-1;7.32875466e-1;8.72796297e-1;9.26364779e-1;9.54835236e-1;9.63521123e-1;9.58360791e-1;9.55071092e-1;9.53250766e-1;9.52479720e-1;9.53828871e-1
7;"-";"CellNB";"-";"0020";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Apr 12 2024 02:03:12 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.02222828e+1;6.73431248e+1;-3.62683784e+1;5.02222828e+1;7.64885072e+1;3.31694828e+2;3.38682501e-1;1.86053770e-1;3.51241171e-1;202;54;183;#ca36b7;T;0.39;1.03;0.40;0.65;2.69834042e-1;3.33824903e-1;3.92438233e-1;4.31669563e-1;4.83072609e-1;5.20113170e-1;5.01995206e-1;4.26469535e-1;3.26642841e-1;2.44714230e-1;1.92748964e-1;1.42467916e-1;1.02429412e-1;7.79051930e-2;7.33651668e-2;6.67131692e-2;5.59738465e-2;5.01533635e-2;5.87974004e-2;9.73150656e-2;2.03983918e-1;4.01345938e-1;6.30352974e-1;8.01064670e-1;9.14557934e-1;9.71512973e-1;9.58976984e-1;9.59645808e-1;9.59972680e-1;9.59264696e-1;9.58190978e-1
8;"-";"CellNB";"-";"0021";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Apr 12 2024 02:03:23 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.95039390e+1;6.13108831e+1;-1.40510793e+1;4.95039390e+1;6.29003754e+1;3.47091998e+2;3.13065940e-1;1.80064576e-1;2.11237895e-1;201;60;144;#c93c90;T;0.39;1.04;0.60;0.66;1.72049955e-1;1.96193948e-1;2.16881886e-1;2.31946200e-1;2.57065833e-1;2.80991882e-1;2.91845083e-1;2.83437490e-1;2.53320605e-1;2.17827201e-1;1.84372678e-1;1.39978141e-1;1.01291001e-1;7.70720243e-2;7.22961277e-2;6.56454042e-2;5.49405962e-2;4.91602235e-2;5.70564941e-2;9.34596583e-2;1.99834839e-1;4.02511030e-1;6.36174023e-1;8.06136250e-1;9.18268740e-1;9.72366095e-1;9.60560620e-1;9.60911810e-1;9.60702896e-1;9.60491955e-1;9.61124718e-1
9;"-";"CellNB";"-";"0022";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Apr 12 2024 02:03:35 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.97491297e+1;5.41921309e+1;1.67217306e+1;4.97491297e+1;5.67133434e+1;1.71483328e+1;2.96789513e-1;1.82094177e-1;9.30956935e-2;202;70;93;#ca465d;T;0.38;1.00;0.92;0.65;8.53899494e-2;8.26900154e-2;8.06189105e-2;8.13568607e-2;8.80938321e-2;9.59423557e-2;1.09344639e-1;1.29542202e-1;1.56382218e-1;1.81783482e-1;1.85365424e-1;1.53211921e-1;1.14664972e-1;8.89436826e-2;8.20836723e-2;7.30750114e-2;5.94411492e-2;5.21293581e-2;6.09282665e-2;9.98591632e-2;2.09603876e-1;4.17395353e-1;6.49618447e-1;8.08845997e-1;9.12121534e-1;9.59183216e-1;9.50612009e-1;9.51915681e-1;9.52297390e-1;9.52008128e-1;9.51114178e-1
10;"-";"CellNB";"-";"0100";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Apr 12 2024 02:04:01 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.80822608e+1;2.32013772e+1;1.24737030e+1;8.80822608e+1;2.63419280e+1;2.82637058e+1;8.10266302e-1;7.22364149e-1;4.80237350e-1;255;204;198;#ffccc6;T;0.03;0.27;0.24;0.11;2.81796902e-1;3.78211468e-1;4.87092406e-1;5.46565413e-1;5.78453422e-1;5.99720240e-1;6.21681690e-1;6.32523656e-1;6.04349196e-1;5.58509886e-1;5.24392486e-1;4.75962996e-1;4.33821380e-1;4.09850866e-1;4.80817795e-1;6.37312412e-1;8.00236762e-1;9.00516629e-1;9.25582826e-1;9.38161373e-1;9.40191448e-1;9.41283464e-1;9.42979515e-1;9.39946890e-1;9.40342784e-1;9.46401954e-1;9.47291315e-1;9.47633803e-1;9.48652387e-1;9.50165272e-1;9.48965490e-1
