sep=;
Export Date/Time;Sat Dec 30 2023 07:01:28 GMT+0000 (Coordinated Universal Time),User Email;varun.nealsri@gmail.com,Saved Library Name;122823
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Primaries ";"-";"Opportunity";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Dec 30 2023 03:00:49 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.66256448e+1;5.64451736e+1;-4.93368039e+0;5.66256448e+1;5.66603815e+1;3.55004667e+2;3.89101330e-1;2.45412136e-1;2.27410288e-1;219;88;147;#db5893;T;0.24;0.91;0.55;0.53;2.07479849e-1;1.95133001e-1;1.98665068e-1;2.07025737e-1;2.36157537e-1;2.65994400e-1;3.03107172e-1;3.38575512e-1;3.50054175e-1;3.32761228e-1;2.83183992e-1;2.03991294e-1;1.37895688e-1;9.52878818e-2;8.28394145e-2;7.28196949e-2;6.17722869e-2;7.25270882e-2;1.48174450e-1;3.06719095e-1;4.83443618e-1;6.08995438e-1;7.04255641e-1;7.82079339e-1;8.37718308e-1;8.89466166e-1;9.01812375e-1;9.13804352e-1;9.20561671e-1;9.23158407e-1;9.24760520e-1
2;"-";"Primaries ";"-";"Peach haze";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Dec 30 2023 03:01:03 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.37687441e+1;4.37316712e+1;1.57680627e+1;7.37687441e+1;4.64875345e+1;1.98274744e+1;6.16151655e-1;4.63448499e-1;2.77058644e-1;255;148;155;#ff949b;T;0.09;0.63;0.47;0.27;1.75109670e-1;1.88800991e-1;2.20455304e-1;2.50992984e-1;2.96456397e-1;3.36153150e-1;3.81397694e-1;4.19527203e-1;4.09843683e-1;3.56949449e-1;3.07203293e-1;2.45977312e-1;1.68145522e-1;1.06602155e-1;1.32565796e-1;2.69036561e-1;4.33169633e-1;5.67588747e-1;6.52359307e-1;7.43591428e-1;8.02864552e-1;8.28579783e-1;8.46055746e-1;8.58481526e-1;8.69521856e-1;8.85551989e-1;8.93059790e-1;9.01891232e-1;9.09386456e-1;9.13397849e-1;9.15775061e-1
3;"-";"Primaries ";"-";"Orange";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Dec 30 2023 03:01:15 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.09687690e+1;9.96136032e+0;5.05048451e+1;8.09687690e+1;5.14778407e+1;7.88424372e+1;6.04484137e-1;5.84146366e-1;1.63867854e-1;240;193;105;#f0c169;T;0.10;0.28;0.65;0.21;1.02066338e-1;8.37956741e-2;8.14353600e-2;8.30610543e-2;1.05218530e-1;1.27642527e-1;1.69887379e-1;2.30125800e-1;3.21505278e-1;4.40935135e-1;5.34240723e-1;5.57394922e-1;5.40490448e-1;5.22139728e-1;5.12453496e-1;4.93734509e-1;4.76977140e-1;5.03611624e-1;5.86513162e-1;6.97322130e-1;7.76060700e-1;8.15164149e-1;8.39359641e-1;8.53495300e-1;8.64956141e-1;8.79475355e-1;8.86231601e-1;8.94597292e-1;9.02113914e-1;9.05890644e-1;9.07393396e-1
4;"-";"Primaries ";"-";"111";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Dec 30 2023 03:08:21 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.31350650e+1;6.48463679e+1;3.71749964e+1;5.31350650e+1;7.47464500e+1;2.98246987e+1;3.68485151e-1;2.11700146e-1;5.69229846e-2;229;61;68;#e53d44;T;0.22;1.28;1.12;0.56;3.79075073e-2;3.40790451e-2;3.18595134e-2;3.21576521e-2;4.13704887e-2;5.10404408e-2;7.11789057e-2;1.00460686e-1;1.22394152e-1;1.24812141e-1;1.09609663e-1;7.58163780e-2;4.24044617e-2;2.00922079e-2;2.52450667e-2;4.46165763e-2;6.12009466e-2;8.74989703e-2;1.73723236e-1;3.41957599e-1;5.15030861e-1;6.28753781e-1;7.15249896e-1;7.86115944e-1;8.36890757e-1;8.82202923e-1;8.90486300e-1;8.99124324e-1;9.04200733e-1;9.07085478e-1;9.10813391e-1
5;"-";"Primaries ";"-";"000";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Dec 30 2023 03:08:33 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.45514007e+1;-3.33750491e-1;-3.16917147e+0;9.45514007e+1;3.18669691e+0;2.63988249e+2;8.32879279e-1;8.65603055e-1;7.50529842e-1;236;240;245;#ecf0f5;T;0.07;0.06;0.04;0.06;6.53149426e-1;7.12181091e-1;8.21044803e-1;8.89053166e-1;9.24792349e-1;9.30714250e-1;9.23266649e-1;9.18550849e-1;9.19930458e-1;9.13195908e-1;9.02360082e-1;8.93169582e-1;8.89084995e-1;8.68400693e-1;8.66799653e-1;8.62668633e-1;8.56609821e-1;8.50636601e-1;8.47847164e-1;8.48822057e-1;8.48086774e-1;8.51104975e-1;8.57015312e-1;8.60044777e-1;8.64758790e-1;8.77019346e-1;8.85487676e-1;8.94889176e-1;9.03648734e-1;9.09263551e-1;9.11422193e-1
6;"-";"Primaries ";"-";"Paper";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Dec 30 2023 03:11:14 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.45993723e+1;-3.94959625e-1;-3.08092848e+0;9.45993723e+1;3.10614124e+0;2.62694811e+2;8.33643330e-1;8.66730380e-1;7.50465550e-1;237;240;245;#edf0f5;T;0.07;0.06;0.04;0.06;6.54317677e-1;7.11636245e-1;8.22492540e-1;8.90193582e-1;9.23896909e-1;9.29932535e-1;9.22811329e-1;9.17714298e-1;9.20356631e-1;9.14918780e-1;9.03750896e-1;8.94550920e-1;8.90614152e-1;8.69861186e-1;8.68123531e-1;8.64151895e-1;8.58080328e-1;8.51662934e-1;8.48405302e-1;8.49426448e-1;8.49134564e-1;8.52066636e-1;8.57973456e-1;8.61018479e-1;8.65729570e-1;8.77570391e-1;8.86103988e-1;8.95792842e-1;9.04469669e-1;9.09368634e-1;9.10280824e-1
7;"-";"ngb";"-";"000000";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Dec 30 2023 05:27:35 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.13583452e+1;1.31441194e+1;1.17034660e+1;8.13583452e+1;1.75994031e+1;4.16817278e+1;6.25322815e-1;5.91215189e-1;3.92779159e-1;233;193;181;#e9c1b5;T;0.12;0.26;0.31;0.21;2.71083057e-1;3.24069321e-1;3.73657286e-1;4.00476485e-1;4.29059207e-1;4.54643756e-1;4.83688235e-1;5.14081717e-1;5.48981607e-1;5.85944831e-1;6.02946222e-1;5.85693121e-1;5.57375312e-1;5.34216762e-1;5.30991435e-1;5.19998133e-1;5.01778424e-1;4.99952227e-1;5.35657585e-1;6.13954186e-1;7.03451693e-1;7.74626672e-1;8.23223352e-1;8.54089916e-1;8.76526535e-1;9.01553750e-1;9.12491977e-1;9.20807362e-1;9.23797429e-1;9.23229754e-1;9.22440767e-1
8;"-";"cell1";"-";"000000";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Dec 30 2023 05:28:14 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.12496773e+1;1.31577444e+1;1.18742343e+1;8.12496773e+1;1.77235346e+1;4.20647402e+1;6.23353648e-1;5.89237719e-1;3.90082959e-1;232;193;180;#e8c1b4;T;0.12;0.27;0.32;0.21;2.73014218e-1;3.21011215e-1;3.70674461e-1;3.97696197e-1;4.25753057e-1;4.51006383e-1;4.79739904e-1;5.10227084e-1;5.45908272e-1;5.83842218e-1;6.01578176e-1;5.84046364e-1;5.55468321e-1;5.32372594e-1;5.29199839e-1;5.17903328e-1;4.99486506e-1;4.97698277e-1;5.33305645e-1;6.11841500e-1;7.01648653e-1;7.72877872e-1;8.21759403e-1;8.52706075e-1;8.75174999e-1;9.00374174e-1;9.11791682e-1;9.20311332e-1;9.23882544e-1;9.23769772e-1;9.19533968e-1
9;"-";"cell1";"-";"001000";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Dec 30 2023 05:28:34 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.81748504e+1;1.35540657e+1;4.42195612e+1;7.81748504e+1;4.62502139e+1;7.29587857e+1;5.69377565e-1;5.35094946e-1;1.70131712e-1;236;183;111;#ecb76f;T;0.13;0.33;0.66;0.24;1.15914673e-1;1.20361075e-1;1.28453434e-1;1.36867002e-1;1.52463257e-1;1.66696355e-1;1.89793363e-1;2.22475573e-1;2.69863188e-1;3.34543675e-1;4.02249992e-1;4.51827556e-1;4.71805722e-1;4.82803345e-1;4.93124753e-1;4.87194270e-1;4.68946934e-1;4.63419348e-1;4.98991609e-1;5.83168745e-1;6.79749012e-1;7.56299734e-1;8.13292444e-1;8.52381349e-1;8.80446792e-1;9.07035947e-1;9.15798843e-1;9.23996449e-1;9.28007305e-1;9.27689612e-1;9.23266351e-1
10;"-";"cell1";"-";"010000";Scan;"-";"-";"-";Nix Spectro 2;"-";Sat Dec 30 2023 05:28:47 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.89051506e+1;3.14958559e+1;7.24453569e+0;6.89051506e+1;3.23182957e+1;1.29536091e+1;4.84358768e-1;3.92128260e-1;2.77884752e-1;224;146;157;#e0929d;T;0.19;0.53;0.47;0.37;2.12263271e-1;2.43304789e-1;2.69866139e-1;2.86074340e-1;3.08628172e-1;3.29892904e-1;3.51950109e-1;3.72578442e-1;3.86080921e-1;3.91074330e-1;3.79146278e-1;3.41419399e-1;2.96391129e-1;2.63533503e-1;2.56461561e-1;2.66202718e-1;2.80110031e-1;3.10105830e-1;3.66974443e-1;4.65231597e-1;5.74323237e-1;6.61175728e-1;7.21396625e-1;7.61964202e-1;7.90667236e-1;8.20390165e-1;8.32499564e-1;8.43317449e-1;8.50697219e-1;8.55641782e-1;8.58402848e-1
