sep=;
Export Date/Time;Mon Apr 15 2024 22:11:44 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;4/15
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Test";"-";"33,33,33,00";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 21:25:06 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.87750436e+1;1.24834347e+1;-2.65603169e+1;6.87750436e+1;2.93476843e+1;2.95173676e+2;4.16268002e-1;3.90328352e-1;5.31537554e-1;172;161;216;#aca1d8;T;0.38;0.41;0.20;0.41;2.69226938e-1;3.80512565e-1;5.25966465e-1;6.11645877e-1;6.55427396e-1;6.83515012e-1;7.03074932e-1;6.99100733e-1;6.53982759e-1;5.93589842e-1;5.39787650e-1;4.66638446e-1;3.97013575e-1;3.50947469e-1;3.53656352e-1;3.55550230e-1;3.37872237e-1;3.13781440e-1;3.07360083e-1;3.31516951e-1;3.77337039e-1;4.24573451e-1;4.61837053e-1;4.91413027e-1;5.13193071e-1;5.39907098e-1;5.57189107e-1;5.78207970e-1;6.00606740e-1;6.17665112e-1;6.32906735e-1
2;"-";"Test";"-";"66,66,66,33";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 21:25:23 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.35669748e+1;1.80551768e+1;-2.27387074e+1;4.35669748e+1;2.90351205e+1;3.08450569e+2;1.60088735e-1;1.35407483e-1;2.03604167e-1;119;93;141;#775d8d;T;0.76;0.91;0.61;0.86;1.36971757e-1;1.67287529e-1;1.95509791e-1;2.11926594e-1;2.27471903e-1;2.49863431e-1;2.75991231e-1;2.92950660e-1;2.80081362e-1;2.48755470e-1;2.10781440e-1;1.62187368e-1;1.23993464e-1;1.02908693e-1;1.09030291e-1;1.08333230e-1;9.49928015e-2;8.31258297e-2;8.94287825e-2;1.14883721e-1;1.49231449e-1;1.78703636e-1;2.02065989e-1;2.23674446e-1;2.39947692e-1;2.61001319e-1;2.76517600e-1;2.95750499e-1;3.16842228e-1;3.31768483e-1;3.45139742e-1
3;"-";"Test";"-";"33,33,33,66";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 21:25:36 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.50542462e+1;3.71169359e+0;1.29775957e+1;6.50542462e+1;1.34979502e+1;7.40390574e+1;3.39545662e-1;3.41156261e-1;2.10152867e-1;171;155;135;#ab9b87;T;0.40;0.47;0.57;0.46;1.48437917e-1;1.68207467e-1;1.86384618e-1;1.93818495e-1;2.02871576e-1;2.18799785e-1;2.47216448e-1;2.83491284e-1;3.29399824e-1;3.84192616e-1;4.17095035e-1;3.96978587e-1;3.54009300e-1;3.22519332e-1;3.18164080e-1;3.14784139e-1;3.00646275e-1;2.86415458e-1;2.85344243e-1;3.08396608e-1;3.50803852e-1;3.98785651e-1;4.39928204e-1;4.73216742e-1;4.97610778e-1;5.26683986e-1;5.44969201e-1;5.66697240e-1;5.89916229e-1;6.08935952e-1;6.24464750e-1
4;"-";"Test";"-";"66,66,66,00";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 21:25:52 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.50480175e+1;2.06673613e+1;-3.47282707e+1;4.50480175e+1;4.04127778e+1;3.00757568e+2;1.76330702e-1;1.45760794e-1;2.82946802e-1;117;96;165;#7560a5;T;0.76;0.88;0.48;0.84;1.59772038e-1;2.08035901e-1;2.65184313e-1;3.03448290e-1;3.36402893e-1;3.72197270e-1;4.01316583e-1;4.00689006e-1;3.50282818e-1;2.85081536e-1;2.32290506e-1;1.77800030e-1;1.35404333e-1;1.11740008e-1;1.18273228e-1;1.17719509e-1;1.03284821e-1;8.99628997e-2;9.55554023e-2;1.19746625e-1;1.51399285e-1;1.78271472e-1;2.00141475e-1;2.20951438e-1;2.36758292e-1;2.57824272e-1;2.73446172e-1;2.92483538e-1;3.13542932e-1;3.29352796e-1;3.42885941e-1
5;"-";"Test";"-";"33,33,33,33";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 21:26:06 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.81031745e+1;7.29237899e+0;-8.69725984e+0;6.81031745e+1;1.13499392e+1;3.09978775e+2;3.90111004e-1;3.81121279e-1;3.74558162e-1;174;162;182;#aea2b6;T;0.38;0.42;0.34;0.42;2.11745843e-1;2.80617356e-1;3.59139711e-1;4.00029540e-1;4.21653658e-1;4.45662141e-1;4.77271050e-1;5.04099309e-1;5.13889968e-1;5.14897406e-1;5.00963151e-1;4.49066252e-1;3.89633715e-1;3.49061698e-1;3.49582076e-1;3.51076573e-1;3.36631447e-1;3.17501456e-1;3.12913269e-1;3.36147875e-1;3.79940480e-1;4.26395059e-1;4.63721097e-1;4.93381292e-1;5.15241802e-1;5.42347848e-1;5.59176981e-1;5.79243958e-1;6.00798607e-1;6.18813217e-1;6.34721696e-1
6;"-";"Test";"-";"66,66,66,66";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 21:26:16 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.29739770e+1;1.38625240e+1;-8.60262209e+0;4.29739770e+1;1.63148607e+1;3.28177635e+2;1.48581784e-1;1.31403605e-1;1.38352538e-1;119;94;116;#775e74;T;0.76;0.92;0.76;0.87;1.08591482e-1;1.21052265e-1;1.29224941e-1;1.33060604e-1;1.40116915e-1;1.53771579e-1;1.75637409e-1;2.00315952e-1;2.15696633e-1;2.18367979e-1;2.00709894e-1;1.58935905e-1;1.22340560e-1;1.01831488e-1;1.07794546e-1;1.07344724e-1;9.42848474e-2;8.27612877e-2;8.96425247e-2;1.15355074e-1;1.49336725e-1;1.78444535e-1;2.01934353e-1;2.23885462e-1;2.40440160e-1;2.61766404e-1;2.77402580e-1;2.96657830e-1;3.18150014e-1;3.35227042e-1;3.50051224e-1
7;"-";"Test";"-";"33,66,66,66";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 21:26:32 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.07340536e+1;3.44048288e+1;-3.10553111e-1;5.07340536e+1;3.44062303e+1;3.59482837e+2;2.57657360e-1;1.90400704e-1;1.58396247e-1;174;96;123;#ae607b;T;0.46;0.87;0.71;0.67;1.09783053e-1;1.28070742e-1;1.47321910e-1;1.58383459e-1;1.69081211e-1;1.84408173e-1;2.06718445e-1;2.27623746e-1;2.31885374e-1;2.23142773e-1;2.01812595e-1;1.64264649e-1;1.31973907e-1;1.13979302e-1;1.22535788e-1;1.28502414e-1;1.21143885e-1;1.11989856e-1;1.22467719e-1;1.67982802e-1;2.56942958e-1;3.65442216e-1;4.46487457e-1;4.94492829e-1;5.25597572e-1;5.52537978e-1;5.67903161e-1;5.87145388e-1;6.07528508e-1;6.23609781e-1;6.35923624e-1
8;"-";"Test";"-";"66,33,33,00";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 21:26:46 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.72387368e+1;4.78771183e-1;-3.91476200e+1;5.72387368e+1;3.91505476e+1;2.70700686e+2;2.43780620e-1;2.51679920e-1;4.66926816e-1;100;139;206;#648bce;T;0.72;0.54;0.26;0.64;2.11387917e-1;3.07764113e-1;4.32611644e-1;5.13528168e-1;5.64310730e-1;6.03028655e-1;6.32032514e-1;6.33093178e-1;5.88079214e-1;5.25375068e-1;4.68962282e-1;3.94639403e-1;3.20923328e-1;2.70175934e-1;2.54516333e-1;2.34691724e-1;2.03429446e-1;1.76399410e-1;1.66011691e-1;1.68828696e-1;1.76689655e-1;1.86868727e-1;2.01519325e-1;2.19449818e-1;2.33771518e-1;2.53926486e-1;2.69822955e-1;2.89136112e-1;3.10174406e-1;3.25863630e-1;3.38584334e-1
9;"-";"Test";"-";"33,00,00,33";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 21:26:58 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.11444530e+1;-1.70114443e+1;2.87197528e-1;8.11444530e+1;1.70138684e+1;1.79032790e+2;5.00056551e-1;5.87327119e-1;4.82179288e-1;166;211;200;#a6d3c8;T;0.32;0.17;0.22;0.25;2.55530387e-1;3.46045405e-1;4.54851806e-1;5.09602308e-1;5.29617369e-1;5.50288379e-1;5.84347010e-1;6.22699738e-1;6.72017872e-1;7.33336627e-1;7.75331736e-1;7.77822435e-1;7.49386311e-1;7.08420813e-1;6.62822902e-1;6.07008994e-1;5.50431550e-1;5.07345438e-1;4.80453074e-1;4.66796666e-1;4.61288333e-1;4.67198402e-1;4.85319585e-1;5.07032275e-1;5.24767876e-1;5.49337447e-1;5.66017568e-1;5.85878193e-1;6.07008636e-1;6.24392629e-1;6.39559507e-1
10;"-";"Test";"-";"Outside";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 22:11:18 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.18518426e+1;2.39894301e+1;2.95868909e+1;7.18518426e+1;3.80903777e+1;5.09644181e+1;5.03599582e-1;4.34388837e-1;1.86763114e-1;229;159;123;#e59f7b;T;0.17;0.47;0.62;0.32;1.28769889e-1;1.44470051e-1;1.58732623e-1;1.66357368e-1;1.78603008e-1;1.93006665e-1;2.18061656e-1;2.51717806e-1;2.95010597e-1;3.47925484e-1;3.83103639e-1;3.67749214e-1;3.32103848e-1;3.08743238e-1;3.25755864e-1;3.50962490e-1;3.61731976e-1;3.69747579e-1;4.01409388e-1;4.83755767e-1;6.02909863e-1;7.11639702e-1;7.73433685e-1;8.00614417e-1;8.17635357e-1;8.32971215e-1;8.38978291e-1;8.46017659e-1;8.53667915e-1;8.60222757e-1;8.64186525e-1
