sep=;
Export Date/Time;Fri May 24 2024 17:03:38 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;5/24
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Backup";"-";"00000";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 16:55:49 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.72990457e+1;6.79769535e-1;-8.92948992e-1;9.72990457e+1;1.12224976e+0;3.07280697e+2;9.02180031e-1;9.31761556e-1;7.79491556e-1;248;247;249;#f8f7f9;T;0.03;0.03;0.03;0.03;3.91992778e-1;5.71144581e-1;8.13976347e-1;9.41884220e-1;9.77624953e-1;9.66015458e-1;9.56766844e-1;9.57724690e-1;9.58342671e-1;9.49461699e-1;9.40247416e-1;9.36849296e-1;9.39079463e-1;9.19863522e-1;9.21593547e-1;9.23394084e-1;9.24136877e-1;9.25729930e-1;9.30955827e-1;9.37363565e-1;9.37902033e-1;9.39190686e-1;9.41080809e-1;9.38210666e-1;9.38702047e-1;9.44670558e-1;9.45791900e-1;9.46321964e-1;9.47415471e-1;9.48412538e-1;9.46023047e-1
2;"-";"Backup";"-";"00001";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 16:56:31 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.55060592e+1;4.09172597e+0;-1.23596791e+1;7.55060592e+1;1.30193659e+1;2.88317352e+2;4.88200435e-1;4.90880284e-1;5.07934372e-1;185;184;209;#b9b8d1;T;0.38;0.37;0.23;0.31;2.89014518e-1;3.79543126e-1;5.20484507e-1;6.20168447e-1;6.69536769e-1;6.84637547e-1;6.73227012e-1;6.38250828e-1;5.64849734e-1;4.88792419e-1;4.43509042e-1;3.70830178e-1;3.12617868e-1;2.90142983e-1;4.16677117e-1;5.94123185e-1;6.96002603e-1;6.69252396e-1;5.90967655e-1;5.25531113e-1;4.65726316e-1;3.98584127e-1;3.39292377e-1;3.18624556e-1;3.13778371e-1;3.67163360e-1;5.19681990e-1;6.97219729e-1;8.59625220e-1;9.80622292e-1;9.90407526e-1
3;"-";"Backup";"-";"00010";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 16:56:45 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.63328442e+1;1.59719060e+1;1.01856381e+2;8.63328442e+1;1.03101038e+2;8.10881286e+1;7.36530545e-1;6.86548413e-1;4.27891741e-2;255;203;0;#ffcb00;T;0.04;0.30;1.31;0.12;2.89206877e-2;3.24303061e-2;3.48070152e-2;3.83158177e-2;3.96767594e-2;3.90722565e-2;4.06454578e-2;4.52241264e-2;4.95208018e-2;5.33826239e-2;6.77116364e-2;1.44105494e-1;3.03443342e-1;4.66475934e-1;6.54153228e-1;7.76413441e-1;8.48823786e-1;8.80029142e-1;8.94756854e-1;9.09292459e-1;9.15538549e-1;9.20442462e-1;9.25474465e-1;9.25207973e-1;9.27425444e-1;9.35042500e-1;9.37774658e-1;9.39524114e-1;9.41057801e-1;9.42586541e-1;9.42933142e-1
4;"-";"Backup";"-";"00011";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 16:56:56 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.08071867e+1;1.37035039e+0;7.31970669e+1;7.08071867e+1;7.32098932e+1;8.89274690e+1;4.08537715e-1;4.19076277e-1;4.61271075e-2;200;171;0;#c8ab00;T;0.35;0.48;1.25;0.35;3.66660021e-2;3.95724438e-2;4.17411774e-2;4.45291176e-2;4.50787321e-2;4.52598520e-2;4.75644432e-2;5.20916656e-2;5.68447523e-2;6.42257780e-2;8.87641087e-2;1.52330995e-1;2.20383197e-1;2.74612337e-1;3.60684842e-1;4.95933801e-1;6.10889137e-1;6.40650570e-1;5.96168458e-1;5.46328902e-1;4.96622473e-1;4.35081661e-1;3.69979471e-1;3.35377246e-1;3.19055915e-1;3.58021379e-1;5.10885537e-1;6.96822524e-1;8.74617279e-1;1.01013064e+0;1.02146292e+0
5;"-";"Backup";"-";"00100";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 16:57:10 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.70366987e+1;-3.65966235e+1;-2.78457540e+1;6.70366987e+1;4.59858550e+1;2.17266895e+2;2.55905802e-1;3.66805852e-1;5.15890914e-1;0;182;212;#00b6d4;T;0.84;0.29;0.20;0.50;2.05466792e-1;2.30563790e-1;3.25830519e-1;4.23702538e-1;5.51315606e-1;6.37015998e-1;7.04144061e-1;7.40080357e-1;7.51582801e-1;7.48042643e-1;7.22908795e-1;6.69886231e-1;5.97654283e-1;5.28810441e-1;4.59950864e-1;3.92420202e-1;3.28851849e-1;2.74496526e-1;2.28709340e-1;1.91016033e-1;1.62936553e-1;1.41181380e-1;1.22709483e-1;1.09527908e-1;1.01214930e-1;1.00248240e-1;1.22726426e-1;1.65876880e-1;2.34280244e-1;2.93475598e-1;3.67427766e-1
6;"-";"Backup";"-";"00101";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 16:57:24 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.00037660e+1;-1.36034131e+1;-2.58133382e+1;6.00037660e+1;2.91784386e+1;2.42211145e+2;2.38809186e-1;2.81275153e-1;3.98074080e-1;88;153;190;#5899be;T;0.81;0.50;0.33;0.59;2.05690399e-1;2.30446488e-1;3.06807876e-1;3.85066509e-1;4.71129030e-1;5.26200056e-1;5.57621241e-1;5.54971874e-1;5.07900000e-1;4.52856392e-1;4.12928551e-1;3.44755203e-1;2.84650028e-1;2.56359279e-1;3.13474804e-1;3.60661238e-1;3.54847193e-1;3.04052532e-1;2.49922439e-1;2.07280487e-1;1.74912572e-1;1.48219958e-1;1.25705287e-1;1.11845158e-1;1.03852756e-1;1.07494615e-1;1.42270193e-1;2.01155469e-1;2.86303282e-1;3.63465428e-1;4.43832189e-1
7;"-";"Backup";"-";"00110";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 16:57:39 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.15754277e+1;-3.25568585e+1;5.71873296e+1;6.15754277e+1;6.58053166e+1;1.19652944e+2;2.12085073e-1;2.99087710e-1;4.62954449e-2;111;163;28;#6fa31c;T;0.74;0.45;1.26;0.54;3.46243568e-2;3.90869081e-2;4.01072986e-2;4.21868898e-2;4.26347591e-2;4.32100110e-2;4.56432551e-2;5.00320755e-2;5.51319048e-2;6.29669055e-2;8.84669200e-2;1.83481485e-1;3.17653358e-1;4.31900799e-1;4.74121213e-1;4.42095906e-1;3.92904788e-1;3.40252161e-1;2.89334029e-1;2.44085073e-1;2.07624495e-1;1.77565828e-1;1.49779603e-1;1.28539950e-1;1.14742845e-1;1.11336812e-1;1.44478783e-1;2.05892518e-1;2.98431337e-1;3.84793907e-1;4.72554326e-1
8;"-";"Backup";"-";"00111";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 16:57:53 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.82476962e+1;-2.49144667e+1;4.85844913e+1;5.82476962e+1;5.46002147e+1;1.17149068e+2;1.98269695e-1;2.62225535e-1;5.16901913e-2;115;151;46;#73972e;T;0.76;0.54;1.19;0.59;4.41773757e-2;4.56716083e-2;4.58185263e-2;4.76890914e-2;4.87504639e-2;5.02398200e-2;5.36093973e-2;5.88431507e-2;6.54865503e-2;7.75731504e-2;1.14110574e-1;1.89231247e-1;2.51409501e-1;2.96380669e-1;3.41713667e-1;3.77515435e-1;3.78166944e-1;3.37889850e-1;2.83408850e-1;2.35992521e-1;1.98556826e-1;1.67066455e-1;1.38532415e-1;1.18867323e-1;1.06726967e-1;1.07287362e-1;1.46166250e-1;2.13899612e-1;3.11740190e-1;4.02662098e-1;4.87457752e-1
9;"-";"Backup";"-";"01000";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 16:58:09 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.23839118e+1;6.73173997e+1;-3.65252593e+1;5.23839118e+1;7.65880335e+1;3.31516506e+2;3.66154220e-1;2.04874474e-1;3.79889528e-1;208;61;190;#d03dbe;T;0.35;0.98;0.37;0.61;2.53020942e-1;3.38366002e-1;4.25610840e-1;4.79216933e-1;5.29589534e-1;5.61723411e-1;5.38293958e-1;4.57575351e-1;3.50197971e-1;2.61647910e-1;2.06775740e-1;1.55762702e-1;1.14615962e-1;8.93830433e-2;8.48779604e-2;7.78156966e-2;6.63556606e-2;6.09365702e-2;7.21131414e-2;1.17396280e-1;2.38972113e-1;4.55903918e-1;6.87194586e-1;8.40943933e-1;9.39596176e-1;9.79172766e-1;9.67763424e-1;9.68056977e-1;9.68144238e-1;9.69394922e-1;9.68385816e-1
10;"-";"Backup";"-";"01001";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 16:58:21 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.50047185e+1;4.86504363e+1;-4.18695048e+1;4.50047185e+1;6.41866060e+1;3.19284078e+2;2.33381289e-1;1.45450867e-1;3.27997143e-1;157;70;178;#9d46b2;T;0.56;1.02;0.43;0.79;2.31954619e-1;2.88374990e-1;3.49600762e-1;3.94400626e-1;4.43825960e-1;4.80217934e-1;4.70391870e-1;4.08796847e-1;3.18839401e-1;2.40720257e-1;1.88063085e-1;1.39617294e-1;1.02814667e-1;8.10236856e-2;7.86001161e-2;7.20283687e-2;6.01196550e-2;5.39176948e-2;6.42268062e-2;1.06305361e-1;2.02018678e-1;3.11357498e-1;3.55498910e-1;3.62674803e-1;3.66183370e-1;4.03943837e-1;5.44119060e-1;7.11210012e-1;8.65869701e-1;9.81563389e-1;9.90325391e-1
