sep=;
Export Date/Time;Fri May 24 2024 18:46:02 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;5/25lamy
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Base";"-";"00000";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 18:37:31 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.76446399e+1;6.86593995e-1;-8.05735551e-1;9.76446399e+1;1.05859392e+0;3.10435418e+2;9.10487407e-1;9.40314000e-1;7.85568541e-1;249;248;250;#f9f8fa;T;0.02;0.03;0.03;0.03;3.94511282e-1;5.78668475e-1;8.18429947e-1;9.45283294e-1;9.87217665e-1;9.76293743e-1;9.63613570e-1;9.62474287e-1;9.65886295e-1;9.58203614e-1;9.48121548e-1;9.44606245e-1;9.47409630e-1;9.28274214e-1;9.30131376e-1;9.31740940e-1;9.33190823e-1;9.34619308e-1;9.39209282e-1;9.45725918e-1;9.46908832e-1;9.48351681e-1;9.50472772e-1;9.47478473e-1;9.47856903e-1;9.53230977e-1;9.54120755e-1;9.54351127e-1;9.55368936e-1;9.57252562e-1;9.55837667e-1
2;"-";"Base";"-";"00001";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 18:37:42 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.78664691e+1;3.61485395e+0;-1.13745654e+1;7.78664691e+1;1.19351543e+1;2.87630335e+2;5.24713790e-1;5.29855537e-1;5.36065975e-1;192;191;214;#c0bfd6;T;0.34;0.33;0.20;0.27;2.99849808e-1;4.04110968e-1;5.50748289e-1;6.50436103e-1;7.03439295e-1;7.17955172e-1;7.05447614e-1;6.72358990e-1;6.03702366e-1;5.30830324e-1;4.86449867e-1;4.11067069e-1;3.49656254e-1;3.25172633e-1;4.57820445e-1;6.36607111e-1;7.35476613e-1;7.06033587e-1;6.29947782e-1;5.66219151e-1;5.06014824e-1;4.36872303e-1;3.75208318e-1;3.54296267e-1;3.49929720e-1;4.08009261e-1;5.64966500e-1;7.40191460e-1;8.91524851e-1;9.97921050e-1;9.98909652e-1
3;"-";"Base";"-";"00010";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 18:37:53 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.64814886e+1;1.61478058e+1;1.01879175e+2;8.64814886e+1;1.03150947e+2;8.09935649e+1;7.40485363e-1;6.89544514e-1;4.31923191e-2;255;203;0;#ffcb00;T;0.03;0.30;1.31;0.12;2.91469693e-2;3.36891487e-2;3.52220722e-2;3.89539786e-2;4.02551144e-2;3.93441990e-2;4.10411134e-2;4.59682532e-2;5.03997914e-2;5.42617030e-2;6.77930862e-2;1.42637938e-1;3.01124066e-1;4.64645803e-1;6.56795979e-1;7.81059325e-1;8.54566038e-1;8.84849191e-1;8.98627162e-1;9.13182080e-1;9.20468330e-1;9.26222086e-1;9.31260586e-1;9.30675685e-1;9.32631731e-1;9.39613342e-1;9.42130625e-1;9.44046855e-1;9.45959091e-1;9.47643638e-1;9.46332633e-1
4;"-";"Base";"-";"00011";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 18:38:04 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.21714312e+1;1.49431182e+0;7.72868570e+1;7.21714312e+1;7.73013017e+1;8.88923460e+1;4.28448462e-1;4.39146781e-1;4.30535695e-2;205;174;0;#cdae00;T;0.33;0.46;1.29;0.33;3.70655432e-2;3.75263654e-2;3.84739973e-2;4.06219102e-2;4.10732590e-2;4.10933569e-2;4.30536456e-2;4.75985296e-2;5.29738255e-2;5.99806532e-2;8.32849145e-2;1.50893807e-1;2.29778007e-1;2.94630140e-1;3.88464808e-1;5.21725297e-1;6.32527292e-1;6.61271930e-1;6.20805860e-1;5.75272024e-1;5.28041363e-1;4.66661870e-1;3.98802340e-1;3.59653592e-1;3.39683741e-1;3.73647690e-1;5.16144216e-1;6.86203718e-1;8.43468964e-1;9.59476531e-1;9.63732362e-1
5;"-";"Base";"-";"00100";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 18:40:15 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.69484304e+1;-3.66539705e+1;-2.81565417e+1;6.69484304e+1;4.62201730e+1;2.17530449e+2;2.54861175e-1;3.65637347e-1;5.17327594e-1;0;182;212;#00b6d4;T;0.84;0.29;0.20;0.50;2.14268968e-1;2.40501583e-1;3.28924954e-1;4.23020273e-1;5.56235075e-1;6.41863286e-1;7.04639196e-1;7.37942219e-1;7.51345038e-1;7.49868989e-1;7.24867642e-1;6.69893503e-1;5.96641421e-1;5.27299404e-1;4.58497137e-1;3.91311944e-1;3.27773273e-1;2.73047388e-1;2.27142692e-1;1.89242601e-1;1.61105961e-1;1.39410853e-1;1.20965570e-1;1.07749671e-1;9.93828550e-2;9.80828628e-2;1.20232217e-1;1.64131761e-1;2.35015929e-1;2.98837245e-1;3.79269302e-1
6;"-";"Base";"-";"00101";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 18:40:25 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.08989316e+1;-1.52633575e+1;-2.54988887e+1;6.08989316e+1;2.97180653e+1;2.39095719e+2;2.43860603e-1;2.91331169e-1;4.07504203e-1;86;156;191;#569cbf;T;0.80;0.48;0.31;0.57;2.10685715e-1;2.39804000e-1;3.12624276e-1;3.88281286e-1;4.78816569e-1;5.35390258e-1;5.68017423e-1;5.68480670e-1;5.26980042e-1;4.76223230e-1;4.36718524e-1;3.66211772e-1;3.04729700e-1;2.75658011e-1;3.30675364e-1;3.71597320e-1;3.60430181e-1;3.07404906e-1;2.53239810e-1;2.10407689e-1;1.78238183e-1;1.52013153e-1;1.29614443e-1;1.15297958e-1;1.06809378e-1;1.08849369e-1;1.40518665e-1;1.96661443e-1;2.79843569e-1;3.55515897e-1;4.36298013e-1
7;"-";"Base";"-";"00110";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 18:40:39 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.24035402e+1;-3.27305756e+1;5.75321455e+1;6.24035402e+1;6.61909234e+1;1.19635953e+2;2.19324329e-1;3.08768545e-1;4.82878648e-2;113;165;30;#71a51e;T;0.72;0.44;1.24;0.52;4.08470742e-2;4.04946432e-2;4.06789966e-2;4.24209498e-2;4.38761115e-2;4.51277308e-2;4.78556603e-2;5.24710119e-2;5.81127293e-2;6.67071715e-2;9.45860147e-2;1.94951624e-1;3.31484050e-1;4.45984781e-1;4.85697627e-1;4.52300429e-1;4.03019696e-1;3.50118279e-1;2.98964411e-1;2.53233492e-1;2.16227844e-1;1.85206309e-1;1.56521142e-1;1.34494916e-1;1.20132461e-1;1.16020672e-1;1.48698047e-1;2.10940063e-1;3.05873066e-1;3.95835280e-1;4.81855482e-1
8;"-";"Base";"-";"00111";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 18:40:49 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.90597713e+1;-2.54041256e+1;5.02625371e+1;5.90597713e+1;5.63177790e+1;1.16813341e+2;2.04399776e-1;2.70924164e-1;5.11495051e-2;117;153;43;#75992b;T;0.74;0.52;1.20;0.57;4.57883812e-2;4.77559641e-2;4.71010022e-2;4.79625426e-2;4.80088480e-2;4.88173217e-2;5.16446084e-2;5.68405390e-2;6.39170259e-2;7.71284848e-2;1.15194738e-1;1.94587439e-1;2.62830019e-1;3.12801272e-1;3.57675523e-1;3.88453245e-1;3.85637939e-1;3.44730109e-1;2.91224331e-1;2.44040087e-1;2.06627488e-1;1.74893424e-1;1.45555168e-1;1.24595247e-1;1.11409314e-1;1.10633604e-1;1.47822320e-1;2.13649616e-1;3.08916688e-1;3.96909058e-1;4.78374958e-1
9;"-";"Base";"-";"01000";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 18:41:04 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.94634705e+1;6.04515681e+1;-3.87121586e+1;5.94634705e+1;7.17845618e+1;3.27365191e+2;4.42690278e-1;2.75319108e-1;4.96316207e-1;218;94;213;#da5ed5;T;0.26;0.76;0.25;0.51;2.91965574e-1;4.00837094e-1;5.26832342e-1;6.03789687e-1;6.76659048e-1;7.14452565e-1;6.94153666e-1;6.15386963e-1;4.98776913e-1;3.91805470e-1;3.19497228e-1;2.47706890e-1;1.89188451e-1;1.52774453e-1;1.44634172e-1;1.32368252e-1;1.14104614e-1;1.05052508e-1;1.19221248e-1;1.81277767e-1;3.42124730e-1;5.91126621e-1;7.97635674e-1;9.00407255e-1;9.60160315e-1;9.76079881e-1;9.69951272e-1;9.69256938e-1;9.68820632e-1;9.69719827e-1;9.67416465e-1
10;"-";"Base";"-";"01001";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri May 24 2024 18:41:16 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.14137035e+1;4.23374256e+1;-4.11583495e+1;5.14137035e+1;5.90463152e+1;3.15809042e+2;2.84617276e-1;1.96277534e-1;4.02157868e-1;165;94;194;#a55ec2;T;0.48;0.84;0.34;0.68;2.64842600e-1;3.40746790e-1;4.24247056e-1;4.82796878e-1;5.38890004e-1;5.74978054e-1;5.64536393e-1;5.04196763e-1;4.11503732e-1;3.26450914e-1;2.65100271e-1;2.02585489e-1;1.54697731e-1;1.27127543e-1;1.26450300e-1;1.16246417e-1;9.62314159e-2;8.65052268e-2;1.08070195e-1;1.77440792e-1;2.92544246e-1;3.78812790e-1;3.85777324e-1;3.77439231e-1;3.73759657e-1;4.19701338e-1;5.66724598e-1;7.36423552e-1;8.89986336e-1;1.00392139e+0;1.01146638e+0
