sep=;
Export Date/Time;Sun May 26 2024 22:31:06 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;5/26badishi
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Base";"-";"1out";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun May 26 2024 22:28:40 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.58274075e+1;5.84908758e+1;-1.83095996e+1;5.58274075e+1;6.12896728e+1;3.42618135e+2;3.84710859e-1;2.37408688e-1;2.96288433e-1;215;84;168;#d754a8;T;0.29;0.85;0.46;0.55;2.19936162e-1;2.88389146e-1;3.46953452e-1;3.79553854e-1;3.96065503e-1;4.05721933e-1;3.92069429e-1;3.57895017e-1;3.11977416e-1;2.69836217e-1;2.36425266e-1;1.93007290e-1;1.51829407e-1;1.25240892e-1;1.19957075e-1;1.12651981e-1;9.85479727e-2;8.85539576e-2;9.70686004e-2;1.46187022e-1;2.90678471e-1;5.42030454e-1;7.67942786e-1;8.83669019e-1;9.51344430e-1;9.68819559e-1;9.63426292e-1;9.64159846e-1;9.64506090e-1;9.64729488e-1;9.62849736e-1
2;"-";"Base";"-";"1in";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun May 26 2024 22:28:49 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.44040058e+1;5.25652084e+1;9.17014393e+0;6.44040058e+1;5.33590918e+1;9.89581798e+0;4.90481854e-1;3.33011392e-1;2.23797722e-1;242;113;143;#f2718f;T;0.17;0.90;0.60;0.40;2.31103301e-1;3.02604258e-1;3.60866815e-1;3.91319692e-1;3.55549395e-1;3.20760041e-1;2.66630679e-1;2.11656228e-1;1.63490251e-1;1.25347629e-1;1.04460329e-1;8.82494748e-2;7.51466751e-2;6.76537603e-2;7.85022974e-2;1.33836791e-1;2.44329989e-1;4.19559777e-1;5.49397349e-1;6.27815843e-1;6.68483973e-1;6.87605917e-1;6.75497651e-1;6.53129280e-1;6.38903737e-1;6.48833334e-1;7.17579424e-1;8.00612450e-1;8.78667772e-1;9.36804652e-1;9.43979442e-1
3;"-";"Base";"-";"2out";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun May 26 2024 22:28:58 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.62979110e+1;5.80409902e+1;-2.49871869e+1;5.62979110e+1;6.31911074e+1;3.36707672e+2;3.89680301e-1;2.42104733e-1;3.45626295e-1;212;86;180;#d456b4;T;0.29;0.83;0.40;0.55;2.43860990e-1;3.22028369e-1;3.99745792e-1;4.45759386e-1;4.69841868e-1;4.81678098e-1;4.63049024e-1;4.16240543e-1;3.53445590e-1;2.96131968e-1;2.52445728e-1;2.02272534e-1;1.57852590e-1;1.29534274e-1;1.24310188e-1;1.17363073e-1;1.03404060e-1;9.39343125e-2;1.04074031e-1;1.57093287e-1;3.04458618e-1;5.44730127e-1;7.47836113e-1;8.46422076e-1;9.03045833e-1;9.18407202e-1;9.23616946e-1;9.37419295e-1;9.51893568e-1;9.63748693e-1;9.63516891e-1
4;"-";"Base";"-";"2in";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun May 26 2024 22:29:08 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.32826766e+1;4.83811676e+1;4.20717256e+0;6.32826766e+1;4.85637486e+1;4.96987532e+0;4.57983913e-1;3.19272081e-1;2.39880669e-1;231;115;148;#e77394;T;0.22;0.91;0.57;0.42;2.43042424e-1;3.22104245e-1;3.92078459e-1;4.31612760e-1;3.91130060e-1;3.49285007e-1;2.84287363e-1;2.18728915e-1;1.63739324e-1;1.21875703e-1;9.96670872e-2;8.27675089e-2;6.92086145e-2;6.13668412e-2;7.35333338e-2;1.34446234e-1;2.55177379e-1;4.42521244e-1;5.72632730e-1;6.35973930e-1;6.41285479e-1;6.08002186e-1;5.50991118e-1;5.09455621e-1;4.85990614e-1;5.11567712e-1;6.28359139e-1;7.57991731e-1;8.69964719e-1;9.48217988e-1;9.51353014e-1
5;"-";"Base";"-";"3out";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun May 26 2024 22:29:17 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.66897693e+1;5.85131807e+1;-2.11132326e+1;5.66897693e+1;6.22057948e+1;3.40159103e+2;3.96555008e-1;2.46062767e-1;3.23934648e-1;216;87;175;#d857af;T;0.28;0.83;0.42;0.54;2.32633635e-1;3.04679006e-1;3.74782622e-1;4.15333629e-1;4.35834974e-1;4.46582019e-1;4.31377441e-1;3.92211199e-1;3.37604493e-1;2.87644237e-1;2.49773309e-1;2.02846169e-1;1.58809006e-1;1.30286828e-1;1.24951564e-1;1.18234441e-1;1.04658514e-1;9.51967239e-2;1.04057975e-1;1.55456454e-1;3.05997223e-1;5.59569716e-1;7.78892100e-1;8.88277173e-1;9.51656401e-1;9.67880905e-1;9.62161362e-1;9.62880552e-1;9.63761687e-1;9.63789761e-1;9.61040258e-1
6;"-";"Base";"-";"3in";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun May 26 2024 22:29:26 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.35294810e+1;5.21744328e+1;1.14433752e+1;6.35294810e+1;5.34146261e+1;1.23707522e+1;4.75303905e-1;3.22263023e-1;2.04755650e-1;240;111;136;#f06f88;T;0.19;0.97;0.64;0.41;2.32249066e-1;2.95222998e-1;3.46966863e-1;3.75305682e-1;3.35131556e-1;2.97343969e-1;2.39875257e-1;1.82988942e-1;1.35975331e-1;1.00138493e-1;8.14632699e-2;6.79058209e-2;5.70773333e-2;5.07956967e-2;5.92124201e-2;1.10193267e-1;2.22597167e-1;4.26851600e-1;5.96880317e-1;6.85972631e-1;6.91245914e-1;6.57560647e-1;6.08542144e-1;5.69338143e-1;5.45969844e-1;5.56622803e-1;6.43417656e-1;7.48719215e-1;8.49124312e-1;9.26196814e-1;9.36087370e-1
7;"-";"Base";"-";"4out";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun May 26 2024 22:29:36 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.05745833e+1;4.77734895e+1;-1.40306391e+1;6.05745833e+1;4.97912154e+1;3.43632966e+2;4.16080468e-1;2.87660320e-1;3.21388819e-1;215;110;173;#d76ead;T;0.26;0.70;0.42;0.49;2.17151955e-1;2.85568476e-1;3.59198928e-1;4.00997192e-1;4.17596877e-1;4.26100403e-1;4.19157118e-1;3.96386862e-1;3.59194160e-1;3.24558407e-1;2.98999071e-1;2.58952498e-1;2.14772269e-1;1.84955284e-1;1.79181084e-1;1.71629027e-1;1.54905736e-1;1.42515764e-1;1.52693301e-1;2.11961314e-1;3.66839886e-1;5.94919920e-1;7.64704764e-1;8.39700818e-1;8.82063508e-1;9.04163420e-1;9.30155516e-1;9.55264688e-1;9.69726443e-1;9.75476265e-1;9.70006466e-1
8;"-";"Base";"-";"4in";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun May 26 2024 22:29:45 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.38452140e+1;4.10722777e+1;1.35331493e+1;6.38452140e+1;4.32443999e+1;1.82368424e+1;4.40996861e-1;3.26116445e-1;1.97294688e-1;226;124;133;#e27c85;T;0.25;0.86;0.65;0.42;2.05018967e-1;2.51939058e-1;2.91534096e-1;3.15449238e-1;2.96357810e-1;2.77518481e-1;2.43084460e-1;2.04510868e-1;1.64570630e-1;1.29864603e-1;1.09883480e-1;9.19832364e-2;7.60999322e-2;6.63892999e-2;8.02327469e-2;1.52824298e-1;2.94040889e-1;4.97841388e-1;6.15556479e-1;6.46901071e-1;6.17241919e-1;5.58147728e-1;4.89444762e-1;4.47509497e-1;4.25436318e-1;4.57240403e-1;5.86478293e-1;7.32534826e-1;8.61745119e-1;9.55201030e-1;9.60232079e-1
9;"-";"Base";"-";"5out";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun May 26 2024 22:29:55 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.54288518e+1;5.02562446e+1;-1.02365737e+1;6.54288518e+1;5.12881815e+1;3.48487055e+2;4.98296083e-1;3.45908286e-1;3.52548470e-1;235;120;179;#eb78b3;T;0.19;0.69;0.39;0.40;2.63567984e-1;3.57483834e-1;4.56413209e-1;5.09993255e-1;5.06369650e-1;4.89751369e-1;4.47936326e-1;3.92672271e-1;3.32079083e-1;2.79524684e-1;2.45336786e-1;2.13297248e-1;1.85416877e-1;1.68664455e-1;1.77753121e-1;2.09124640e-1;2.49098435e-1;2.89809763e-1;3.19327414e-1;3.80747080e-1;5.10543823e-1;6.87889278e-1;8.15230966e-1;8.67174268e-1;8.95725787e-1;9.05192196e-1;9.13896143e-1;9.27876294e-1;9.42316532e-1;9.54320133e-1;9.55714822e-1
10;"-";"Base";"-";"5in";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun May 26 2024 22:30:03 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.66979265e+1;5.49246544e+1;1.10746264e+1;6.66979265e+1;5.60300367e+1;1.13998731e+1;5.37031244e-1;3.62334672e-1;2.34601654e-1;253;117;146;#fd7592;T;0.13;0.88;0.58;0.36;2.30865568e-1;3.11250269e-1;3.83111149e-1;4.20903951e-1;3.78761888e-1;3.37545842e-1;2.76920080e-1;2.16699421e-1;1.65362492e-1;1.25573978e-1;1.04169086e-1;8.83339867e-2;7.57180229e-2;6.85675219e-2;7.96912685e-2;1.37586191e-1;2.56564140e-1;4.55882311e-1;6.13870800e-1;7.07448661e-1;7.43658841e-1;7.52099037e-1;7.35651791e-1;7.14608431e-1;7.02587605e-1;7.18302608e-1;7.84108579e-1;8.54478717e-1;9.13243949e-1;9.53906775e-1;9.53370988e-1
