sep=;
Export Date/Time;Tue May 28 2024 21:16:13 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;5/28cellNB
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Base";"-";"00000";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:15:49 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.77708372e+1;6.64945827e-1;-6.82736975e-1;9.77708372e+1;9.53038682e-1;3.14243666e+2;9.13398882e-1;9.43450011e-1;7.86702047e-1;249;248;250;#f9f8fa;T;0.02;0.03;0.03;0.03;4.12540257e-1;5.94291151e-1;8.21361125e-1;9.42106664e-1;9.87956345e-1;9.79427636e-1;9.65367258e-1;9.62088943e-1;9.66565430e-1;9.60208952e-1;9.50355530e-1;9.47179079e-1;9.50702250e-1;9.31920230e-1;9.34135020e-1;9.35174823e-1;9.35942173e-1;9.37191844e-1;9.42193747e-1;9.48959887e-1;9.50508595e-1;9.52236354e-1;9.54019248e-1;9.50630546e-1;9.50771391e-1;9.56632495e-1;9.57066357e-1;9.57816601e-1;9.59169030e-1;9.59681153e-1;9.58996177e-1
2;"-";"Base";"-";"00001";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:16:38 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.21290637e+1;2.01019452e+0;-5.73799155e+0;9.21290637e+1;6.07992015e+0;2.89306924e+2;7.91109867e-1;8.09940954e-1;7.32004443e-1;232;231;243;#e8e7f3;T;0.11;0.11;0.06;0.09;3.77908915e-1;5.46177924e-1;7.63207495e-1;8.87806773e-1;9.35034215e-1;9.30290163e-1;9.14722741e-1;9.02049839e-1;8.79648685e-1;8.46022964e-1;8.21965098e-1;7.72334337e-1;7.25943923e-1;6.94445372e-1;7.67350256e-1;8.50290537e-1;8.89865994e-1;8.81444395e-1;8.61479342e-1;8.42823088e-1;8.15075338e-1;7.73627341e-1;7.31191397e-1;7.16849089e-1;7.15883434e-1;7.70554125e-1;8.64148855e-1;9.39356565e-1;9.81201470e-1;9.99883473e-1;9.89500105e-1
3;"-";"Base";"-";"00002";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:16:49 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.94393600e+1;3.89577332e+0;-1.15408053e+1;7.94393600e+1;1.21806091e+1;2.88652888e+2;5.52414527e-1;5.56940227e-1;5.63234342e-1;196;195;218;#c4c3da;T;0.31;0.30;0.18;0.25;3.21324617e-1;4.36057627e-1;5.85724592e-1;6.87128127e-1;7.37441778e-1;7.49829531e-1;7.36368537e-1;7.03310549e-1;6.36751175e-1;5.65758109e-1;5.22991061e-1;4.48383063e-1;3.84525120e-1;3.56251538e-1;4.81714219e-1;6.52703941e-1;7.49983728e-1;7.26780415e-1;6.57030523e-1;5.96906900e-1;5.37561655e-1;4.68136191e-1;4.06320691e-1;3.86050791e-1;3.82478029e-1;4.43567991e-1;6.01835430e-1;7.74659395e-1;9.20666575e-1;1.02071428e+0;1.01860607e+0
4;"-";"Base";"-";"00010";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:17:02 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.57554287e+1;8.81532954e-2;2.08646558e+1;9.57554287e+1;2.08648420e+1;8.97579264e+1;8.62673514e-1;8.94194346e-1;5.23207287e-1;255;242;202;#fff2ca;T;0.02;0.06;0.20;0.04;3.09304506e-1;4.20618117e-1;5.46387732e-1;6.10186875e-1;6.27090871e-1;6.28649235e-1;6.31361842e-1;6.39284790e-1;6.51707053e-1;6.70219958e-1;7.04977870e-1;7.71479249e-1;8.40853214e-1;8.78508508e-1;9.08225894e-1;9.20794785e-1;9.28207874e-1;9.31291163e-1;9.36576128e-1;9.44106877e-1;9.46049392e-1;9.47710574e-1;9.49587047e-1;9.46378052e-1;9.46636379e-1;9.52631354e-1;9.53144610e-1;9.53779221e-1;9.54858840e-1;9.55387533e-1;9.56715107e-1
5;"-";"Base";"-";"00011";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:17:12 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.03816059e+1;-1.18345946e+0;2.00766662e+1;9.03816059e+1;2.01115166e+1;9.33735112e+1;7.37963372e-1;7.71304133e-1;4.49522379e-1;237;227;189;#ede3bd;T;0.11;0.14;0.26;0.10;2.61669904e-1;3.55805576e-1;4.61214066e-1;5.19056857e-1;5.34658074e-1;5.39157927e-1;5.45294166e-1;5.55215299e-1;5.64676940e-1;5.83533943e-1;6.25572979e-1;6.58489108e-1;6.66764677e-1;6.68776274e-1;7.44174123e-1;8.32733750e-1;8.81083608e-1;8.77934933e-1;8.58494520e-1;8.40952039e-1;8.14783156e-1;7.73792565e-1;7.28524268e-1;7.09700286e-1;7.05341041e-1;7.57689953e-1;8.56807590e-1;9.39166784e-1;9.85980213e-1;1.00424147e+0;9.92002845e-1
6;"-";"Base";"-";"00012";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:17:21 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.82568623e+1;-3.78952760e+0;2.25826596e+1;7.82568623e+1;2.28984068e+1;9.95258790e+1;5.02957828e-1;5.36494122e-1;2.82617654e-1;199;195;151;#c7c397;T;0.31;0.32;0.46;0.26;2.25941241e-1;2.64889121e-1;2.96907097e-1;3.15116167e-1;3.19334120e-1;3.28363985e-1;3.41722190e-1;3.58227283e-1;3.69863331e-1;3.92020673e-1;4.28519428e-1;4.14656758e-1;3.76911461e-1;3.59511524e-1;4.76390541e-1;6.41971588e-1;7.40081608e-1;7.21984267e-1;6.55886412e-1;5.98204494e-1;5.40426552e-1;4.71987903e-1;4.09893125e-1;3.88543129e-1;3.84100020e-1;4.44522202e-1;6.04859710e-1;7.79981911e-1;9.27865446e-1;1.02955663e+0;1.02538323e+0
7;"-";"Base";"-";"00020";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:17:32 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.07228195e+1;6.57340629e+0;7.61798986e+1;9.07228195e+1;7.64629755e+1;8.50682811e+1;7.83537890e-1;7.78749720e-1;1.29310099e-1;255;222;69;#ffde45;T;0.03;0.18;0.81;0.08;9.65530798e-2;1.16732858e-1;1.27682164e-1;1.33164153e-1;1.33821100e-1;1.34940729e-1;1.39822155e-1;1.49817288e-1;1.61537454e-1;1.78521782e-1;2.18461871e-1;3.39355648e-1;5.18603921e-1;6.76769257e-1;8.09071124e-1;8.72093558e-1;9.05982792e-1;9.19386983e-1;9.28112149e-1;9.37576890e-1;9.40774202e-1;9.43880260e-1;9.46825206e-1;9.44588542e-1;9.45507407e-1;9.51791942e-1;9.53086019e-1;9.54137564e-1;9.55356419e-1;9.56164002e-1;9.56681550e-1
8;"-";"Base";"-";"00021";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:17:42 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.60047426e+1;3.68541719e+0;7.35362096e+1;8.60047426e+1;7.36285028e+1;8.71309056e+1;6.72262180e-1;6.79965886e-1;1.10543906e-1;250;211;62;#fad33e;T;0.11;0.25;0.87;0.14;8.66338015e-2;9.77576226e-2;1.05570838e-1;1.10743023e-1;1.12142511e-1;1.13307513e-1;1.18085481e-1;1.28319710e-1;1.40729398e-1;1.59865469e-1;2.05965295e-1;3.11555356e-1;4.38038111e-1;5.45251310e-1;6.70132756e-1;7.79266119e-1;8.48897576e-1;8.63073647e-1;8.51255178e-1;8.38059485e-1;8.15083027e-1;7.77916968e-1;7.34813929e-1;7.14357793e-1;7.08168983e-1;7.55970776e-1;8.55706990e-1;9.40181971e-1;9.89251494e-1;1.00936282e+0;9.96370792e-1
9;"-";"Base";"-";"00022";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:17:52 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.68582980e+1;-3.57374216e+0;6.44002830e+1;7.68582980e+1;6.44993650e+1;9.31762368e+1;4.81480789e-1;5.12965538e-1;9.04093716e-2;209;190;59;#d1be3b;T;0.29;0.35;0.94;0.27;7.80996084e-2;8.14114287e-2;8.28159079e-2;8.47631767e-2;8.56445879e-2;8.78221989e-2;9.42783058e-2;1.06041454e-1;1.21221073e-1;1.48226142e-1;2.11082324e-1;2.94435680e-1;3.42590213e-1;3.75204265e-1;4.72088456e-1;6.15964890e-1;7.15443432e-1;7.18179941e-1;6.66206956e-1;6.16179585e-1;5.64665198e-1;5.01249313e-1;4.39584672e-1;4.14451212e-1;4.06497777e-1;4.60104257e-1;6.14410579e-1;7.86542714e-1;9.34634030e-1;1.03699243e+0;1.03446376e+0
10;"-";"Base";"-";"00100";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:18:02 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.99887953e+1;-1.51127761e+1;-1.04459510e+1;8.99887953e+1;1.83715512e+1;2.14652229e+2;6.64894852e-1;7.62791597e-1;7.43697652e-1;185;236;246;#b9ecf6;T;0.22;0.07;0.05;0.14;3.54637980e-1;4.92089033e-1;7.05102861e-1;8.42155039e-1;9.15357351e-1;9.29505289e-1;9.32639718e-1;9.36199069e-1;9.39631224e-1;9.32180166e-1;9.20716882e-1;9.08538342e-1;8.94408345e-1;8.62685263e-1;8.41996312e-1;8.13336134e-1;7.79211640e-1;7.40629971e-1;7.01462328e-1;6.63988888e-1;6.28110826e-1;5.93958914e-1;5.60435951e-1;5.32598197e-1;5.15338480e-1;5.12496710e-1;5.57580531e-1;6.34382129e-1;7.35060811e-1;8.33382726e-1;8.80245864e-1
11;"-";"Base";"-";"00101";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:18:12 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.46282225e+1;-1.10725924e+1;-1.46827217e+1;8.46282225e+1;1.83897966e+1;2.32979178e+2;5.82464701e-1;6.52807953e-1;6.87373071e-1;176;218;238;#b0daee;T;0.30;0.16;0.09;0.20;3.14243495e-1;4.41834658e-1;6.44569516e-1;7.83484519e-1;8.60743642e-1;8.78784359e-1;8.79774868e-1;8.73164952e-1;8.50372672e-1;8.17190647e-1;7.90753007e-1;7.34854400e-1;6.78668559e-1;6.39779270e-1;6.88655376e-1;7.34180391e-1;7.35112667e-1;6.91862345e-1;6.37962818e-1;5.88210106e-1;5.40161848e-1;4.89711046e-1;4.41846490e-1;4.13499266e-1;3.98662895e-1;4.16727066e-1;4.98272061e-1;6.07705593e-1;7.30824888e-1;8.43039751e-1;8.91160429e-1
12;"-";"Base";"-";"00102";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:18:22 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.38156360e+1;-4.26080158e+0;-1.82881657e+1;7.38156360e+1;1.87779508e+1;2.56885105e+2;4.32951311e-1;4.64175144e-1;5.35410805e-1;158;185;215;#9eb9d7;T;0.47;0.34;0.20;0.35;2.98211575e-1;3.83431047e-1;5.19023597e-1;6.23563409e-1;6.89427733e-1;7.14347899e-1;7.11553514e-1;6.84031785e-1;6.19350076e-1;5.50770521e-1;5.09135842e-1;4.35813159e-1;3.71948421e-1;3.42777222e-1;4.46842730e-1;5.74672341e-1;6.29036188e-1;5.82168579e-1;5.04278600e-1;4.39743012e-1;3.83001387e-1;3.23992759e-1;2.72174805e-1;2.47829467e-1;2.37172082e-1;2.65169799e-1;3.81794959e-1;5.42554796e-1;7.22360909e-1;8.83417189e-1;9.33371902e-1
13;"-";"Base";"-";"00110";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:18:34 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.79970181e+1;-1.71752993e+1;6.43352832e+0;8.79970181e+1;1.83406978e+1;1.59465041e+2;6.17963817e-1;7.20590768e-1;5.32900365e-1;189;230;208;#bde6d0;T;0.23;0.10;0.19;0.16;2.92858630e-1;3.88950497e-1;5.17673075e-1;5.96503079e-1;6.33265555e-1;6.46475911e-1;6.56707227e-1;6.66321278e-1;6.77087843e-1;6.92828000e-1;7.19650865e-1;7.67964959e-1;8.10430944e-1;8.25374067e-1;8.25588048e-1;8.03379774e-1;7.72199512e-1;7.34354556e-1;6.93989277e-1;6.54031932e-1;6.15559638e-1;5.79554319e-1;5.43712199e-1;5.12927592e-1;4.93345499e-1;4.88269746e-1;5.31512558e-1;6.08111084e-1;7.13191867e-1;8.20334375e-1;8.75601590e-1
14;"-";"Base";"-";"00111";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:18:45 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.31036456e+1;-1.47186454e+1;5.98205818e+0;8.31036456e+1;1.58878426e+1;1.57881837e+2;5.41236560e-1;6.23583944e-1;4.62411030e-1;181;215;195;#b5d7c3;T;0.30;0.18;0.25;0.22;2.46237829e-1;3.31729949e-1;4.44709152e-1;5.16360879e-1;5.48099339e-1;5.61880410e-1;5.73796034e-1;5.83913326e-1;5.89025915e-1;6.02337837e-1;6.33359075e-1;6.45532310e-1;6.34386361e-1;6.23579264e-1;6.76378608e-1;7.25093961e-1;7.30079293e-1;6.89646482e-1;6.36282802e-1;5.86271405e-1;5.38308620e-1;4.88325715e-1;4.40361083e-1;4.10988986e-1;3.95249248e-1;4.12101209e-1;4.94160205e-1;6.03943169e-1;7.27188349e-1;8.38873506e-1;8.86695504e-1
15;"-";"Base";"-";"00112";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:18:55 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.30718870e+1;-1.26088449e+1;1.20306683e+1;7.30718870e+1;1.74275630e+1;1.36344223e+2;3.94927269e-1;4.52739088e-1;2.92500318e-1;162;186;157;#a2ba9d;T;0.46;0.35;0.45;0.35;2.16437414e-1;2.54877836e-1;2.95005828e-1;3.21629375e-1;3.32013458e-1;3.44233811e-1;3.59406143e-1;3.75193089e-1;3.83604854e-1;4.01828110e-1;4.33437526e-1;4.14945215e-1;3.73449028e-1;3.53186846e-1;4.50327635e-1;5.72964609e-1;6.27408385e-1;5.85164726e-1;5.10322690e-1;4.47007924e-1;3.90792251e-1;3.31931800e-1;2.79468596e-1;2.54355520e-1;2.43164942e-1;2.71142155e-1;3.88283670e-1;5.48707187e-1;7.27151811e-1;8.86480391e-1;9.35346603e-1
16;"-";"Base";"-";"00120";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:19:08 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.21867209e+1;-1.42350521e+1;6.23856589e+1;8.21867209e+1;6.39891174e+1;1.02853592e+2;5.27695894e-1;6.06435060e-1;1.26017087e-1;205;211;78;#cdd34e;T;0.25;0.22;0.82;0.21;9.39940140e-2;1.10234179e-1;1.21997103e-1;1.28389627e-1;1.29702508e-1;1.31616563e-1;1.36828944e-1;1.46474540e-1;1.58282682e-1;1.76567107e-1;2.19769061e-1;3.42094928e-1;5.10095000e-1;6.53146863e-1;7.48984396e-1;7.68415689e-1;7.57723153e-1;7.24705577e-1;6.82544112e-1;6.39826715e-1;5.97434163e-1;5.54019451e-1;5.08732140e-1;4.72982228e-1;4.50871497e-1;4.51140821e-1;5.19240320e-1;6.23608887e-1;7.49673545e-1;8.67259443e-1;9.09323752e-1
17;"-";"Base";"-";"00121";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:19:18 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.61269937e+1;-1.96027631e+1;5.04903492e+1;7.61269937e+1;5.41621980e+1;1.11218588e+2;4.14958232e-1;5.00941175e-1;1.31205719e-1;175;197;89;#afc559;T;0.39;0.29;0.79;0.30;9.69036669e-2;1.10525101e-1;1.22940347e-1;1.30827919e-1;1.34233475e-1;1.38336346e-1;1.45448342e-1;1.56363040e-1;1.70063689e-1;1.93124026e-1;2.47823000e-1;3.54247987e-1;4.56227213e-1;5.34386754e-1;6.08197033e-1;6.53264940e-1;6.57440424e-1;6.15475774e-1;5.55862963e-1;4.99405831e-1;4.48375255e-1;3.97988558e-1;3.49186212e-1;3.16956818e-1;2.98262089e-1;3.07490528e-1;3.85793924e-1;5.02231777e-1;6.46015465e-1;7.85252273e-1;8.59650195e-1
18;"-";"Base";"-";"00122";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 20:19:28 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.91521933e+1;-1.75244250e+1;4.86725251e+1;6.91521933e+1;5.17312301e+1;1.09801290e+2;3.29342867e-1;3.95561075e-1;9.75065780e-2;159;177;75;#9fb14b;T;0.51;0.40;0.91;0.40;8.68913680e-2;8.81329477e-2;8.92150924e-2;9.14808586e-2;9.29939300e-2;9.64903459e-2;1.04187377e-1;1.16510615e-1;1.32485569e-1;1.62862808e-1;2.28429943e-1;3.01291972e-1;3.32146138e-1;3.51563334e-1;4.26974714e-1;5.24183691e-1;5.69368124e-1;5.33719182e-1;4.64856625e-1;4.04708117e-1;3.52562368e-1;2.99742103e-1;2.51089126e-1;2.24273354e-1;2.10417941e-1;2.28003711e-1;3.27298850e-1;4.73478109e-1;6.49812937e-1;8.18952084e-1;8.94080162e-1
