sep=;
Export Date/Time;Tue May 28 2024 21:27:44 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;5/28ishi
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Base";"-";"H-in";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 21:22:52 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.96488378e+1;1.55702742e+1;2.17448341e+1;5.96488378e+1;2.67445555e+1;5.43956417e+1;3.07597735e-1;2.77352965e-1;1.32426131e-1;179;133;106;#b3856a;T;0.39;0.60;0.76;0.53;1.05167374e-1;1.10823847e-1;1.12693056e-1;1.13152109e-1;1.19184032e-1;1.28798261e-1;1.46888778e-1;1.73439428e-1;2.15923145e-1;2.75919467e-1;3.21501255e-1;3.12261432e-1;2.75228709e-1;2.48384476e-1;2.39242733e-1;2.20689848e-1;1.92950577e-1;1.79008678e-1;1.99368536e-1;2.61068135e-1;3.49592328e-1;4.30100083e-1;4.84125704e-1;5.20471096e-1;5.45728266e-1;5.73519886e-1;5.88033378e-1;6.06149018e-1;6.27688706e-1;6.47043467e-1;6.61181569e-1
2;"-";"Base";"-";"H-out";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 21:23:08 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.93517604e+1;2.30155529e+1;2.07975462e+1;5.93517604e+1;3.10202128e+1;4.21019164e+1;3.24551345e-1;2.74098236e-1;1.34022895e-1;189;127;108;#bd7f6c;T;0.41;0.75;0.79;0.52;9.91276950e-2;1.12620033e-1;1.23551063e-1;1.32066905e-1;1.44066006e-1;1.57007053e-1;1.74351901e-1;1.91405132e-1;1.92066744e-1;1.82809860e-1;1.71451628e-1;1.44880682e-1;1.20741889e-1;1.08712398e-1;1.47264674e-1;2.35247165e-1;3.23687464e-1;3.68735850e-1;3.64017248e-1;3.61213684e-1;3.64514858e-1;3.77798736e-1;4.02253091e-1;4.30514246e-1;4.52896595e-1;4.82400328e-1;5.01066566e-1;5.23263276e-1;5.48392475e-1;5.70312798e-1;5.87394834e-1
3;"-";"Base";"-";"G-in";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 21:23:32 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.92878290e+1;2.28587159e+1;1.99943357e+1;5.92878290e+1;3.03692995e+1;4.11759284e+1;3.23342377e-1;2.73401161e-1;1.36592563e-1;188;127;109;#bc7f6d;T;0.42;0.75;0.78;0.52;1.01866379e-1;1.14153780e-1;1.25135884e-1;1.33884609e-1;1.47018984e-1;1.60679996e-1;1.78464666e-1;1.95789427e-1;1.95578232e-1;1.84908360e-1;1.72345117e-1;1.44766986e-1;1.20079517e-1;1.07725836e-1;1.46585464e-1;2.35991001e-1;3.25561643e-1;3.69579047e-1;3.62791955e-1;3.57973933e-1;3.60278249e-1;3.73891830e-1;3.98843646e-1;4.27676708e-1;4.50498015e-1;4.80691969e-1;4.99839902e-1;5.22673428e-1;5.48057377e-1;5.69791675e-1;5.87060988e-1
4;"-";"Base";"-";"G-out";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 21:23:41 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.83797739e+1;1.57070201e+1;2.11379571e+1;5.83797739e+1;2.63348384e+1;5.33850001e+1;2.93415806e-1;2.63627429e-1;1.26730105e-1;175;130;104;#af8268;T;0.41;0.62;0.78;0.55;1.02497533e-1;1.04682907e-1;1.05294272e-1;1.06295019e-1;1.13760784e-1;1.23706780e-1;1.41152650e-1;1.66561186e-1;2.07181379e-1;2.64581889e-1;3.08754772e-1;2.99627811e-1;2.62985736e-1;2.36421987e-1;2.27029324e-1;2.08011612e-1;1.80059224e-1;1.66382253e-1;1.86839625e-1;2.47084513e-1;3.32524091e-1;4.09526199e-1;4.62535292e-1;5.00337720e-1;5.26988626e-1;5.56687653e-1;5.72954655e-1;5.92730045e-1;6.15641475e-1;6.36138439e-1;6.52840495e-1
5;"-";"Base";"-";"J-in";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 21:23:58 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.03386121e+1;2.10679420e+1;1.81119415e+1;6.03386121e+1;2.77830993e+1;4.06853856e+1;3.31049836e-1;2.85009155e-1;1.50846428e-1;188;131;115;#bc8373;T;0.41;0.72;0.73;0.51;1.15419798e-1;1.30203396e-1;1.43140361e-1;1.51668087e-1;1.62205428e-1;1.75840408e-1;1.95302829e-1;2.14378208e-1;2.15261608e-1;2.05525741e-1;1.93552762e-1;1.64798886e-1;1.37731403e-1;1.23820834e-1;1.63660958e-1;2.51925677e-1;3.37324291e-1;3.77043456e-1;3.68630141e-1;3.63576293e-1;3.66109878e-1;3.79130453e-1;4.02914792e-1;4.30594325e-1;4.52588528e-1;4.82015193e-1;5.01158178e-1;5.23690403e-1;5.48650205e-1;5.70420086e-1;5.86721718e-1
6;"-";"Base";"-";"J-out";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 21:24:09 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.93034589e+1;1.50719061e+1;2.05033646e+1;5.93034589e+1;2.54470099e+1;5.36806066e+1;3.02261722e-1;2.73571472e-1;1.34801506e-1;177;133;108;#b1856c;T;0.40;0.60;0.75;0.54;1.05531663e-1;1.10599458e-1;1.13595732e-1;1.15124740e-1;1.22378103e-1;1.32660672e-1;1.51071563e-1;1.77490532e-1;2.18775660e-1;2.76615024e-1;3.20627272e-1;3.11100006e-1;2.73821026e-1;2.46627167e-1;2.37026289e-1;2.18129620e-1;1.90269127e-1;1.76485643e-1;1.96571037e-1;2.56559283e-1;3.41752470e-1;4.18835104e-1;4.71622050e-1;5.08500218e-1;5.34374714e-1;5.62901855e-1;5.78634620e-1;5.98010540e-1;6.20332062e-1;6.40691936e-1;6.57122970e-1
7;"-";"Base";"-";"D-in";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 21:24:27 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.08327586e+1;2.19072231e+1;1.54862219e+1;6.08327586e+1;2.68281474e+1;3.52565008e+1;3.39544111e-1;2.90579727e-1;1.65140833e-1;190;132;121;#be8479;T;0.41;0.71;0.70;0.50;1.19303159e-1;1.40073150e-1;1.58093065e-1;1.70283496e-1;1.82718650e-1;1.97676480e-1;2.17344835e-1;2.34022588e-1;2.27651566e-1;2.09817290e-1;1.93526179e-1;1.63046896e-1;1.35522962e-1;1.21584073e-1;1.63347930e-1;2.56841451e-1;3.48275989e-1;3.90685022e-1;3.80225480e-1;3.71957362e-1;3.72289717e-1;3.84487540e-1;4.08182025e-1;4.36085969e-1;4.58297342e-1;4.87943411e-1;5.06939590e-1;5.29409647e-1;5.53996742e-1;5.74453115e-1;5.89632332e-1
8;"-";"Base";"-";"D-out";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 21:24:39 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.96977009e+1;1.54647065e+1;1.95446286e+1;5.96977009e+1;2.49228742e+1;5.16471587e+1;3.07881566e-1;2.77890756e-1;1.40953346e-1;178;133;110;#b2856e;T;0.39;0.60;0.74;0.53;1.10211909e-1;1.16047271e-1;1.20916046e-1;1.23549722e-1;1.31242782e-1;1.41921937e-1;1.60345986e-1;1.86470047e-1;2.26253763e-1;2.79310822e-1;3.16110045e-1;3.01953346e-1;2.65374571e-1;2.40306273e-1;2.37409651e-1;2.26792738e-1;2.04646841e-1;1.92099676e-1;2.10504770e-1;2.67035931e-1;3.46948922e-1;4.19595122e-1;4.70493108e-1;5.06771743e-1;5.32394469e-1;5.60977161e-1;5.76395392e-1;5.95539331e-1;6.17757738e-1;6.37195885e-1;6.53692245e-1
9;"-";"Base";"-";"F-in";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 21:25:02 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.76269776e+1;2.37730863e+1;1.79496286e+1;5.76269776e+1;2.97884005e+1;3.70542605e+1;3.06216595e-1;2.55703664e-1;1.33559729e-1;184;122;108;#b87a6c;T;0.45;0.80;0.79;0.55;1.06837779e-1;1.17445372e-1;1.27027750e-1;1.35579363e-1;1.48146003e-1;1.61829859e-1;1.78016230e-1;1.90786481e-1;1.82428464e-1;1.64350539e-1;1.48963809e-1;1.23178832e-1;1.01419233e-1;9.07557979e-2;1.28125742e-1;2.18361765e-1;3.12849283e-1;3.61223936e-1;3.51206094e-1;3.40216905e-1;3.37442309e-1;3.47752571e-1;3.71406049e-1;3.99782270e-1;4.22328800e-1;4.52244550e-1;4.71984476e-1;4.95617092e-1;5.22149086e-1;5.44562995e-1;5.63717425e-1
10;"-";"Base";"-";"F-out";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue May 28 2024 21:25:13 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.84118867e+1;1.55652176e+1;2.20443750e+1;5.84118867e+1;2.69857457e+1;5.47746323e+1;2.93406945e-1;2.63969033e-1;1.23733018e-1;176;130;103;#b08267;T;0.40;0.62;0.79;0.55;9.93319154e-2;1.02020293e-1;1.02684408e-1;1.04171224e-1;1.11687414e-1;1.20905623e-1;1.36940956e-1;1.60641730e-1;1.99868470e-1;2.58022457e-1;3.06400269e-1;3.02722633e-1;2.68503129e-1;2.42499381e-1;2.29023263e-1;2.05899730e-1;1.76152289e-1;1.63177028e-1;1.85569793e-1;2.48118743e-1;3.34688127e-1;4.11642671e-1;4.64567184e-1;5.02216816e-1;5.28741956e-1;5.58188915e-1;5.74127138e-1;5.93817651e-1;6.16619647e-1;6.36929810e-1;6.54288650e-1
