sep=;
Export Date/Time;Thu Nov 09 2023 22:58:02 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;Cmyijk
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"10/24";"-";"000000";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Oct 24 2023 21:57:12 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.11556000e+1;3.48253232e-1;-1.98999488e+0;9.11556000e+1;2.02023760e+0;2.79926361e+2;7.61778624e-1;7.88262106e-1;6.71728446e-1;229;229;233;#e5e5e9;T;0.10;0.10;0.09;0.10;5.49416780e-1;6.78568304e-1;7.82597899e-1;8.14173281e-1;8.23866248e-1;8.26355278e-1;8.21553171e-1;8.15249026e-1;8.13884497e-1;8.12502503e-1;8.08670044e-1;8.04779232e-1;8.02102804e-1;7.86699116e-1;7.85138965e-1;7.82640696e-1;7.79625177e-1;7.78516293e-1;7.77882099e-1;7.81275630e-1;7.82826781e-1;7.87291706e-1;7.93162584e-1;7.93973684e-1;7.96203732e-1;8.02099764e-1;8.01714778e-1;8.01569343e-1;8.02375197e-1;8.03616762e-1;8.03496420e-1
2;"-";"10/24";"-";"001000";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Oct 24 2023 21:58:00 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.44400431e+1;4.11683586e+0;6.87767393e+1;8.44400431e+1;6.88998418e+1;8.65744784e+1;6.43952304e-1;6.49152455e-1;1.17360766e-1;245;206;71;#f5ce47;T;0.11;0.25;0.82;0.16;8.22369158e-2;8.81280825e-2;9.08882394e-2;9.39402431e-2;9.79208723e-2;1.04910292e-1;1.21345662e-1;1.46450028e-1;1.81509659e-1;2.29835272e-1;2.92002887e-1;3.84238809e-1;4.85602915e-1;5.69433928e-1;6.43251717e-1;6.92364037e-1;7.26850867e-1;7.47747242e-1;7.56891429e-1;7.65976369e-1;7.69305885e-1;7.75779605e-1;7.86007226e-1;7.91031003e-1;7.96153009e-1;8.03227663e-1;8.01907241e-1;8.01631510e-1;8.02278161e-1;8.02019596e-1;8.01891208e-1
3;"-";"10/24";"-";"011000";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Oct 24 2023 21:58:24 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.35060467e+1;4.27152532e+1;2.94784216e+1;6.35060467e+1;5.18996165e+1;3.46101252e+1;4.41618918e-1;3.21978232e-1;1.28505894e-1;231;120;104;#e77868;T;0.18;0.73;0.79;0.43;1.05080083e-1;1.08899876e-1;1.11197643e-1;1.15024380e-1;1.25155225e-1;1.38039976e-1;1.58474460e-1;1.83032125e-1;2.02724949e-1;2.15632096e-1;2.16668323e-1;2.02032566e-1;1.78047210e-1;1.59403071e-1;1.54854536e-1;1.70819163e-1;1.97864622e-1;2.48126924e-1;3.28490496e-1;4.52223241e-1;5.85166216e-1;6.88265145e-1;7.47725010e-1;7.74149299e-1;7.90435791e-1;8.00747156e-1;7.99200952e-1;7.98729956e-1;7.99023211e-1;8.00047755e-1;7.98878908e-1
4;"-";"10/24";"-";"010000";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Oct 24 2023 21:58:39 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.06976039e+1;5.57253477e+1;-7.11179513e+0;6.06976039e+1;5.61773265e+1;3.52727098e+2;4.44736253e-1;2.89048967e-1;2.79117116e-1;230;100;161;#e664a1;T;0.20;0.85;0.49;0.47;2.72630036e-1;3.14421386e-1;3.44648480e-1;3.65162641e-1;3.78080130e-1;3.86771321e-1;3.69706333e-1;3.31322163e-1;2.80539304e-1;2.32891500e-1;1.97902903e-1;1.65651500e-1;1.35407567e-1;1.13976896e-1;1.09471083e-1;1.23113289e-1;1.46502495e-1;1.92015141e-1;2.71270663e-1;4.03045386e-1;5.55314898e-1;6.76021814e-1;7.43683100e-1;7.73233175e-1;7.91044652e-1;8.02089393e-1;8.00630212e-1;8.00776124e-1;8.01634431e-1;8.02856922e-1;8.03677738e-1
5;"-";"10/24";"-";"100000";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Oct 24 2023 21:59:25 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.36931857e+1;-1.55040178e+1;-4.24290018e+1;5.36931857e+1;4.51729429e+1;2.49927148e+2;1.78374471e-1;2.16868753e-1;4.43356743e-1;0;138;201;#008ac9;T;0.98;0.53;0.27;0.73;2.30644107e-1;3.01645815e-1;3.83208483e-1;4.49450523e-1;5.15262783e-1;5.64419687e-1;5.95318377e-1;6.02532327e-1;5.88481605e-1;5.60305595e-1;5.16278744e-1;4.47419316e-1;3.66288602e-1;2.98351854e-1;2.37537399e-1;1.88091770e-1;1.48428217e-1;1.23211317e-1;1.08938709e-1;1.01736255e-1;9.97705832e-2;1.02574095e-1;1.09735407e-1;1.18861593e-1;1.26177669e-1;1.36426404e-1;1.43928543e-1;1.53797001e-1;1.65415615e-1;1.73831120e-1;1.80240557e-1
6;"-";"10/24";"-";"101000";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Oct 24 2023 21:59:37 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.43848614e+1;-2.93832268e+1;1.12649092e+1;5.43848614e+1;3.14685906e+1;1.59024230e+2;1.58678045e-1;2.23390043e-1;1.37625209e-1;74;144;109;#4a906d;T;0.85;0.53;0.74;0.69;9.69796181e-2;1.02032736e-1;1.04145147e-1;1.07144795e-1;1.16768174e-1;1.30223170e-1;1.54107228e-1;1.87043145e-1;2.31165305e-1;2.86534399e-1;3.37222338e-1;3.63683581e-1;3.51605207e-1;3.31389159e-1;2.87937701e-1;2.40273252e-1;1.97483033e-1;1.66930735e-1;1.47925124e-1;1.37361646e-1;1.33846864e-1;1.37131393e-1;1.46311432e-1;1.57847643e-1;1.67025536e-1;1.79299280e-1;1.84656784e-1;1.91587597e-1;2.02592358e-1;2.15294734e-1;2.31342852e-1
7;"-";"10/24";"-";"110000";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Oct 24 2023 21:59:52 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.62936265e+1;1.89648268e+1;-3.90852198e+1;4.62936265e+1;4.34432856e+1;2.95883466e+2;1.83253399e-1;1.54866284e-1;3.24250653e-1;113;100;176;#7164b0;T;0.80;0.84;0.43;0.82;2.54496694e-1;3.14065605e-1;3.66380364e-1;4.08208609e-1;4.38562393e-1;4.56276685e-1;4.39076453e-1;3.92114192e-1;3.30222666e-1;2.73301244e-1;2.31620610e-1;1.91891432e-1;1.53322265e-1;1.25316873e-1;1.15204811e-1;1.18614346e-1;1.25010833e-1;1.33695826e-1;1.39211088e-1;1.45279229e-1;1.50072902e-1;1.57280102e-1;1.69073895e-1;1.82641491e-1;1.93297848e-1;2.07207084e-1;2.16541022e-1;2.28856370e-1;2.43536979e-1;2.55798042e-1;2.65472323e-1
8;"-";"10/24";"-";"111000";Scan;"-";"-";"-";Nix Spectro 2;"-";Tue Oct 24 2023 22:00:07 GMT+0000 (Coordinated Universal Time);D50;2;M2;2.38735021e+1;1.29518880e+0;2.97035299e+0;2.38735021e+1;3.24044918e+0;6.64409361e+1;4.00531740e-2;4.06143192e-2;2.93560729e-2;60;56;52;#3c3834;T;1.36;1.41;1.45;1.38;3.04368250e-2;3.42541486e-2;3.48261409e-2;3.49138267e-2;3.41306776e-2;3.44901383e-2;3.51701975e-2;3.63975465e-2;3.74420695e-2;3.82462591e-2;3.84905860e-2;3.86073515e-2;3.84457670e-2;3.89417708e-2;3.92316431e-2;3.95608395e-2;4.01394628e-2;4.11775410e-2;4.13624831e-2;4.20508757e-2;4.26442213e-2;4.33080979e-2;4.40799333e-2;4.47735675e-2;4.53255437e-2;4.62926067e-2;4.66222242e-2;4.73104082e-2;4.81427908e-2;4.87400852e-2;4.92993966e-2
9;"-";"11/9";"-";"000100";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Nov 09 2023 22:26:28 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.26053885e+1;4.38721611e+1;3.77673251e+1;7.26053885e+1;5.78890090e+1;4.07234964e+1;5.95468001e-1;4.45662852e-1;1.56882556e-1;255;143;112;#ff8f70;T;0.10;0.71;0.73;0.28;1.28587261e-1;1.42106533e-1;1.53477177e-1;1.64346918e-1;1.80329859e-1;1.96639940e-1;2.13558346e-1;2.22539991e-1;2.02002764e-1;1.69897050e-1;1.47827759e-1;1.23970799e-1;1.05106071e-1;9.52697918e-2;1.26810864e-1;2.46365651e-1;4.34919685e-1;6.42044425e-1;7.41405010e-1;7.83818185e-1;7.94731557e-1;7.99678147e-1;8.04213941e-1;8.05289209e-1;8.08137178e-1;8.16927791e-1;8.19874942e-1;8.22351336e-1;8.24777901e-1;8.26877773e-1;8.27742755e-1
10;"-";"11/9";"-";"001100";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Nov 09 2023 22:26:58 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.14945648e+1;4.47471864e+1;6.76460095e+1;7.14945648e+1;8.11066784e+1;5.65157464e+1;5.79201442e-1;4.29110616e-1;5.94222661e-2;255;139;46;#ff8b2e;T;0.10;0.78;1.13;0.29;4.20221202e-2;4.54733260e-2;4.81936820e-2;5.28519377e-2;5.93314022e-2;6.43119961e-2;7.37712383e-2;8.66783112e-2;9.25384611e-2;9.20817778e-2;9.09256861e-2;8.07723850e-2;6.93929866e-2;6.28899336e-2;9.57427621e-2;2.28708506e-1;4.37601626e-1;6.54828191e-1;7.46862590e-1;7.81333685e-1;7.88686216e-1;7.95196235e-1;8.06693673e-1;8.14784825e-1;8.22601378e-1;8.34244370e-1;8.37250590e-1;8.40359032e-1;8.43226373e-1;8.45465422e-1;8.45682979e-1
