sep=;
Export Date/Time;Wed Dec 13 2023 23:44:46 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;Inks
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"10/26";"-";"Bouquet dantan H";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Oct 26 2023 22:19:09 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.58157840e+1;2.41264794e+1;-6.20042431e+0;7.58157840e+1;2.49104852e+1;3.45587085e+2;5.71024345e-1;4.95881690e-1;4.59197932e-1;226;171;199;#e2abc7;T;0.17;0.38;0.27;0.28;4.49034303e-1;5.32242358e-1;5.99178851e-1;6.21414602e-1;6.06168807e-1;5.96267700e-1;5.67725539e-1;5.27992427e-1;4.88511175e-1;4.57081974e-1;4.34528351e-1;4.14480358e-1;4.00881320e-1;3.94687682e-1;4.03813750e-1;4.14206743e-1;4.25466061e-1;4.51671302e-1;4.97452855e-1;5.71123779e-1;6.44634664e-1;6.96139872e-1;7.22779036e-1;7.32462943e-1;7.39080191e-1;7.46483326e-1;7.48157382e-1;7.51175046e-1;7.54990220e-1;7.58180380e-1;7.58758366e-1
2;"-";"10/26";"-";"Rose cyclamen H";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Oct 26 2023 22:19:32 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.96170314e+1;6.66144338e+1;-3.71253188e+1;4.96170314e+1;7.62612096e+1;3.30868358e+2;3.29160778e-1;1.80998830e-1;3.49935859e-1;198;54;183;#c636b7;T;0.38;1.05;0.40;0.67;3.07868212e-1;3.44650418e-1;3.82139355e-1;4.10330266e-1;4.70654994e-1;5.17905653e-1;5.07768095e-1;4.35760707e-1;3.33695233e-1;2.47403845e-1;1.92135796e-1;1.39015943e-1;9.65787694e-2;7.05011562e-2;6.68529347e-2;6.16608076e-2;5.20422310e-2;4.75983098e-2;5.80739267e-2;1.01297587e-1;2.20652610e-1;4.29885358e-1;6.34227157e-1;7.54508555e-1;8.28611016e-1;8.53390992e-1;8.44061732e-1;8.42651367e-1;8.41553926e-1;8.41607571e-1;8.41106296e-1
3;"-";"10/26";"-";"Bleu pervenche h";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Oct 26 2023 22:20:02 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.31637090e+1;-3.14102412e+1;-3.35664998e+1;6.31637090e+1;4.59707859e+1;2.26900668e+2;2.29384216e-1;3.17836986e-1;5.07279973e-1;0;170;212;#00aad4;T;0.94;0.35;0.22;0.57;2.39009202e-1;2.32792825e-1;3.20797205e-1;4.35959101e-1;5.84875643e-1;6.68709397e-1;7.03764975e-1;6.97255373e-1;6.78555191e-1;6.59918785e-1;6.33056164e-1;5.86177528e-1;5.22762299e-1;4.63671416e-1;4.02199507e-1;3.41063976e-1;2.82222420e-1;2.29632288e-1;1.85405508e-1;1.50877595e-1;1.27533883e-1;1.08836494e-1;9.38313007e-2;8.91685560e-2;8.84668827e-2;1.02086700e-1;1.55231699e-1;2.40050748e-1;3.54433119e-1;4.69035268e-1;5.64531446e-1
4;"-";"10/26";"-";"Violette pensee h";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Oct 26 2023 22:20:41 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.48990450e+1;3.44796984e+1;-4.96638789e+1;5.48990450e+1;6.04594944e+1;3.04770743e+2;3.03393088e-1;2.28321699e-1;5.23997842e-1;154;111;219;#9a6fdb;T;0.59;0.72;0.22;0.63;4.83391106e-1;6.07548773e-1;7.08136916e-1;7.46057153e-1;7.35506833e-1;7.20953524e-1;6.74282193e-1;6.05744720e-1;5.17808914e-1;4.17658865e-1;3.21764588e-1;2.39604473e-1;1.89485997e-1;1.61049291e-1;1.58559531e-1;1.63909689e-1;1.72317594e-1;1.86133176e-1;1.96260080e-1;2.05850005e-1;2.14409679e-1;2.36314550e-1;2.84010768e-1;3.53635699e-1;4.10711735e-1;5.01452386e-1;6.00620747e-1;6.95056915e-1;7.60017753e-1;7.99415648e-1;7.97318697e-1
5;"-";"10/26";"-";"Orange D";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Oct 26 2023 22:20:59 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.61574544e+1;5.28769030e+1;6.55990974e+1;6.61574544e+1;8.42568006e+1;5.11290518e+1;5.20069892e-1;3.55276888e-1;4.53733700e-2;255;116;38;#ff7426;T;0.12;0.97;1.26;0.36;5.25735319e-2;5.12733459e-2;5.08663766e-2;5.24448715e-2;5.34632057e-2;5.37077971e-2;5.48717938e-2;5.77754267e-2;5.78523576e-2;5.57258204e-2;5.39621077e-2;4.92424592e-2;4.46231402e-2;4.21995819e-2;5.49420975e-2;1.25254497e-1;2.63518631e-1;4.72100407e-1;6.26609802e-1;7.18120217e-1;7.53085017e-1;7.69970059e-1;7.82730937e-1;7.88724780e-1;7.94452310e-1;8.03716958e-1;8.06179404e-1;8.08486342e-1;8.10609102e-1;8.12031269e-1;8.12161326e-1
6;"-";"10/26";"-";"Peach haze D";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Oct 26 2023 22:21:25 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.10684228e+1;4.65834415e+1;4.37591646e+1;7.10684228e+1;6.39130778e+1;4.32094111e+1;5.79199120e-1;4.22871158e-1;1.24106593e-1;255;136;97;#ff8861;T;0.10;0.79;0.83;0.30;1.00240879e-1;1.06591292e-1;1.16737761e-1;1.28256068e-1;1.43561155e-1;1.58060655e-1;1.72459885e-1;1.78937405e-1;1.57933906e-1;1.26857698e-1;1.06614016e-1;8.55187327e-2;6.97015002e-2;6.14908785e-2;9.22903717e-2;2.15811223e-1;4.13328320e-1;6.30297840e-1;7.33480930e-1;7.75415182e-1;7.84448922e-1;7.88881481e-1;7.94158638e-1;7.95664966e-1;7.98659265e-1;8.06430995e-1;8.08070719e-1;8.09505105e-1;8.11060071e-1;8.12816918e-1;8.13000917e-1
7;"-";"10/26";"-";"Hope pink D";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Oct 26 2023 22:21:45 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.10615860e+1;6.77375386e+1;-1.53335267e+1;6.10615860e+1;6.94513583e+1;3.47245103e+2;4.93308796e-1;2.93183727e-1;3.35741035e-1;244;85;177;#f455b1;T;0.13;1.00;0.42;0.45;3.44339103e-1;3.98495942e-1;4.58557606e-1;4.95326221e-1;4.97461170e-1;4.90766436e-1;4.41215366e-1;3.60421687e-1;2.84307808e-1;2.20324129e-1;1.56561211e-1;1.14218801e-1;9.74306390e-2;8.67645293e-2;6.92592561e-2;6.40108511e-2;7.73193091e-2;1.52234256e-1;3.30299973e-1;5.59327424e-1;7.09418058e-1;7.65421033e-1;7.85828054e-1;7.92493165e-1;7.97813833e-1;8.06172192e-1;8.08168292e-1;8.10416162e-1;8.12968493e-1;8.14779878e-1;8.15205336e-1
8;"-";"10/26";"-";"Atlantic salmon N";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Oct 26 2023 22:22:21 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.16001605e+1;5.88029988e+1;-7.09601653e+0;6.16001605e+1;5.92296051e+1;3.53119138e+2;4.69237888e-1;2.99373870e-1;2.88475825e-1;237;99;164;#ed63a4;T;0.19;0.88;0.49;0.45;3.59884381e-1;4.26270217e-1;4.81637061e-1;5.11239886e-1;4.66727197e-1;4.20691401e-1;3.44437808e-1;2.63834119e-1;1.94038153e-1;1.44112378e-1;1.17378138e-1;9.37508568e-2;8.19267109e-2;8.08494166e-2;1.22470379e-1;1.84493423e-1;2.27697790e-1;2.49416217e-1;2.95188725e-1;4.06137079e-1;5.58162808e-1;6.91791773e-1;7.66553462e-1;7.96908438e-1;8.14551532e-1;8.25322151e-1;8.25473487e-1;8.26521516e-1;8.27477932e-1;8.28054428e-1;8.29284072e-1
9;"-";"10/26";"-";"Operation overlord orange N";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Oct 26 2023 22:22:52 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.12929322e+1;2.28407381e+1;5.28827039e+1;7.12929322e+1;5.76045110e+1;6.66398465e+1;4.90368235e-1;4.26150770e-1;9.59670822e-2;231;158;76;#e79e4c;T;0.17;0.48;0.90;0.33;7.86570683e-2;8.07049870e-2;7.92460218e-2;7.90674016e-2;8.07505101e-2;8.53737146e-2;9.75496843e-2;1.17919557e-1;1.52579442e-1;2.06372097e-1;2.65801460e-1;3.09288442e-1;3.28155488e-1;3.40717763e-1;3.43724906e-1;3.39313954e-1;3.38965446e-1;3.66586328e-1;4.28082556e-1;5.26533961e-1;6.30859375e-1;7.10379660e-1;7.55495608e-1;7.75336206e-1;7.88172543e-1;7.98910320e-1;8.00551891e-1;8.02777171e-1;8.04437935e-1;8.04743409e-1;8.04670215e-1
10;"-";"10/26";"-";"Dragon catfish N";Scan;"-";"-";"-";Nix Spectro 2;"-";Thu Oct 26 2023 22:23:11 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.22819796e+1;5.71379435e+1;-1.05457370e+1;7.22819796e+1;5.81029875e+1;3.49542812e+2;6.46677511e-1;4.40800646e-1;4.44719213e-1;255;131;199;#ff83c7;T;0.04;0.65;0.29;0.29;4.15899664e-1;5.28320014e-1;6.20027363e-1;6.56950057e-1;6.44912422e-1;6.18977606e-1;5.59005380e-1;4.86534745e-1;4.09357101e-1;3.34352285e-1;2.83587039e-1;2.42497504e-1;2.02711329e-1;1.75000370e-1;1.80169389e-1;2.13122725e-1;2.54501253e-1;3.31911862e-1;4.92365003e-1;7.37957656e-1;9.27178442e-1;9.70087171e-1;9.45727289e-1;9.20891762e-1;9.06542718e-1;9.03202653e-1;8.92844021e-1;8.82046461e-1;8.76067281e-1;8.72873485e-1;8.72286379e-1
