sep=;
Export Date/Time;Mon Apr 15 2024 23:40:20 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;Pairs415
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Test";"-";"1:32,25,50,75";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 23:02:23 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.98503632e+1;1.50710581e+1;1.03399763e+1;5.98503632e+1;1.82770868e+1;3.44533033e+1;3.08596656e-1;2.79575446e-1;1.80197600e-1;175;134;127;#af867f;T;0.41;0.59;0.64;0.53;1.23229243e-1;1.40473202e-1;1.54073030e-1;1.60881266e-1;1.74104154e-1;1.89851791e-1;2.15328708e-1;2.48327151e-1;2.87683219e-1;3.29893738e-1;3.48232448e-1;3.16132724e-1;2.68626601e-1;2.36929759e-1;2.35431284e-1;2.28977323e-1;2.09201917e-1;1.94599107e-1;2.07524344e-1;2.57862002e-1;3.34842265e-1;4.08216804e-1;4.59515303e-1;4.95202005e-1;5.20227969e-1;5.48128724e-1;5.64639270e-1;5.84469974e-1;6.05843663e-1;6.23561084e-1;6.37296677e-1
2;"-";"Test";"-";"1:47,95,5,5";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 23:02:39 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.44552522e+1;2.19111075e+1;6.77686479e+0;5.44552522e+1;2.29351811e+1;1.71862636e+1;2.66262169e-1;2.24060940e-1;1.55646269e-1;169;116;120;#a97478;T;0.53;0.84;0.73;0.61;1.08309269e-1;1.31738752e-1;1.48681268e-1;1.61175340e-1;1.77099481e-1;1.95525855e-1;2.15531632e-1;2.25769699e-1;2.02812538e-1;1.68034956e-1;1.44592419e-1;1.16384320e-1;9.35518891e-2;8.22485164e-2;1.19029842e-1;2.03340366e-1;2.84209996e-1;3.13233495e-1;2.92888314e-1;2.78777182e-1;2.76671261e-1;2.87076652e-1;3.08908612e-1;3.35622102e-1;3.56877714e-1;3.85654807e-1;4.05241758e-1;4.28775221e-1;4.55010593e-1;4.76695091e-1;4.93746996e-1
3;"-";"Test";"-";"2:32,20,47,80";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 23:02:57 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.96803235e+1;1.35228324e+1;1.16103248e+1;5.96803235e+1;1.78232051e+1;4.06484639e+1;3.02462911e-1;2.77699419e-1;1.73270278e-1;172;135;124;#ac877c;T;0.41;0.59;0.65;0.54;1.15855314e-1;1.33020833e-1;1.46474153e-1;1.52653471e-1;1.64335489e-1;1.79446876e-1;2.04649672e-1;2.37599164e-1;2.79198110e-1;3.27202946e-1;3.52442265e-1;3.24198872e-1;2.77018040e-1;2.44654387e-1;2.39260495e-1;2.27486461e-1;2.03421280e-1;1.87397525e-1;2.02230647e-1;2.54708737e-1;3.30505162e-1;3.99942577e-1;4.49104905e-1;4.85033065e-1;5.10585725e-1;5.39673269e-1;5.56938589e-1;5.77146590e-1;5.98832786e-1;6.17580235e-1;6.33268714e-1
4;"-";"Test";"-";"2:47,95,0,17";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 23:03:17 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.49786903e+1;2.12420250e+1;9.49145604e+0;5.49786903e+1;2.32660990e+1;2.40762594e+1;2.70174841e-1;2.29092028e-1;1.48385030e-1;170;117;116;#aa7574;T;0.52;0.83;0.75;0.60;1.07680395e-1;1.27807915e-1;1.43775150e-1;1.55230582e-1;1.67887554e-1;1.83928028e-1;2.03228801e-1;2.14995638e-1;1.95280507e-1;1.64032653e-1;1.43118039e-1;1.15772218e-1;9.30551067e-2;8.18179846e-2;1.19356088e-1;2.07772061e-1;2.95841575e-1;3.30764502e-1;3.08757991e-1;2.89306015e-1;2.81686276e-1;2.88951993e-1;3.09807003e-1;3.36027056e-1;3.56970638e-1;3.85193050e-1;4.04894590e-1;4.28660005e-1;4.54937816e-1;4.76562530e-1;4.92967188e-1
5;"-";"Test";"-";"3:32,17,50,80";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 23:03:36 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.87861529e+1;1.39282716e+1;1.08637348e+1;5.87861529e+1;1.76640167e+1;3.79534201e+1;2.93344841e-1;2.67972120e-1;1.69816719e-1;170;132;123;#aa847b;T;0.43;0.60;0.66;0.55;1.18803866e-1;1.34007066e-1;1.44728839e-1;1.49216950e-1;1.60603240e-1;1.75091550e-1;1.99288979e-1;2.31765270e-1;2.74613321e-1;3.24803591e-1;3.51278573e-1;3.21365029e-1;2.71583796e-1;2.37274870e-1;2.30052471e-1;2.15751261e-1;1.89763993e-1;1.73203424e-1;1.87479630e-1;2.39613533e-1;3.17811459e-1;3.91271740e-1;4.43065703e-1;4.80287671e-1;5.06559312e-1;5.35952747e-1;5.52846491e-1;5.73546529e-1;5.96226990e-1;6.14825964e-1;6.30500436e-1
6;"-";"Test";"-";"3:47,95,2,17";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 23:04:02 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.44540637e+1;2.15712661e+1;8.94937366e+0;5.44540637e+1;2.33540319e+1;2.25323279e+1;2.65416767e-1;2.24049602e-1;1.46960337e-1;169;116;116;#a97474;T;0.53;0.84;0.76;0.61;1.05923779e-1;1.26871124e-1;1.41443267e-1;1.52053922e-1;1.66174114e-1;1.82864442e-1;2.01416120e-1;2.12634489e-1;1.94234461e-1;1.63296849e-1;1.41849563e-1;1.14842288e-1;9.23045725e-2;8.10701326e-2;1.17371142e-1;2.02331066e-1;2.85838813e-1;3.17881614e-1;2.97404975e-1;2.81546623e-1;2.77375430e-1;2.86151946e-1;3.07571858e-1;3.34419549e-1;3.55827749e-1;3.84395033e-1;4.04279083e-1;4.28282380e-1;4.54814821e-1;4.76564735e-1;4.94416773e-1
7;"-";"Test";"-";"4:32,15,52,80";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 23:04:29 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.90087037e+1;1.42517448e+1;9.85174812e+0;5.90087037e+1;1.73253909e+1;3.46547912e+1;2.96714540e-1;2.70371563e-1;1.75909939e-1;171;133;125;#ab857d;T;0.42;0.60;0.65;0.55;1.17935270e-1;1.35975435e-1;1.48930505e-1;1.55088440e-1;1.67750001e-1;1.82897925e-1;2.07536846e-1;2.40231305e-1;2.83292443e-1;3.33148926e-1;3.58478367e-1;3.27163011e-1;2.76239306e-1;2.41104960e-1;2.32283711e-1;2.15594187e-1;1.88005179e-1;1.71254829e-1;1.86010256e-1;2.39232555e-1;3.20055842e-1;3.97131473e-1;4.51053828e-1;4.88372386e-1;5.14429688e-1;5.43322146e-1;5.60240746e-1;5.80718577e-1;6.03270948e-1;6.21663809e-1;6.35442138e-1
8;"-";"Test";"-";"4:47,95,5,17";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 23:05:20 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.44338426e+1;2.19463079e+1;8.70165964e+0;5.44338426e+1;2.36084585e+1;2.16282099e+1;2.66122153e-1;2.23856742e-1;1.47795891e-1;170;116;116;#aa7474;T;0.53;0.84;0.75;0.61;1.09982878e-1;1.25926927e-1;1.40455350e-1;1.51832759e-1;1.66842625e-1;1.83932230e-1;2.03140870e-1;2.14626998e-1;1.95590004e-1;1.64322555e-1;1.42601624e-1;1.15413941e-1;9.29117650e-2;8.17191973e-2;1.18293725e-1;2.01997116e-1;2.82532036e-1;3.12650055e-1;2.93833941e-1;2.80708849e-1;2.79020607e-1;2.89640307e-1;3.11837226e-1;3.38680834e-1;3.59994292e-1;3.88716966e-1;4.08384740e-1;4.31942910e-1;4.58396494e-1;4.80253190e-1;4.96453881e-1
9;"-";"Test";"-";"5:32,12,50,77";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 23:05:42 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.97647378e+1;1.19443239e+1;9.20774801e+0;5.97647378e+1;1.50814289e+1;3.76282345e+1;2.99230275e-1;2.78629699e-1;1.84653309e-1;169;136;128;#a98880;T;0.42;0.57;0.62;0.54;1.27042919e-1;1.46945491e-1;1.58058867e-1;1.62613899e-1;1.74804196e-1;1.90736592e-1;2.17065945e-1;2.51911938e-1;2.97909677e-1;3.51940155e-1;3.80619138e-1;3.49150062e-1;2.95475602e-1;2.57481605e-1;2.45437056e-1;2.25200430e-1;1.94410846e-1;1.76002353e-1;1.90478861e-1;2.43147805e-1;3.21479470e-1;3.94412577e-1;4.45721865e-1;4.82741326e-1;5.08944631e-1;5.38844526e-1;5.56192696e-1;5.76956093e-1;6.00074053e-1;6.19766653e-1;6.34752333e-1
10;"-";"Test";"-";"5:47,95,2,5";Scan;"-";"-";"-";Nix Spectro 2;"-";Mon Apr 15 2024 23:06:21 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.44400139e+1;2.25497366e+1;9.23339218e+0;5.44400139e+1;2.43669069e+1;2.22675221e+1;2.67670251e-1;2.23915590e-1;1.45755907e-1;171;115;115;#ab7373;T;0.53;0.85;0.76;0.61;1.06979951e-1;1.24488324e-1;1.38996705e-1;1.50651857e-1;1.65904701e-1;1.83208361e-1;2.02124894e-1;2.12048233e-1;1.89752489e-1;1.55760989e-1;1.33408085e-1;1.07138664e-1;8.60149562e-2;7.56503344e-2;1.12588450e-1;2.00819328e-1;2.88921446e-1;3.23646456e-1;3.02597016e-1;2.85644174e-1;2.80736655e-1;2.89332449e-1;3.10558945e-1;3.37199241e-1;3.58452886e-1;3.86784345e-1;4.06315833e-1;4.30261970e-1;4.56826329e-1;4.78853166e-1;4.96004790e-1
