sep=;
Export Date/Time;Fri Dec 08 2023 04:16:00 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;PeachHaze,Opportunity,OOO
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"12/7";"-";"000000";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Dec 08 2023 04:00:41 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.08732032e+1;2.19916716e-1;-2.15725261e+0;9.08732032e+1;2.16843311e+0;2.75820793e+2;7.55145236e-1;7.82046381e-1;6.68285076e-1;228;229;233;#e4e5e9;T;0.11;0.10;0.09;0.11;5.12587190e-1;6.48541987e-1;7.63082087e-1;8.02633047e-1;8.20044935e-1;8.24805975e-1;8.20656002e-1;8.14271748e-1;8.12614799e-1;8.10287654e-1;8.05360377e-1;8.00590813e-1;7.97195733e-1;7.81408548e-1;7.79966474e-1;7.76990592e-1;7.72698164e-1;7.70534575e-1;7.69839942e-1;7.73197412e-1;7.75051594e-1;7.80154407e-1;7.86362410e-1;7.87151575e-1;7.89283574e-1;7.95145988e-1;7.94416010e-1;7.93800354e-1;7.94199288e-1;7.94969440e-1;7.94066966e-1
2;"-";"12/7";"-";"001000";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Dec 08 2023 04:00:57 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.48557436e+1;3.17800939e+0;6.93682440e+1;8.48557436e+1;6.94410039e+1;8.73769079e+1;6.47730070e-1;6.57245982e-1;1.17783588e-1;245;208;70;#f5d046;T;0.11;0.24;0.82;0.16;7.51989409e-2;7.97445253e-2;8.28238353e-2;8.70832875e-2;9.53367874e-2;1.04420267e-1;1.22412145e-1;1.48874238e-1;1.86371148e-1;2.37841964e-1;3.02481681e-1;3.97138238e-1;5.00198901e-1;5.84812105e-1;6.57942712e-1;7.03991413e-1;7.35339880e-1;7.52901614e-1;7.60157347e-1;7.68076539e-1;7.70562410e-1;7.77339339e-1;7.89303184e-1;7.95618057e-1;8.01599920e-1;8.09183598e-1;8.07393253e-1;8.06304276e-1;8.06706131e-1;8.07162285e-1;8.06285977e-1
3;"-";"12/7";"-";"010000";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Dec 08 2023 04:01:09 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.03229473e+1;5.62791561e+1;-8.35438580e+0;6.03229473e+1;5.68958625e+1;3.51556362e+2;4.41081674e-1;2.84833739e-1;2.82717656e-1;229;99;163;#e563a3;T;0.20;0.86;0.49;0.47;2.68937260e-1;3.11545670e-1;3.43153268e-1;3.65190715e-1;3.83449852e-1;3.94865155e-1;3.77857029e-1;3.36894751e-1;2.83158422e-1;2.32864335e-1;1.96142390e-1;1.63026452e-1;1.32205144e-1;1.10378616e-1;1.05570607e-1;1.18209586e-1;1.40754491e-1;1.86055198e-1;2.66028225e-1;3.99061143e-1;5.51400542e-1;6.70763612e-1;7.37653911e-1;7.67077386e-1;7.84873605e-1;7.96213150e-1;7.94642508e-1;7.94324338e-1;7.94968426e-1;7.95758367e-1;7.93434262e-1
4;"-";"12/7";"-";"011000";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Dec 08 2023 04:01:22 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.32464886e+1;4.27183590e+1;2.86209207e+1;6.32464886e+1;5.14199893e+1;3.38217336e+1;4.37794871e-1;3.18835092e-1;1.29980417e-1;230;120;105;#e67869;T;0.19;0.74;0.78;0.43;1.07275940e-1;1.10704586e-1;1.13290802e-1;1.17081948e-1;1.26436561e-1;1.39072403e-1;1.59943387e-1;1.85784027e-1;2.06405550e-1;2.18175933e-1;2.17693463e-1;2.01994956e-1;1.77227885e-1;1.57988906e-1;1.52761579e-1;1.67938828e-1;1.94417492e-1;2.44378895e-1;3.23597550e-1;4.45706815e-1;5.78323185e-1;6.81938529e-1;7.42140055e-1;7.69428611e-1;7.86338508e-1;7.97424614e-1;7.95679092e-1;7.95372963e-1;7.95525968e-1;7.95295656e-1;7.94595599e-1
5;"-";"12/7";"-";"100000";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Dec 08 2023 04:01:40 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.29961648e+1;-1.57853447e+1;-4.27571066e+1;5.29961648e+1;4.55779253e+1;2.49736537e+2;1.72273791e-1;2.10426720e-1;4.36248111e-1;0;137;200;#0089c8;T;1.00;0.54;0.28;0.75;2.13264421e-1;2.82197863e-1;3.65415752e-1;4.35145617e-1;5.07287502e-1;5.57789564e-1;5.88843048e-1;5.95577776e-1;5.80586672e-1;5.51593423e-1;5.07784843e-1;4.39199328e-1;3.58637720e-1;2.91217715e-1;2.30432823e-1;1.81567356e-1;1.42451093e-1;1.17676958e-1;1.03880137e-1;9.66562852e-2;9.45319161e-2;9.71693173e-2;1.03820302e-1;1.12255216e-1;1.19033255e-1;1.28786072e-1;1.36506453e-1;1.46134272e-1;1.56865954e-1;1.64764479e-1;1.70727178e-1
6;"-";"12/7";"-";"101000";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Dec 08 2023 04:01:52 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.45268149e+1;-3.06069173e+1;1.16448125e+1;5.45268149e+1;3.27472907e+1;1.59170011e+2;1.57617467e-1;2.24744382e-1;1.37118942e-1;71;144;109;#47906d;T;0.86;0.52;0.74;0.69;9.17286724e-2;9.17121097e-2;9.51441303e-2;1.00611575e-1;1.13456875e-1;1.28646791e-1;1.54481158e-1;1.88778475e-1;2.34757289e-1;2.92755008e-1;3.44378054e-1;3.70452881e-1;3.57635498e-1;3.36444914e-1;2.90944219e-1;2.41698816e-1;1.97857291e-1;1.66680977e-1;1.47230834e-1;1.36103705e-1;1.32010058e-1;1.34870529e-1;1.43997967e-1;1.55589640e-1;1.64824694e-1;1.77231744e-1;1.82788983e-1;1.89825416e-1;2.01028228e-1;2.13940576e-1;2.29210079e-1
7;"-";"12/7";"-";"110000";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Dec 08 2023 04:02:06 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.59585853e+1;2.00381506e+1;-3.97973463e+1;4.59585853e+1;4.45573367e+1;2.96725469e+2;1.82545159e-1;1.52380892e-1;3.25144414e-1;113;99;176;#7163b0;T;0.80;0.85;0.43;0.83;2.49150604e-1;3.12614411e-1;3.65907282e-1;4.08258170e-1;4.40702885e-1;4.59549874e-1;4.41999584e-1;3.93487215e-1;3.29553485e-1;2.70426482e-1;2.27960184e-1;1.88025117e-1;1.49346620e-1;1.21122129e-1;1.10735282e-1;1.14408366e-1;1.21317059e-1;1.30884722e-1;1.37607351e-1;1.44703180e-1;1.49823233e-1;1.57084405e-1;1.69042125e-1;1.82967514e-1;1.93923727e-1;2.08232522e-1;2.17803389e-1;2.30242282e-1;2.44910955e-1;2.57511079e-1;2.68453687e-1
8;"-";"12/7";"-";"111000";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Dec 08 2023 04:02:18 GMT+0000 (Coordinated Universal Time);D50;2;M2;2.44396006e+1;1.24531561e+0;3.75820884e+0;2.44396006e+1;3.95915959e+0;7.16669300e+1;4.17347537e-2;4.23688429e-2;2.96087412e-2;62;57;52;#3e3934;T;1.34;1.39;1.44;1.37;2.79506948e-2;3.00837141e-2;3.14097069e-2;3.30857933e-2;3.40917893e-2;3.52447368e-2;3.63049358e-2;3.74373905e-2;3.83886062e-2;3.92343029e-2;3.97941284e-2;4.03746143e-2;4.01649624e-2;4.05103862e-2;4.08478789e-2;4.12889868e-2;4.17641141e-2;4.27670218e-2;4.31204252e-2;4.39992882e-2;4.48072627e-2;4.55396622e-2;4.63402905e-2;4.70762961e-2;4.76652123e-2;4.86979112e-2;4.91152219e-2;4.98338901e-2;5.04984893e-2;5.08014485e-2;5.19170202e-2
9;"-";"12/7";"-";"000010";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Dec 08 2023 04:02:35 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.74462759e+1;4.66015221e+1;-1.75127540e+1;5.74462759e+1;4.97835155e+1;3.39403885e+2;3.69515757e-1;2.53825571e-1;3.08934629e-1;203;103;170;#cb67aa;T;0.31;0.78;0.44;0.54;2.71317512e-1;3.10381383e-1;3.44537616e-1;3.65727067e-1;3.84209603e-1;4.05899435e-1;4.15288180e-1;4.02854860e-1;3.61409038e-1;3.10467035e-1;2.60022283e-1;2.06277817e-1;1.69187278e-1;1.49779469e-1;1.50537461e-1;1.42681971e-1;1.28759220e-1;1.28268138e-1;1.64037809e-1;2.53700286e-1;3.83716732e-1;5.06846011e-1;6.00386918e-1;6.73263252e-1;7.25028336e-1;7.79897988e-1;7.98738241e-1;8.11921954e-1;8.16226304e-1;8.16728115e-1;8.12235296e-1
10;"-";"12/7";"-";"001010";Scan;"-";"-";"-";Nix Spectro 2;"-";Fri Dec 08 2023 04:02:49 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.64316746e+1;3.87239694e+1;3.10506874e+1;5.64316746e+1;4.96355820e+1;3.87242676e+1;3.33369313e-1;2.43451027e-1;8.52158958e-2;205;106;84;#cd6a54;T;0.32;0.79;0.95;0.55;5.93462735e-2;5.92255928e-2;6.13339879e-2;6.55391291e-2;7.37860650e-2;8.21350515e-2;9.78584513e-2;1.20208077e-1;1.46979779e-1;1.76852763e-1;1.97374061e-1;1.90849811e-1;1.70218855e-1;1.57015383e-1;1.55327588e-1;1.44616187e-1;1.28265291e-1;1.30173296e-1;1.73849478e-1;2.66198426e-1;3.77671152e-1;4.82788235e-1;5.92626274e-1;6.91778243e-1;7.62861431e-1;8.21113706e-1;8.23552251e-1;8.26643705e-1;8.26369643e-1;8.26243699e-1;8.23412657e-1
