sep=;
Export Date/Time;Wed Oct 11 2023 21:57:01 GMT+0000 (Coordinated Universal Time),User Email;varun.nealsri@gmail.com,Saved Library Name;Percentages
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Primaries";"-";"33 60 00";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Oct 11 2023 21:50:12 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.31030305e+1;2.70002914e+1;-2.43977639e+1;5.31030305e+1;3.63904743e+1;3.17898682e+2;2.64452422e-1;2.11406002e-1;3.05071523e-1;157;110;169;#9d6ea9;T;0.54;0.78;0.45;0.65;2.63371855e-1;3.09878916e-1;3.50448787e-1;3.76511306e-1;3.95511657e-1;4.13277566e-1;4.09152061e-1;3.80161583e-1;3.31570566e-1;2.81573474e-1;2.41726562e-1;2.03990608e-1;1.67947516e-1;1.42116562e-1;1.34502411e-1;1.43694475e-1;1.59896731e-1;1.86056778e-1;2.14273319e-1;2.46039852e-1;2.70545989e-1;2.90325135e-1;3.11877787e-1;3.34470361e-1;3.52059513e-1;3.75544876e-1;3.89690727e-1;4.06034052e-1;4.24892873e-1;4.41263050e-1;4.60210443e-1
2;"-";"Primaries";"-";"00 33 66";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Oct 11 2023 21:50:49 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.65087964e+1;2.20359114e+1;4.64631428e+1;7.65087964e+1;5.14237789e+1;6.46265822e+1;5.74689986e-1;5.07195186e-1;1.48974109e-1;244;172;103;#f4ac67;T;0.12;0.41;0.72;0.25;1.08448528e-1;1.18315920e-1;1.26449168e-1;1.32266626e-1;1.38678104e-1;1.49276882e-1;1.69028983e-1;1.95917800e-1;2.29385212e-1;2.72123575e-1;3.17830473e-1;3.56620371e-1;3.70382339e-1;3.74875665e-1;3.78906578e-1;4.04945135e-1;4.45372611e-1;5.06966531e-1;5.78683496e-1;6.62938178e-1;7.30253398e-1;7.77130127e-1;8.10069144e-1;8.29630196e-1;8.44295740e-1;8.60152841e-1;8.64009261e-1;8.67184401e-1;8.69251668e-1;8.71634901e-1;8.77084374e-1
3;"-";"Primaries";"-";"90 90 100";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Oct 11 2023 21:51:47 GMT+0000 (Coordinated Universal Time);D50;2;M2;2.55353023e+1;1.47970211e+0;2.85409387e+0;2.55353023e+1;3.21486705e+0;6.25955638e+1;4.53710072e-2;4.59069204e-2;3.35315483e-2;64;60;56;#403c38;T;1.31;1.35;1.38;1.33;3.19816396e-2;3.86737138e-2;3.97432856e-2;3.92629765e-2;3.75581793e-2;3.83681618e-2;4.03113067e-2;4.26374339e-2;4.42283228e-2;4.54492308e-2;4.60168049e-2;4.58808132e-2;4.44401465e-2;4.36652973e-2;4.32400294e-2;4.37473282e-2;4.44370806e-2;4.57589924e-2;4.62983362e-2;4.72450145e-2;4.79422919e-2;4.88780998e-2;5.03213555e-2;5.18277772e-2;5.30193411e-2;5.48542961e-2;5.54585718e-2;5.64737096e-2;5.80612831e-2;5.97597733e-2;6.07303195e-2
4;"-";"Primaries";"-";"33 66 100";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Oct 11 2023 21:52:27 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.06158042e+1;2.00834107e+1;2.60822882e+1;6.06158042e+1;3.29185228e+1;5.24036615e+1;3.31646635e-1;2.88125122e-1;1.22903217e-1;190;132;101;#be8465;T;0.36;0.66;0.80;0.50;9.55304503e-2;1.03574172e-1;1.08355463e-1;1.11288190e-1;1.15353227e-1;1.25473216e-1;1.44861087e-1;1.69981211e-1;1.95945933e-1;2.21600965e-1;2.38238409e-1;2.37185746e-1;2.19124049e-1;2.03017265e-1;1.97176799e-1;2.11516172e-1;2.35748604e-1;2.74519831e-1;3.19465995e-1;3.71788472e-1;4.11148041e-1;4.38180000e-1;4.63087291e-1;4.86089259e-1;5.03720820e-1;5.25570691e-1;5.26640117e-1;5.27668417e-1;5.36181211e-1;5.50782859e-1;5.80915987e-1
5;"-";"Primaries";"-";"55 00 100";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Oct 11 2023 21:53:01 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.94644477e+1;-2.04105446e+1;4.26204945e+1;6.94644477e+1;4.72556545e+1;1.15589312e+2;3.25008063e-1;3.99928637e-1;1.18498460e-1;152;179;88;#98b358;T;0.48;0.35;0.82;0.40;7.97767267e-2;8.16614926e-2;8.66894424e-2;9.21697542e-2;1.00153811e-1;1.10329822e-1;1.28180429e-1;1.52203217e-1;1.85289621e-1;2.31929719e-1;2.91043758e-1;3.71163279e-1;4.44422603e-1;4.99687374e-1;5.18194675e-1;4.92712110e-1;4.49131519e-1;4.01756555e-1;3.62578869e-1;3.35713327e-1;3.19767475e-1;3.17869663e-1;3.30324471e-1;3.48606557e-1;3.63665342e-1;3.84874552e-1;3.89603317e-1;3.93442750e-1;4.03643280e-1;4.18090403e-1;4.48307544e-1
6;"-";"Primaries";"-";"25 00 50";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Oct 11 2023 21:53:29 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.00820243e+1;-1.62828429e+1;2.78759100e+1;8.00820243e+1;3.22830812e+1;1.20290004e+2;4.85813351e-1;5.68267038e-1;2.69810636e-1;183;207;145;#b7cf91;T;0.30;0.20;0.47;0.25;1.81029439e-1;1.98257789e-1;2.23005220e-1;2.41529882e-1;2.62711287e-1;2.85374433e-1;3.16861004e-1;3.53597134e-1;4.00804549e-1;4.64294463e-1;5.33445597e-1;6.02365673e-1;6.45919323e-1;6.66083694e-1;6.60410821e-1;6.30098879e-1;5.90732634e-1;5.52290916e-1;5.20773530e-1;5.00015497e-1;4.88340437e-1;4.90731448e-1;5.06919324e-1;5.27225077e-1;5.44008255e-1;5.67470789e-1;5.77109993e-1;5.86888909e-1;5.99372625e-1;6.14046931e-1;6.36157513e-1
7;"-";"Primaries";"-";"33 33 33";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Oct 11 2023 21:53:58 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.56540643e+1;1.01306327e+0;8.63019070e-1;6.56540643e+1;1.33082648e+0;4.04273650e+1;3.39219166e-1;3.48786328e-1;2.82561178e-1;162;159;158;#a29f9e;T;0.44;0.46;0.46;0.46;2.02969700e-1;2.30279580e-1;2.60610193e-1;2.80028164e-1;3.01026732e-1;3.25779170e-1;3.54859650e-1;3.82209033e-1;4.04217839e-1;4.22367811e-1;4.26634729e-1;4.07768965e-1;3.70074034e-1;3.36756855e-1;3.17371041e-1;3.16060722e-1;3.19727421e-1;3.27482700e-1;3.31766516e-1;3.39306951e-1;3.44853371e-1;3.54449242e-1;3.72563034e-1;3.94089490e-1;4.11344618e-1;4.34867859e-1;4.47350293e-1;4.61245090e-1;4.77444828e-1;4.92437452e-1;5.13591826e-1
8;"-";"Primaries";"-";"66 66 66";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Oct 11 2023 21:54:40 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.04237861e+1;1.21633416e+0;4.15671071e+0;4.04237861e+1;4.33101751e+0;7.36895007e+1;1.12638964e-1;1.15083406e-1;8.33072607e-2;99;94;89;#635e59;T;0.91;0.95;0.98;0.93;7.05862269e-2;6.91408962e-2;7.15848729e-2;7.58659691e-2;8.42571408e-2;9.30614173e-2;1.04274184e-1;1.16449006e-1;1.25976756e-1;1.32813752e-1;1.34101868e-1;1.28118783e-1;1.16296709e-1;1.07237041e-1;1.02703318e-1;1.04333661e-1;1.07395992e-1;1.11640520e-1;1.13397844e-1;1.15950108e-1;1.17536925e-1;1.20492369e-1;1.26540706e-1;1.33665904e-1;1.39299765e-1;1.46687955e-1;1.49807721e-1;1.54312432e-1;1.61084384e-1;1.68393672e-1;1.75644115e-1
9;"-";"Primaries";"-";"100 100 100";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Oct 11 2023 21:55:17 GMT+0000 (Coordinated Universal Time);D50;2;M2;2.28578157e+1;1.19806976e+0;3.41774278e+0;2.28578157e+1;3.62164836e+0;7.06821831e+1;3.70274450e-2;3.75890356e-2;2.65097203e-2;58;54;50;#3a3632;T;1.39;1.44;1.49;1.42;2.39466652e-2;2.65878886e-2;2.80263647e-2;2.92097945e-2;3.02249268e-2;3.15557644e-2;3.27522606e-2;3.37186642e-2;3.45170684e-2;3.54313143e-2;3.58620957e-2;3.60626020e-2;3.57100181e-2;3.58951613e-2;3.60681303e-2;3.64260785e-2;3.68962511e-2;3.79435346e-2;3.83695401e-2;3.90855223e-2;3.95763814e-2;4.01929095e-2;4.10120189e-2;4.17902917e-2;4.24082801e-2;4.34548892e-2;4.37751636e-2;4.43933755e-2;4.51336391e-2;4.54329588e-2;4.63194624e-2
10;"-";"Primaries";"-";"10 10 10";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Oct 11 2023 21:55:42 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.58745488e+1;1.48532571e+0;-2.65508735e+0;8.58745488e+1;3.04231512e+0;2.99223797e+2;6.59779614e-1;6.77365585e-1;5.84702321e-1;216;214;220;#d8d6dc;T;0.16;0.17;0.15;0.17;4.19506371e-1;5.17274320e-1;6.21295929e-1;6.70707583e-1;6.95662796e-1;7.14257121e-1;7.28102505e-1;7.35279143e-1;7.39629567e-1;7.42993951e-1;7.40085065e-1;7.25162804e-1;7.00862467e-1;6.70664966e-1;6.55853033e-1;6.49757624e-1;6.46417439e-1;6.50053918e-1;6.55838847e-1;6.66706502e-1;6.75181448e-1;6.87242746e-1;7.03269422e-1;7.16377318e-1;7.27514505e-1;7.43231356e-1;7.50407934e-1;7.58572876e-1;7.66092658e-1;7.71628678e-1;7.78698385e-1
