sep=;
Export Date/Time;Mon Jan 22 2024 00:42:01 GMT+0000 (Coordinated Universal Time),User Email;nicholasjennings@berkeley.edu,Saved Library Name;Cypv 
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"Iter";"-";"0000";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 21 2024 22:51:33 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.51727754e+1;5.38495386e-1;-2.25905713e+0;9.51727754e+1;2.32235148e+0;2.83407489e+2;8.51649334e-1;8.80281097e-1;7.52404731e-1;241;241;245;#f1f1f5;T;0.06;0.05;0.04;0.06;5.16284823e-1;6.78480208e-1;8.29079986e-1;8.94939721e-1;9.26607728e-1;9.28392649e-1;9.23105597e-1;9.22311664e-1;9.27842557e-1;9.24314857e-1;9.15112436e-1;9.06460464e-1;9.00814176e-1;8.77371132e-1;8.72757852e-1;8.68604720e-1;8.65227938e-1;8.63434076e-1;8.64555776e-1;8.68301690e-1;8.69804502e-1;8.77097666e-1;8.89073014e-1;8.96711826e-1;9.04634416e-1;9.18540955e-1;9.27702129e-1;9.36417341e-1;9.41674948e-1;9.42797005e-1;9.43066299e-1
2;"-";"Iter";"-";"0001";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 21 2024 22:51:44 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.68837523e+1;2.09350226e+1;5.56160765e+1;7.68837523e+1;5.94257784e+1;6.93726416e+1;5.76803920e-1;5.13387497e-1;1.17808454e-1;246;174;84;#f6ae54;T;0.10;0.38;0.80;0.25;9.24501419e-2;9.19321403e-2;9.09000710e-2;9.10240859e-2;9.53464136e-2;1.02450952e-1;1.18938349e-1;1.45447597e-1;1.92846939e-1;2.66550720e-1;3.43957245e-1;3.93880963e-1;4.10944223e-1;4.20551986e-1;4.23636824e-1;4.17908072e-1;4.16072994e-1;4.46453631e-1;5.18644810e-1;6.32339001e-1;7.44870245e-1;8.22149098e-1;8.64452779e-1;8.84333670e-1;8.98417354e-1;9.15290833e-1;9.24736142e-1;9.33862984e-1;9.40037072e-1;9.42035913e-1;9.40744579e-1
3;"-";"Iter";"-";"0010";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 21 2024 22:51:55 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.75006146e+1;6.71863004e+1;-3.53785924e+1;4.75006146e+1;7.59318363e+1;3.32229853e+2;3.05584449e-1;1.64043799e-1;3.13575135e-1;194;45;174;#c22dae;T;0.45;1.11;0.45;0.70;2.75510401e-1;3.31922650e-1;3.70639086e-1;3.93754393e-1;4.33080703e-1;4.65008855e-1;4.47801352e-1;3.77635330e-1;2.83053249e-1;2.05186352e-1;1.57540217e-1;1.14408337e-1;8.12387839e-2;6.13102168e-2;6.08436018e-2;5.96335642e-2;5.27252816e-2;4.73879650e-2;5.37399724e-2;8.47086161e-2;1.72247618e-1;3.39228988e-1;5.50100565e-1;7.28700876e-1;8.52311671e-1;9.34060574e-1;9.35557485e-1;9.46275473e-1;9.51956749e-1;9.53631818e-1;9.51866984e-1
4;"-";"Iter";"-";"0011";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 21 2024 22:52:07 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.65654076e+1;5.45859870e+1;1.42977938e+1;4.65654076e+1;5.64274480e+1;1.46778310e+1;2.63005124e-1;1.56902140e-1;8.45151352e-2;192;61;90;#c03d5a;T;0.44;1.10;0.96;0.71;8.22154433e-2;8.47511590e-2;8.03384632e-2;7.73062333e-2;7.93908238e-2;8.48620534e-2;9.77881327e-2;1.19928345e-1;1.46461144e-1;1.64973274e-1;1.59467116e-1;1.24399208e-1;8.84841904e-2;6.54803738e-2;6.31568953e-2;5.95096312e-2;5.00639789e-2;4.42646630e-2;5.18514551e-2;8.55582207e-2;1.80885404e-1;3.59183818e-1;5.64931989e-1;7.20313370e-1;8.24697435e-1;8.87191236e-1;8.88401449e-1;8.96040916e-1;8.99270535e-1;9.00070250e-1;8.99198472e-1
5;"-";"Iter";"-";"0100";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 21 2024 22:52:16 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.26141645e+1;5.02522842e+1;4.60364661e+1;7.26141645e+1;6.81516565e+1;4.24930154e+1;6.22802322e-1;4.45795288e-1;1.25468977e-1;255;137;97;#ff8961;T;0.07;0.79;0.83;0.27;1.00188285e-1;1.19274750e-1;1.29656464e-1;1.37284949e-1;1.45329982e-1;1.56335235e-1;1.70075446e-1;1.78643703e-1;1.60086364e-1;1.30104840e-1;1.09705016e-1;8.81318897e-2;7.17484131e-2;6.27739504e-2;9.18211937e-2;2.11016104e-1;4.08470273e-1;6.40955925e-1;7.65875518e-1;8.27076852e-1;8.48013937e-1;8.61332715e-1;8.75561595e-1;8.85265231e-1;8.94661903e-1;9.11088288e-1;9.21851099e-1;9.31758046e-1;9.38164294e-1;9.40493703e-1;9.39283311e-1
6;"-";"Iter";"-";"0101";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 21 2024 22:52:29 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.68381195e+1;5.11049091e+1;5.68757784e+1;6.68381195e+1;7.64628400e+1;4.80591785e+1;5.24536678e-1;3.64180533e-1;6.54923228e-2;255;120;61;#ff783d;T;0.11;0.86;1.09;0.35;5.86698167e-2;6.51907101e-2;6.52862713e-2;6.51046112e-2;6.53838217e-2;6.84615821e-2;7.79587626e-2;9.31868255e-2;1.03601992e-1;1.06230281e-1;1.00939885e-1;8.29907879e-2;6.94236532e-2;6.39496893e-2;9.99027491e-2;1.91431746e-1;3.04698497e-1;4.16875541e-1;5.09679973e-1;6.24878705e-1;7.30851471e-1;8.00948083e-1;8.38501036e-1;8.56017888e-1;8.68621886e-1;8.84636700e-1;8.93594265e-1;9.01329517e-1;9.06053782e-1;9.07972634e-1;9.08110857e-1
7;"-";"Iter";"-";"0110";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 21 2024 22:52:41 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.77343560e+1;6.13189586e+1;-6.97212033e+0;4.77343560e+1;6.17140595e+1;3.53513184e+2;2.92700579e-1;1.65861977e-1;1.64611561e-1;199;54;128;#c73680;T;0.41;1.13;0.72;0.68;1.52187929e-1;1.71269476e-1;1.84746191e-1;1.94813594e-1;2.05887690e-1;2.20733970e-1;2.28415504e-1;2.20147595e-1;1.86700419e-1;1.45163745e-1;1.10467851e-1;8.39229301e-2;6.91620633e-2;6.27954230e-2;7.12429360e-2;7.45812058e-2;6.69020116e-2;5.73347285e-2;6.29143342e-2;9.82142314e-2;1.98165357e-1;3.87262225e-1;6.00396037e-1;7.48594522e-1;8.45373452e-1;8.92637432e-1;8.90849531e-1;8.97350729e-1;9.00207937e-1;9.00765896e-1;9.01205480e-1
8;"-";"Iter";"-";"0111";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 21 2024 22:52:53 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.89059717e+1;5.55598709e+1;2.13254436e+1;4.89059717e+1;5.95119635e+1;2.09982090e+1;2.90851733e-1;1.75178176e-1;7.66640295e-2;202;65;84;#ca4154;T;0.38;1.09;1.01;0.66;7.14522079e-2;7.25680217e-2;7.13374242e-2;7.08366260e-2;7.37879947e-2;8.00958872e-2;9.37192515e-2;1.13469243e-1;1.29572153e-1;1.32356733e-1;1.16069391e-1;9.05335322e-2;7.51829073e-2;6.96402043e-2;8.25842172e-2;8.73140097e-2;7.74132982e-2;6.60913959e-2;7.59329870e-2;1.21143788e-1;2.31084526e-1;4.18129086e-1;6.17505968e-1;7.56655276e-1;8.48201632e-1;8.99928153e-1;9.02516484e-1;9.10827518e-1;9.14931953e-1;9.15818274e-1;9.15900052e-1
9;"-";"Iter";"-";"1000";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 21 2024 22:53:03 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.38036487e+1;-1.61793337e+1;-4.58885905e+1;5.38036487e+1;4.86573075e+1;2.50578442e+2;1.78000609e-1;2.17901593e-1;4.73891376e-1;0;139;208;#008bd0;T;1.01;0.52;0.24;0.74;2.34521762e-1;3.15689862e-1;4.04706597e-1;4.76666421e-1;5.49573481e-1;6.03001893e-1;6.39193892e-1;6.49681985e-1;6.33393645e-1;5.97853780e-1;5.45289338e-1;4.66831297e-1;3.77826393e-1;3.03728968e-1;2.38110632e-1;1.85399681e-1;1.43030092e-1;1.16318427e-1;1.01927273e-1;9.43835750e-2;9.21828970e-2;9.48074609e-2;1.01761773e-1;1.10892780e-1;1.18252106e-1;1.28743976e-1;1.36951923e-1;1.47328019e-1;1.59256071e-1;1.67919412e-1;1.74199834e-1
10;"-";"Iter";"-";"1001";Scan;"-";"-";"-";Nix Spectro 2;"-";Sun Jan 21 2024 22:53:15 GMT+0000 (Coordinated Universal Time);D50;2;M2;4.89095339e+1;-2.60473815e+1;1.63396245e+1;4.89095339e+1;3.07481611e+1;1.47899790e+2;1.26010789e-1;1.75207021e-1;9.00502924e-2;73;128;87;#498057;T;0.92;0.63;0.91;0.79;7.57641196e-2;7.66486302e-2;7.21123442e-2;6.90436289e-2;7.00868890e-2;7.54366443e-2;8.82581025e-2;1.09515153e-1;1.54532209e-1;2.28039145e-1;2.93260187e-1;3.05494428e-1;2.77422756e-1;2.49577224e-1;2.13818029e-1;1.78270310e-1;1.47283077e-1;1.27348974e-1;1.16710514e-1;1.12063549e-1;1.11901082e-1;1.17113784e-1;1.27455100e-1;1.39790013e-1;1.49528682e-1;1.62615091e-1;1.72312811e-1;1.84568956e-1;1.98926866e-1;2.10497454e-1;2.18927830e-1
